name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model,prompt_type
f37d_psg,f37d508f,phi4_29a1_psg_batch,failure,65.6,6976,2868,4108,0.0,0,0,T,psg,phi4,abla-2p
eb94_psg,eb94cbe6,phi4_29a1_psg_batch,failure,54.63,6973,2864,4109,0.0,0,0,T,psg,phi4,abla-2p
8778_psg,877835a3,phi4_29a1_psg_batch,failure,55.8,7062,2864,4198,0.0,0,0,T,psg,phi4,abla-2p
2a68_psg,2a68f524,phi4_29a1_psg_batch,failure,55.58,7045,2868,4177,0.0,0,0,T,psg,phi4,abla-2p
6592_psg,6592e8ec,phi4_29a1_psg_batch,success,32.33,4025,1606,2419,0.0,0,0,T,psg,phi4,abla-2p
7fcb_psg,7fcb2c14,phi4_29a1_psg_batch,success,56.95,7152,2868,4284,0.0,0,0,T,psg,phi4,abla-2p
9b46_psg,9b461d91,phi4_29a1_psg_batch,success,45.56,5660,2235,3425,0.0,0,0,T,psg,phi4,abla-2p
de09_psg,de09a98b,phi4_29a1_psg_batch,success,44.87,5599,2235,3364,0.0,0,0,T,psg,phi4,abla-2p
5d53_psg,5d533d6c,phi4_29a1_psg_batch,failure,56.7,7134,2868,4266,0.0,0,0,T,psg,phi4,abla-2p
29fc_psg,29fc120b,phi4_29a1_psg_batch,failure,55.4,7020,2849,4171,0.0,0,0,T,psg,phi4,abla-2p
7d1d_psg,7d1d333a,phi4_29a1_psg_batch,failure,56.17,7091,2868,4223,0.0,0,0,T,psg,phi4,abla-2p
7c97_psg,7c979bda,phi4_29a1_psg_batch,failure,55.63,7052,2868,4184,0.0,0,0,T,psg,phi4,abla-2p
b4c3_psg,b4c38383,phi4_29a1_psg_batch,failure,57.84,7221,2868,4353,0.0,0,0,T,psg,phi4,abla-2p
1d89_psg,1d89d072,phi4_29a1_psg_batch,failure,57.46,7108,2868,4240,0.0,0,0,T,psg,phi4,abla-2p
a796_psg,a79648ac,phi4_29a1_psg_batch,failure,56.31,7074,2868,4206,0.0,0,0,T,psg,phi4,abla-2p
fbdb_psg,fbdb534b,phi4_29a1_psg_batch,success,55.13,7009,2868,4141,0.0,0,0,T,psg,phi4,abla-2p
21fa_psg,21fab17c,phi4_29a1_psg_batch,failure,56.67,7131,2868,4263,0.0,0,0,T,psg,phi4,abla-2p
5a20_psg,5a20d359,phi4_29a1_psg_batch,success,43.49,5505,2235,3270,0.0,0,0,T,psg,phi4,abla-2p
5305_psg,53056a44,phi4_29a1_psg_batch,failure,55.72,7053,2868,4185,0.0,0,0,T,psg,phi4,abla-2p
b05a_psg,b05aea00,phi4_29a1_psg_batch,failure,56.23,7097,2868,4229,0.0,0,0,T,psg,phi4,abla-2p
ec0c_sg,ec0c1eb6,phi4_29a1_sg_batch,failure,61.15,10252,5884,4368,0.0,0,0,T,sg,phi4,abla-2p
80f1_sg,80f17de0,phi4_29a1_sg_batch,failure,64.02,10504,5884,4620,0.0,0,0,T,sg,phi4,abla-2p
9b27_sg,9b27b06a,phi4_29a1_sg_batch,failure,57.84,10051,5884,4167,0.0,0,0,T,sg,phi4,abla-2p
8907_sg,8907ed17,phi4_29a1_sg_batch,failure,67.5,10756,5884,4872,0.0,0,0,T,sg,phi4,abla-2p
56f9_sg,56f93a14,phi4_29a1_sg_batch,failure,62.85,10420,5884,4536,0.0,0,0,T,sg,phi4,abla-2p
49fd_sg,49fd3593,phi4_29a1_sg_batch,failure,65.81,10638,5884,4754,0.0,0,0,T,sg,phi4,abla-2p
4dfa_sg,4dfaacb6,phi4_29a1_sg_batch,failure,62.2,10370,5884,4486,0.0,0,0,T,sg,phi4,abla-2p
1f2b_sg,1f2b050f,phi4_29a1_sg_batch,failure,62.73,10409,5884,4525,0.0,0,0,T,sg,phi4,abla-2p
b0fc_sg,b0fc95b4,phi4_29a1_sg_batch,failure,64.0,10493,5884,4609,0.0,0,0,T,sg,phi4,abla-2p
