_source_file,batch_id,completion_cost,completion_tokens,latency,name,parameters,prompt_cost,prompt_tokens,status,total_cost,total_tokens,trace_id,processor,model
none,qwen2.5-coder:32b_ab2q_psg_batch,0,1837,289.81,8cb0_py_sketch_generator,,0,668,success,0.0,2505,8cb0be93,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,1688,63.04,c6e2_py_sketch_generator,,0,668,success,0.0,2356,c6e253d8,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,1649,61.57,5893_py_sketch_generator,,0,668,success,0.0,2317,58930921,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,3368,125.95,3134_py_sketch_generator,,0,1336,success,0.0,4704,3134f28a,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,1890,70.9,bc53_py_sketch_generator,,0,668,success,0.0,2558,bc5315e3,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,1476,55.91,66c4_py_sketch_generator,,0,334,success,0.0,1810,66c42078,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,3859,144.43,10d1_py_sketch_generator,,0,1670,failure,0.0,5529,10d122c9,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,2201,82.29,4b9a_py_sketch_generator,,0,1002,success,0.0,3203,4b9a862a,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,2488,93.81,ac75_py_sketch_generator,,0,1002,success,0.0,3490,ac7585c6,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,775,29.04,2c8f_py_sketch_generator,,0,334,success,0.0,1109,2c8ff65d,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,1468,54.97,b4cb_py_sketch_generator,,0,668,success,0.0,2136,b4cba6cb,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,3919,146.54,57dc_py_sketch_generator,,0,1670,failure,0.0,5589,57dc3c77,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,811,30.39,954b_py_sketch_generator,,0,334,success,0.0,1145,954b33f2,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,3849,143.95,93b4_py_sketch_generator,,0,1670,success,0.0,5519,93b402ee,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,789,29.55,7aec_py_sketch_generator,,0,334,success,0.0,1123,7aece350,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,837,31.36,a9a6_py_sketch_generator,,0,334,success,0.0,1171,a9a677fb,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,2186,81.95,c927_py_sketch_generator,,0,1002,success,0.0,3188,c927e610,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,3921,146.69,b2ec_py_sketch_generator,,0,1670,failure,0.0,5591,b2ec9f66,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,3953,147.88,df79_py_sketch_generator,,0,1670,success,0.0,5623,df793d80,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,1661,62.19,2340_py_sketch_generator,,0,668,success,0.0,2329,23400dfc,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,880,33.02,77f4_py_sketch_generator,,0,334,success,0.0,1214,77f44b94,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,824,30.86,8467_py_sketch_generator,,0,334,success,0.0,1158,846702bb,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,1572,58.99,7cf9_py_sketch_generator,,0,668,success,0.0,2240,7cf96330,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,751,28.19,fca6_py_sketch_generator,,0,334,success,0.0,1085,fca6f821,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,913,34.23,8423_py_sketch_generator,,0,334,success,0.0,1247,842327bb,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,845,31.72,3a82_py_sketch_generator,,0,334,success,0.0,1179,3a825737,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,800,30.22,b105_py_sketch_generator,,0,334,success,0.0,1134,b105f3e9,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,3711,138.65,d7d9_py_sketch_generator,,0,1670,failure,0.0,5381,d7d9a676,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,3936,148.55,ec7d_py_sketch_generator,,0,1670,failure,0.0,5606,ec7de80c,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_psg_batch,0,4098,154.64,9b27_py_sketch_generator,,0,1670,success,0.0,5768,9b272ba4,psg,q32-ab2
none,qwen2.5-coder:32b_ab2q_sg_batch,0,5767,239.49,3a15_sketch_generator,,0,9134,failure,0.0,14901,3a15384f,sg,q32-ab2
none,qwen2.5-coder:32b_ab2q_sg_batch,0,5661,235.57,8b32_sketch_generator,,0,9269,failure,0.0,14930,8b32b10f,sg,q32-ab2
none,qwen2.5-coder:32b_ab2q_sg_batch,0,4636,183.32,5ff2_sketch_generator,,0,6139,failure,0.0,10775,5ff22424,sg,q32-ab2
none,qwen2.5-coder:32b_ab2q_sg_batch,0,4690,189.46,d987_sketch_generator,,0,6809,failure,0.0,11499,d987100a,sg,q32-ab2
none,qwen2.5-coder:32b_ab2q_sg_batch,0,4412,172.23,92f3_sketch_generator,,0,6134,failure,0.0,10546,92f389ae,sg,q32-ab2
