_source_file,batch_id,completion_cost,completion_tokens,latency,name,parameters,prompt_cost,prompt_tokens,status,total_cost,total_tokens,trace_id,processor,model
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,8574,173.32,4cfd_tpu_sketch_generator,{'extra_body:{}'},0,1764,success,0.087945,10338,4cfdc411,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,6717,147.25,ac40_tpu_sketch_generator,{'extra_body:{}'},0,1764,success,0.069375,8481,ac40d148,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,7093,96.16,7224_tpu_sketch_generator,{'extra_body:{}'},0,1764,success,0.073135,8857,72247c08,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,8703,141.57,a229_tpu_sketch_generator,{'extra_body:{}'},0,1764,success,0.087363,10467,a229227d,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,23127,332.47,bb1a_tpu_sketch_generator,{'extra_body:{}'},0,17686,success,0.2533775,40813,bb1a3199,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,8029,145.26,f6da_tpu_sketch_generator,{'extra_body:{}'},0,1764,success,0.080623,9793,f6dad1b1,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,14260,195.54,efd5_tpu_sketch_generator,{'extra_body:{}'},0,7445,success,0.14801825,21705,efd59842,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,7888,120.1,799d_tpu_sketch_generator,{'extra_body:{}'},0,1764,success,0.079213,9652,799dd414,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,9504,151.16,fad6_tpu_sketch_generator,{'extra_body:{}'},0,1764,success,0.095373,11268,fad6ae42,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,6734,87.6,063e_tpu_sketch_generator,{'extra_body:{}'},0,1764,success,0.067673,8498,063e7098,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,7833,89.0,6b4e_tpu_sketch_generator,{'extra_body:{}'},0,1764,success,0.078663,9597,6b4eb746,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,7471,172.05,8d40_tpu_sketch_generator,{'extra_body:{}'},0,1764,success,0.076915,9235,8d408e42,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,6577,71.66,0c65_tpu_sketch_generator,{'extra_body:{}'},0,1764,success,0.066103,8341,0c65b536,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,7383,88.9,f4c6_tpu_sketch_generator,{'extra_body:{}'},0,1764,success,0.074163,9147,f4c6d156,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,8716,119.26,1ccc_tpu_sketch_generator,{'extra_body:{}'},0,1764,success,0.087493,10480,1ccc2ff1,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,26414,334.75,40a7_tpu_sketch_generator,{'extra_body:{}'},0,21435,failure,0.2850297499999999,47849,40a7c03e,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,31136,439.07,4430_tpu_sketch_generator,{'extra_body:{}'},0,24086,failure,0.3313875,55222,4430ce56,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,8026,120.25,69ab_tpu_sketch_generator,{'extra_body:{}'},0,1764,success,0.082465,9790,69ab24d8,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,7263,93.72,6fbc_tpu_sketch_generator,{'extra_body:{}'},0,1764,success,0.072963,9027,6fbcd836,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,7296,94.61,3503_tpu_sketch_generator,{'extra_body:{}'},0,1764,success,0.073293,9060,350322ae,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,6961,168.3,d2b8_tpu_sketch_generator,{'extra_body:{}'},0,1764,success,0.071815,8725,d2b83727,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,9247,201.82,d540_tpu_sketch_generator,{'extra_body:{}'},0,1764,success,0.094675,11011,d540443c,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,6999,162.84,6aca_tpu_sketch_generator,{'extra_body:{}'},0,1764,success,0.072195,8763,6aca9a6a,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,7653,170.7,5718_tpu_sketch_generator,{'extra_body:{}'},0,1764,success,0.076863,9417,57182ac0,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,9442,174.36,a397_tpu_sketch_generator,{'extra_body:{}'},0,1764,success,0.094753,11206,a3973587,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,8573,225.28,7440_tpu_sketch_generator,{'extra_body:{}'},0,1764,success,0.086063,10337,74405acd,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,7253,146.34,bb0a_tpu_sketch_generator,{'extra_body:{}'},0,1764,success,0.072863,9017,bb0a8235,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,6579,187.25,4a9b_tpu_sketch_generator,{'extra_body:{}'},0,1764,success,0.067995,8343,4a9b8ab8,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,6448,158.32,678d_tpu_sketch_generator,{'extra_body:{}'},0,1764,success,0.064813,8212,678d7180,tpusg,gpt-5
none,gpt-5-2025-08-07_40f1_tpusg_batch,0,26212,451.78,f897_tpu_sketch_generator,{'extra_body:{}'},0,21952,failure,0.285672,48164,f897a6ae,tpusg,gpt-5
