_source_file,batch_id,completion_cost,completion_tokens,latency,name,parameters,prompt_cost,prompt_tokens,status,total_cost,total_tokens,trace_id,processor,model
none,qwen2.5-coder:32b_ab1q_sg_batch,0,4688,219.65,690d_sketch_generator,,0,1863,failure,0.0,6551,690d13b0,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,5077,192.91,2d2d_sketch_generator,,0,1723,failure,0.0,6800,2d2df361,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,4884,186.05,4137_sketch_generator,,0,1778,failure,0.0,6662,4137a55f,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,5064,192.43,e9fe_sketch_generator,,0,1843,failure,0.0,6907,e9fe086c,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,4501,171.04,20fd_sketch_generator,,0,1888,failure,0.0,6389,20fdbda3,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,5055,199.94,d435_sketch_generator,,0,1758,failure,0.0,6813,d4359769,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,5167,210.87,ff22_sketch_generator,,0,1638,failure,0.0,6805,ff223b5c,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,5551,226.86,a708_sketch_generator,,0,1818,failure,0.0,7369,a7087bdc,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,4608,184.43,0985_sketch_generator,,0,2103,failure,0.0,6711,0985941f,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,5457,207.72,8f72_sketch_generator,,0,1793,failure,0.0,7250,8f727337,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,4689,178.57,757e_sketch_generator,,0,2013,failure,0.0,6702,757e4ad7,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,4652,178.07,a73f_sketch_generator,,0,1818,failure,0.0,6470,a73fd928,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,4543,173.2,9578_sketch_generator,,0,1798,failure,0.0,6341,9578c434,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,5641,215.96,84a2_sketch_generator,,0,2158,failure,0.0,7799,84a26c81,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,5262,200.46,b0b0_sketch_generator,,0,1773,failure,0.0,7035,b0b0f173,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,5179,205.12,0c46_sketch_generator,,0,1803,failure,0.0,6982,0c461562,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,4904,200.7,7174_sketch_generator,,0,1813,failure,0.0,6717,7174a74a,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,4840,197.74,86e5_sketch_generator,,0,1758,failure,0.0,6598,86e597cd,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,5338,211.5,9c77_sketch_generator,,0,1883,failure,0.0,7221,9c775658,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,5300,202.38,dd45_sketch_generator,,0,2133,failure,0.0,7433,dd45ef2f,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,4851,184.34,3696_sketch_generator,,0,2003,failure,0.0,6854,3696bd14,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,5062,193.45,e741_sketch_generator,,0,1823,failure,0.0,6885,e7417854,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,5009,195.31,9244_sketch_generator,,0,1923,failure,0.0,6932,92447287,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,5205,203.02,15ec_sketch_generator,,0,1903,failure,0.0,7108,15ecefa2,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,5161,203.02,2b54_sketch_generator,,0,1878,failure,0.0,7039,2b540fd6,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,4716,184.38,b148_sketch_generator,,0,1758,failure,0.0,6474,b1487eab,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,4784,183.5,9b4c_sketch_generator,,0,2233,failure,0.0,7017,9b4c0fa5,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,4795,183.9,bcc8_sketch_generator,,0,1768,failure,0.0,6563,bcc87508,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,4594,176.56,1f2e_sketch_generator,,0,1758,failure,0.0,6352,1f2e4de1,sg,q32
none,qwen2.5-coder:32b_ab1q_sg_batch,0,4723,182.75,65d4_sketch_generator,,0,1913,failure,0.0,6636,65d4aa05,sg,q32
