_source_file,batch_id,completion_tokens,latency,parameters,prompt_tokens,status,total_tokens,trace_id,processor,model,run_name,parameters.1,test_date,category
none,codestral_34a5_tpusg,2935,110.76,True,10240,failure,13175,e2fa0c7a,sg,codestral,e2fa_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,3587,100.66,True,10240,failure,13827,4a9ec6c1,sg,codestral,4a9e_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,1497,48.59,True,10240,failure,11737,d3b0c41c,sg,codestral,d3b0_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,3526,99.3,True,10240,failure,13766,8c83b73e,sg,codestral,8c83_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,4345,119.65,True,10240,failure,14585,05c6b27b,sg,codestral,05c6_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,4510,123.81,True,10240,failure,14750,b7fe3732,sg,codestral,b7fe_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,4510,121.42,True,8192,success,12702,9e769182,sg,codestral,9e76_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,2899,83.79,True,10240,failure,13139,78aaf982,sg,codestral,78aa_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,1879,58.22,True,10240,failure,12119,af461cf2,sg,codestral,af46_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,3843,107.1,True,10240,failure,14083,080669ca,sg,codestral,0806_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,2999,86.08,True,10240,failure,13239,3c64e3c0,sg,codestral,3c64_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,4008,111.27,True,10240,failure,14248,6178a8ba,sg,codestral,6178_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,3163,90.28,True,10240,failure,13403,fe366801,sg,codestral,fe36_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,3333,94.54,True,10240,failure,13573,5c417668,sg,codestral,5c41_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,1870,58.18,True,10240,failure,12110,848c87d0,sg,codestral,848c_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,4595,125.75,True,10240,failure,14835,bb7cd13f,sg,codestral,bb7c_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,4748,129.67,True,10240,failure,14988,87e17807,sg,codestral,87e1_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,3240,92.46,True,10240,failure,13480,bb85b25d,sg,codestral,bb85_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,2916,84.04,True,10240,failure,13156,66028d89,sg,codestral,6602_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,2828,81.79,True,10240,failure,13068,cbeb60e2,sg,codestral,cbeb_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,2664,77.72,True,10240,failure,12904,9228b258,sg,codestral,9228_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,4314,118.91,True,10240,success,14554,edbf5547,sg,codestral,edbf_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,4466,122.64,True,10240,failure,14706,d92dae75,sg,codestral,d92d_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,4600,126.01,True,10240,failure,14840,4f0c1cce,sg,codestral,4f0c_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,4145,114.76,True,10240,failure,14385,24f665ba,sg,codestral,24f6_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,3007,81.81,True,6144,success,9151,786d9294,sg,codestral,786d_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,3507,98.77,True,10240,failure,13747,6cd1a036,sg,codestral,6cd1_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,3088,88.57,True,10240,failure,13328,8170d7d6,sg,codestral,8170_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,1765,55.31,True,10240,failure,12005,88b30ba9,sg,codestral,88b3_tpusg,True,8.24,codestral_tpusg_P
none,codestral_34a5_tpusg,2257,67.89,True,10240,failure,12497,3b89eee0,sg,codestral,3b89_tpusg,True,8.24,codestral_tpusg_P
none,codestral_3adb_psg,2677,79.15,True,10052,failure,12729,24c0909f,sg,codestral,24c0_pysg,True,8.08,codestral_psg_P
none,codestral_3adb_psg,3437,98.48,True,10052,failure,13489,78815f66,sg,codestral,7881_pysg,True,8.08,codestral_psg_P
none,codestral_3adb_psg,3679,104.55,True,10052,success,13731,fafb1926,sg,codestral,fafb_pysg,True,8.08,codestral_psg_P
none,codestral_3adb_psg,3252,94.43,True,10052,failure,13304,e270f48c,sg,codestral,e270_pysg,True,8.08,codestral_psg_P
none,codestral_3adb_psg,3601,102.78,True,10052,failure,13653,6ef4f8a9,sg,codestral,6ef4_pysg,True,8.08,codestral_psg_P
none,codestral_3adb_psg,3503,100.27,True,10052,failure,13555,c48a3a5f,sg,codestral,c48a_pysg,True,8.08,codestral_psg_P
none,codestral_3adb_psg,2744,80.97,True,10052,failure,12796,8e48a243,sg,codestral,8e48_pysg,True,8.08,codestral_psg_P
none,codestral_3adb_psg,3200,92.56,True,10052,failure,13252,c1500322,sg,codestral,c150_pysg,True,8.08,codestral_psg_P
none,codestral_3adb_psg,3072,89.36,True,10052,failure,13124,75c9b49e,sg,codestral,75c9_pysg,True,8.08,codestral_psg_P
none,codestral_3adb_psg,3692,105.09,True,10052,failure,13744,2aa042e7,sg,codestral,2aa0_pysg,True,8.08,codestral_psg_P
none,codestral_3adb_psg,2499,74.73,True,10052,failure,12551,54aef750,sg,codestral,54ae_pysg,True,8.08,codestral_psg_P
none,codestral_3adb_psg,2896,84.73,True,10052,failure,12948,745c1cbe,sg,codestral,745c_pysg,True,8.08,codestral_psg_P
none,codestral_3adb_psg,2664,79.55,True,10052,failure,12716,88f65d47,sg,codestral,88f6_pysg,True,8.08,codestral_psg_P
