run_name,processor,model,parameters,status,generation_count,latency,total_tokens,prompt_tokens,completion_tokens,parameters,timestamp,test_date,category,trace_id,batch_id
e2fa_tpusg,tpusg,codestral,True,failure,5,110.76,13175,10240,2935,True,1755697779,08.24,codestral_tpusg_P,e2fa0c7a,codestral_34a5_tpusg
4a9e_tpusg,tpusg,codestral,True,failure,5,100.66,13827,10240,3587,True,1755697904,08.24,codestral_tpusg_P,4a9ec6c1,codestral_34a5_tpusg
d3b0_tpusg,tpusg,codestral,True,failure,5,48.59,11737,10240,1497,True,1755698034,08.24,codestral_tpusg_P,d3b0c41c,codestral_34a5_tpusg
8c83_tpusg,tpusg,codestral,True,failure,5,99.3,13766,10240,3526,True,1755698097,08.24,codestral_tpusg_P,8c83b73e,codestral_34a5_tpusg
05c6_tpusg,tpusg,codestral,True,failure,5,119.65,14585,10240,4345,True,1755698227,08.24,codestral_tpusg_P,05c6b27b,codestral_34a5_tpusg
b7fe_tpusg,tpusg,codestral,True,failure,5,123.81,14750,10240,4510,True,1755698383,08.24,codestral_tpusg_P,b7fe3732,codestral_34a5_tpusg
9e76_tpusg,tpusg,codestral,True,success,4,121.42,12702,8192,4510,True,1755698544,08.24,codestral_tpusg_P,9e769182,codestral_34a5_tpusg
78aa_tpusg,tpusg,codestral,True,failure,5,83.79,13139,10240,2899,True,1755698747,08.24,codestral_tpusg_P,78aaf982,codestral_34a5_tpusg
af46_tpusg,tpusg,codestral,True,failure,5,58.22,12119,10240,1879,True,1755698846,08.24,codestral_tpusg_P,af461cf2,codestral_34a5_tpusg
0806_tpusg,tpusg,codestral,True,failure,5,107.1,14083,10240,3843,True,1755698918,08.24,codestral_tpusg_P,080669ca,codestral_34a5_tpusg
3c64_tpusg,tpusg,codestral,True,failure,5,86.08,13239,10240,2999,True,1755699063,08.24,codestral_tpusg_P,3c64e3c0,codestral_34a5_tpusg
6178_tpusg,tpusg,codestral,True,failure,5,111.27,14248,10240,4008,True,1755699181,08.24,codestral_tpusg_P,6178a8ba,codestral_34a5_tpusg
fe36_tpusg,tpusg,codestral,True,failure,5,90.28,13403,10240,3163,True,1755699321,08.24,codestral_tpusg_P,fe366801,codestral_34a5_tpusg
5c41_tpusg,tpusg,codestral,True,failure,5,94.54,13573,10240,3333,True,1755699516,08.24,codestral_tpusg_P,5c417668,codestral_34a5_tpusg
848c_tpusg,tpusg,codestral,True,failure,5,58.18,12110,10240,1870,True,1755699626,08.24,codestral_tpusg_P,848c87d0,codestral_34a5_tpusg
bb7c_tpusg,tpusg,codestral,True,failure,5,125.75,14835,10240,4595,True,1755699698,08.24,codestral_tpusg_P,bb7cd13f,codestral_34a5_tpusg
87e1_tpusg,tpusg,codestral,True,failure,5,129.67,14988,10240,4748,True,1755699861,08.24,codestral_tpusg_P,87e17807,codestral_34a5_tpusg
bb85_tpusg,tpusg,codestral,True,failure,5,92.46,13480,10240,3240,True,1755700028,08.24,codestral_tpusg_P,bb85b25d,codestral_34a5_tpusg
6602_tpusg,tpusg,codestral,True,failure,5,84.04,13156,10240,2916,True,1755700159,08.24,codestral_tpusg_P,66028d89,codestral_34a5_tpusg
cbeb_tpusg,tpusg,codestral,True,failure,5,81.79,13068,10240,2828,True,1755700272,08.24,codestral_tpusg_P,cbeb60e2,codestral_34a5_tpusg
9228_tpusg,tpusg,codestral,True,failure,5,77.72,12904,10240,2664,True,1755700377,08.24,codestral_tpusg_P,9228b258,codestral_34a5_tpusg
edbf_tpusg,tpusg,codestral,True,success,5,118.91,14554,10240,4314,True,1755700469,08.24,codestral_tpusg_P,edbf5547,codestral_34a5_tpusg
d92d_tpusg,tpusg,codestral,True,failure,5,122.64,14706,10240,4466,True,1755700666,08.24,codestral_tpusg_P,d92dae75,codestral_34a5_tpusg
4f0c_tpusg,tpusg,codestral,True,failure,5,126.01,14840,10240,4600,True,1755700810,08.24,codestral_tpusg_P,4f0c1cce,codestral_34a5_tpusg
24f6_tpusg,tpusg,codestral,True,failure,5,114.76,14385,10240,4145,True,1755700974,08.24,codestral_tpusg_P,24f665ba,codestral_34a5_tpusg
786d_tpusg,tpusg,codestral,True,success,3,81.81,9151,6144,3007,True,1755701111,08.24,codestral_tpusg_P,786d9294,codestral_34a5_tpusg
6cd1_tpusg,tpusg,codestral,True,failure,5,98.77,13747,10240,3507,True,1755701260,08.24,codestral_tpusg_P,6cd1a036,codestral_34a5_tpusg
8170_tpusg,tpusg,codestral,True,failure,5,88.57,13328,10240,3088,True,1755701373,08.24,codestral_tpusg_P,8170d7d6,codestral_34a5_tpusg
88b3_tpusg,tpusg,codestral,True,failure,5,55.31,12005,10240,1765,True,1755701485,08.24,codestral_tpusg_P,88b30ba9,codestral_34a5_tpusg
3b89_tpusg,tpusg,codestral,True,failure,5,67.89,12497,10240,2257,True,1755701555,08.24,codestral_tpusg_P,3b89eee0,codestral_34a5_tpusg
24c0_pysg,psg,codestral,True,failure,5,79.15,12729,10052,2677,True,1754402461,08.08,codestral_psg_P,24c0909f,codestral_3adb_psg
7881_pysg,psg,codestral,True,failure,5,98.48,13489,10052,3437,True,1754402548,08.08,codestral_psg_P,78815f66,codestral_3adb_psg
fafb_pysg,psg,codestral,True,success,5,104.55,13731,10052,3679,True,1754402654,08.08,codestral_psg_P,fafb1926,codestral_3adb_psg
e270_pysg,psg,codestral,True,failure,5,94.43,13304,10052,3252,True,1754402766,08.08,codestral_psg_P,e270f48c,codestral_3adb_psg
6ef4_pysg,psg,codestral,True,failure,5,102.78,13653,10052,3601,True,1754402868,08.08,codestral_psg_P,6ef4f8a9,codestral_3adb_psg
c48a_pysg,psg,codestral,True,failure,5,100.27,13555,10052,3503,True,1754402979,08.08,codestral_psg_P,c48a3a5f,codestral_3adb_psg
8e48_pysg,psg,codestral,True,failure,5,80.97,12796,10052,2744,True,1754403087,08.08,codestral_psg_P,8e48a243,codestral_3adb_psg
c150_pysg,psg,codestral,True,failure,5,92.56,13252,10052,3200,True,1754403175,08.08,codestral_psg_P,c1500322,codestral_3adb_psg
75c9_pysg,psg,codestral,True,failure,5,89.36,13124,10052,3072,True,1754403275,08.08,codestral_psg_P,75c9b49e,codestral_3adb_psg
2aa0_pysg,psg,codestral,True,failure,5,105.09,13744,10052,3692,True,1754403371,08.08,codestral_psg_P,2aa042e7,codestral_3adb_psg
54ae_pysg,psg,codestral,True,failure,5,74.73,12551,10052,2499,True,1754403485,08.08,codestral_psg_P,54aef750,codestral_3adb_psg
745c_pysg,psg,codestral,True,failure,5,84.73,12948,10052,2896,True,1754403567,08.08,codestral_psg_P,745c1cbe,codestral_3adb_psg
88f6_pysg,psg,codestral,True,failure,5,79.55,12716,10052,2664,True,1754403659,08.08,codestral_psg_P,88f65d47,codestral_3adb_psg
2cfa_pysg,psg,codestral,True,success,5,112.33,14032,10052,3980,True,1754403746,08.08,codestral_psg_P,2cfad9fe,codestral_3adb_psg
9d3e_pysg,psg,codestral,True,failure,5,104.69,13736,10052,3684,True,1754403866,08.08,codestral_psg_P,9d3ee362,codestral_3adb_psg
1c6b_pysg,psg,codestral,True,failure,5,91.06,13196,10052,3144,True,1754403978,08.08,codestral_psg_P,1c6b33ab,codestral_3adb_psg
4080_pysg,psg,codestral,True,failure,5,77.92,12655,10052,2603,True,1754404076,08.08,codestral_psg_P,408021b7,codestral_3adb_psg
9b2c_pysg,psg,codestral,True,failure,5,99.09,13512,10052,3460,True,1754404162,08.08,codestral_psg_P,9b2ca121,codestral_3adb_psg
fca9_pysg,psg,codestral,True,failure,5,113.13,14062,10052,4010,True,1754404269,08.08,codestral_psg_P,fca915f4,codestral_3adb_psg
25e7_pysg,psg,codestral,True,failure,5,77.6,12666,10052,2614,True,1754404390,08.08,codestral_psg_P,25e7838f,codestral_3adb_psg
9923_pysg,psg,codestral,True,failure,5,111.23,13992,10052,3940,True,1754404475,08.08,codestral_psg_P,992303eb,codestral_3adb_psg
250d_pysg,psg,codestral,True,failure,5,103.0,13644,10052,3592,True,1754404594,08.08,codestral_psg_P,250d0dca,codestral_3adb_psg
a45c_pysg,psg,codestral,True,failure,5,78.98,12721,10052,2669,True,1754404704,08.08,codestral_psg_P,a45c0eae,codestral_3adb_psg
5a01_pysg,psg,codestral,True,failure,5,109.88,13941,10052,3889,True,1754404791,08.08,codestral_psg_P,5a01a8ce,codestral_3adb_psg
3edb_pysg,psg,codestral,True,failure,5,95.16,13363,10052,3311,True,1754404909,08.08,codestral_psg_P,3edb81fc,codestral_3adb_psg
714e_pysg,psg,codestral,True,failure,5,94.45,13330,10052,3278,True,1754405012,08.08,codestral_psg_P,714e3343,codestral_3adb_psg
c72a_pysg,psg,codestral,True,failure,5,92.2,13242,10052,3190,True,1754405114,08.08,codestral_psg_P,c72a2c02,codestral_3adb_psg
ca04_pysg,psg,codestral,True,failure,5,100.88,13585,10052,3533,True,1754405214,08.08,codestral_psg_P,ca047389,codestral_3adb_psg
2f13_pysg,psg,codestral,True,failure,5,110.73,13975,10052,3923,True,1754405322,08.08,codestral_psg_P,2f131498,codestral_3adb_psg
44d0_pysg,psg,codestral,True,failure,5,89.23,13127,10052,3075,True,1754405441,08.08,codestral_psg_P,44d0e241,codestral_3adb_psg
6080_pysg,psg,codestral,True,failure,5,126.36,13002,10052,2950,True,1754728182,08.09,codestral_psg_P,608099c6,codestral_62f3_psg
daaa_pysg,psg,codestral,True,failure,5,69.46,13591,10052,3539,True,1754728316,08.09,codestral_psg_P,daaaae66,codestral_62f3_psg
36bd_pysg,psg,codestral,True,failure,5,74.76,13891,10052,3839,True,1754728393,08.09,codestral_psg_P,36bd2b1f,codestral_62f3_psg
cf10_pysg,psg,codestral,True,failure,5,81.1,14249,10052,4197,True,1754728476,08.09,codestral_psg_P,cf1016a1,codestral_62f3_psg
0980_pysg,psg,codestral,True,failure,5,61.45,13142,10052,3090,True,1754728564,08.09,codestral_psg_P,09809c7c,codestral_62f3_psg
55cc_pysg,psg,codestral,True,success,3,39.02,7931,5956,1975,True,1754728633,08.09,codestral_psg_P,55ccfa54,codestral_62f3_psg
176c_pysg,psg,codestral,True,failure,5,54.33,12740,10052,2688,True,1754728680,08.09,codestral_psg_P,176cdc3c,codestral_62f3_psg
6ce8_pysg,psg,codestral,True,failure,5,68.87,13559,10052,3507,True,1754728742,08.09,codestral_psg_P,6ce83831,codestral_62f3_psg
600c_pysg,psg,codestral,True,failure,5,68.02,13511,10052,3459,True,1754728819,08.09,codestral_psg_P,600c5d47,codestral_62f3_psg
df0a_pysg,psg,codestral,True,failure,5,74.96,13902,10052,3850,True,1754728895,08.09,codestral_psg_P,df0accf9,codestral_62f3_psg
50fa_pysg,psg,codestral,True,failure,5,65.75,13366,10052,3314,True,1754728977,08.09,codestral_psg_P,50faa206,codestral_62f3_psg
f160_pysg,psg,codestral,True,failure,5,64.93,13332,10052,3280,True,1754729050,08.09,codestral_psg_P,f1604a1f,codestral_62f3_psg
50a2_pysg,psg,codestral,True,failure,5,68.02,13511,10052,3459,True,1754729123,08.09,codestral_psg_P,50a2243b,codestral_62f3_psg
4c11_pysg,psg,codestral,True,failure,5,77.19,14028,10052,3976,True,1754729199,08.09,codestral_psg_P,4c117854,codestral_62f3_psg
5887_pysg,psg,codestral,True,failure,5,75.67,13942,10052,3890,True,1754729284,08.09,codestral_psg_P,5887484f,codestral_62f3_psg
c6c9_pysg,psg,codestral,True,failure,5,81.17,14253,10052,4201,True,1754729368,08.09,codestral_psg_P,c6c9a572,codestral_62f3_psg
debe_pysg,psg,codestral,True,failure,5,69.55,13600,10052,3548,True,1754729456,08.09,codestral_psg_P,debede1b,codestral_62f3_psg
b161_pysg,psg,codestral,True,failure,5,65.55,13374,10052,3322,True,1754729533,08.09,codestral_psg_P,b16106a4,codestral_62f3_psg
ebf0_pysg,psg,codestral,True,failure,5,66.55,13429,10052,3377,True,1754729606,08.09,codestral_psg_P,ebf0336c,codestral_62f3_psg
bcce_pysg,psg,codestral,True,failure,5,72.08,13740,10052,3688,True,1754729680,08.09,codestral_psg_P,bcceb55e,codestral_62f3_psg
8b9c_pysg,psg,codestral,True,failure,5,65.73,13384,10052,3332,True,1754729759,08.09,codestral_psg_P,8b9c5c96,codestral_62f3_psg
9293_pysg,psg,codestral,True,failure,5,75.21,13913,10052,3861,True,1754729833,08.09,codestral_psg_P,9293c23e,codestral_62f3_psg
bbf9_pysg,psg,codestral,True,failure,5,63.34,13234,10052,3182,True,1754729916,08.09,codestral_psg_P,bbf9362d,codestral_62f3_psg
74b1_pysg,psg,codestral,True,failure,5,64.17,13287,10052,3235,True,1754729987,08.09,codestral_psg_P,74b12c88,codestral_62f3_psg
8125_pysg,psg,codestral,True,failure,5,68.12,13515,10052,3463,True,1754730059,08.09,codestral_psg_P,81258251,codestral_62f3_psg
f267_pysg,psg,codestral,True,failure,5,77.24,14030,10052,3978,True,1754730135,08.09,codestral_psg_P,f2670254,codestral_62f3_psg
b51d_pysg,psg,codestral,True,failure,5,67.16,13464,10052,3412,True,1754730219,08.09,codestral_psg_P,b51dc4c6,codestral_62f3_psg
8c35_pysg,psg,codestral,True,failure,5,72.49,13763,10052,3711,True,1754730294,08.09,codestral_psg_P,8c352eb0,codestral_62f3_psg
4fe6_pysg,psg,codestral,True,failure,5,75.81,13951,10052,3899,True,1754730374,08.09,codestral_psg_P,4fe6f4ee,codestral_62f3_psg
3048_pysg,psg,codestral,True,failure,5,65.0,13341,10052,3289,True,1754730457,08.09,codestral_psg_P,304884e3,codestral_62f3_psg
c3f0_pysg,psg,codestral,False,failure,5,83.67,14354,10052,4302,False,1755032777,08.14,codestral_psg_NP,c3f0ca35,codestral_9eb0_psg
2e1b_pysg,psg,codestral,False,success,1,18.22,2804,1860,944,False,1755032869,08.14,codestral_psg_NP,2e1b6dc7,codestral_9eb0_psg
04f1_pysg,psg,codestral,False,failure,5,45.19,12203,10052,2151,False,1755032901,08.14,codestral_psg_NP,04f13a31,codestral_9eb0_psg
ef2f_pysg,psg,codestral,False,success,3,51.4,8602,5956,2646,False,1755032954,08.14,codestral_psg_NP,ef2f63ba,codestral_9eb0_psg
5052_pysg,psg,codestral,False,failure,5,63.69,13238,10052,3186,False,1755033013,08.14,codestral_psg_NP,50529bc5,codestral_9eb0_psg
459c_pysg,psg,codestral,False,failure,5,53.66,12676,10052,2624,False,1755033084,08.14,codestral_psg_NP,459ca5b9,codestral_9eb0_psg
1c24_pysg,psg,codestral,False,failure,5,73.07,13761,10052,3709,False,1755033145,08.14,codestral_psg_NP,1c24afd9,codestral_9eb0_psg
21e6_pysg,psg,codestral,False,failure,5,53.08,12644,10052,2592,False,1755033225,08.14,codestral_psg_NP,21e6eeda,codestral_9eb0_psg
e56d_pysg,psg,codestral,False,failure,5,75.53,13896,10052,3844,False,1755033314,08.14,codestral_psg_NP,e56d5692,codestral_9eb0_psg
e079_pysg,psg,codestral,False,failure,5,83.0,14317,10052,4265,False,1755033397,08.14,codestral_psg_NP,e07955a4,codestral_9eb0_psg
9efc_pysg,psg,codestral,False,failure,5,69.65,13572,10052,3520,False,1755033487,08.14,codestral_psg_NP,9efc3663,codestral_9eb0_psg
ad50_pysg,psg,codestral,False,success,3,37.56,7832,5956,1876,False,1755033564,08.14,codestral_psg_NP,ad50fd29,codestral_9eb0_psg
7a6e_pysg,psg,codestral,False,failure,5,68.76,13514,10052,3462,False,1755033608,08.14,codestral_psg_NP,7a6e6c4c,codestral_9eb0_psg
cb93_pysg,psg,codestral,False,success,4,58.63,10984,8004,2980,False,1755033685,08.14,codestral_psg_NP,cb93fee2,codestral_9eb0_psg
eec4_pysg,psg,codestral,False,failure,5,69.06,13538,10052,3486,False,1755033756,08.14,codestral_psg_NP,eec4f5fa,codestral_9eb0_psg
33ea_pysg,psg,codestral,False,failure,5,55.38,12771,10052,2719,False,1755033832,08.14,codestral_psg_NP,33ea5ba9,codestral_9eb0_psg
75f9_pysg,psg,codestral,False,failure,5,54.64,12732,10052,2680,False,1755033895,08.14,codestral_psg_NP,75f9cd3b,codestral_9eb0_psg
598d_pysg,psg,codestral,False,failure,5,76.5,13952,10052,3900,False,1755033956,08.14,codestral_psg_NP,598d0f9e,codestral_9eb0_psg
bc33_pysg,psg,codestral,False,failure,5,78.29,14053,10052,4001,False,1755034040,08.14,codestral_psg_NP,bc3371fc,codestral_9eb0_psg
6c45_pysg,psg,codestral,False,failure,5,53.01,12643,10052,2591,False,1755034134,08.14,codestral_psg_NP,6c45a44d,codestral_9eb0_psg
8d09_pysg,psg,codestral,False,success,4,75.8,11940,8004,3936,False,1755034195,08.14,codestral_psg_NP,8d09642f,codestral_9eb0_psg
5b10_pysg,psg,codestral,False,failure,5,80.59,14176,10052,4124,False,1755034283,08.14,codestral_psg_NP,5b1048a5,codestral_9eb0_psg
6fc4_pysg,psg,codestral,False,failure,5,68.65,13516,10052,3464,False,1755034371,08.14,codestral_psg_NP,6fc427e4,codestral_9eb0_psg
df00_pysg,psg,codestral,False,failure,5,61.78,13134,10052,3082,False,1755034446,08.14,codestral_psg_NP,df00fd9e,codestral_9eb0_psg
e382_pysg,psg,codestral,False,failure,5,78.12,14044,10052,3992,False,1755034515,08.14,codestral_psg_NP,e382acfd,codestral_9eb0_psg
