num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,c459_py_sketch_generator,c4593086,phi4_85a9_psg_batch,success,76.23,11309,7742,3567,0.0,N/A,4,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1753885916
2,5956_py_sketch_generator,59566d9a,phi4_85a9_psg_batch,success,66.74,8866,5694,3172,0.0,N/A,3,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1753886031
3,5c84_py_sketch_generator,5c842f26,phi4_85a9_psg_batch,success,13.72,2233,1598,635,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1753886104
4,ea05_py_sketch_generator,ea053ed4,phi4_85a9_psg_batch,success,16.18,2357,1598,759,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1753886156
5,90f0_py_sketch_generator,90f0dc15,phi4_85a9_psg_batch,success,14.31,2259,1598,661,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1753886209
6,1c24_py_sketch_generator,1c24c385,phi4_85a9_psg_batch,success,48.52,7935,5694,2241,0.0,N/A,3,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1753886262
7,8b65_py_sketch_generator,8b6587cd,phi4_85a9_psg_batch,failure,84.02,13673,9790,3883,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1753886317
8,1212_py_sketch_generator,12129c51,phi4_85a9_psg_batch,failure,83.66,13672,9790,3882,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1753886409
9,5074_py_sketch_generator,5074eec8,phi4_85a9_psg_batch,success,76.12,13278,9790,3488,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1753886499
10,151c_py_sketch_generator,151c23e1,phi4_85a9_psg_batch,failure,85.21,13746,9790,3956,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1753886583
11,f72b_py_sketch_generator,f72b2529,phi4_85a9_psg_batch,success,73.14,11184,7742,3442,0.0,N/A,4,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1753886675
12,0f23_py_sketch_generator,0f23a588,phi4_85a9_psg_batch,success,88.45,13694,9570,4124,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1753886774
13,e043_py_sketch_generator,e043c086,phi4_85a9_psg_batch,success,91.5,14073,9790,4283,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1753886869
14,93c4_py_sketch_generator,93c476c4,phi4_85a9_psg_batch,failure,83.33,13661,9790,3871,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1753886992
15,f27c_py_sketch_generator,f27c4644,phi4_85a9_psg_batch,success,49.43,7993,5694,2299,0.0,N/A,3,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1753887083
16,a0cf_py_sketch_generator,a0cf0eef,phi4_85a9_psg_batch,success,68.24,10932,7742,3190,0.0,N/A,4,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1753887139
17,8bd4_py_sketch_generator,8bd43a52,phi4_85a9_psg_batch,failure,98.59,14447,9790,4657,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1753887215
18,455f_py_sketch_generator,455ffdb4,phi4_85a9_psg_batch,failure,94.16,14199,9790,4409,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1753887321
19,1b55_py_sketch_generator,1b55cd0f,phi4_85a9_psg_batch,success,14.7,2287,1598,689,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1753887423
20,3286_py_sketch_generator,3286ec0d,phi4_85a9_psg_batch,failure,85.51,13751,9790,3961,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1753887475
21,e796_py_sketch_generator,e79675f6,phi4_85a9_psg_batch,success,16.6,2371,1598,773,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1753887568
22,ca7f_py_sketch_generator,ca7fa1f6,phi4_85a9_psg_batch,failure,89.58,13954,9790,4164,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1753887623
23,303e_py_sketch_generator,303e503c,phi4_85a9_psg_batch,failure,79.14,13466,9790,3676,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1753887721
24,7a05_py_sketch_generator,7a05fb0d,phi4_85a9_psg_batch,success,68.06,10898,7742,3156,0.0,N/A,4,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1753887807
