num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,d544_tpu_sketch_generator,d54479fd,phi4_85a9_tpusg_batch,success,55.6,5871,3854,2017,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1753883095
2,392a_tpu_sketch_generator,392aed53,phi4_85a9_tpusg_batch,success,66.82,9098,5902,3196,0.0,N/A,3,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1753883218
3,a202_tpu_sketch_generator,a2023b4a,phi4_85a9_tpusg_batch,success,23.23,2906,1806,1100,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1753883359
4,0f12_tpu_sketch_generator,0f126758,phi4_85a9_tpusg_batch,success,39.15,5702,3854,1848,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1753883441
5,0b55_tpu_sketch_generator,0b55a27f,phi4_85a9_tpusg_batch,success,20.07,2747,1806,941,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1753883546
6,374d_tpu_sketch_generator,374ddc39,phi4_85a9_tpusg_batch,success,17.4,2604,1806,798,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1753883627
7,3fb1_tpu_sketch_generator,3fb10dcd,phi4_85a9_tpusg_batch,success,18.27,2649,1806,843,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1753883702
8,e016_tpu_sketch_generator,e016b5e7,phi4_85a9_tpusg_batch,success,19.09,2689,1806,883,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1753883779
9,7bf9_tpu_sketch_generator,7bf9ea7f,phi4_85a9_tpusg_batch,success,16.08,2525,1806,719,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1753883856
10,fbfb_tpu_sketch_generator,fbfbb01b,phi4_85a9_tpusg_batch,success,45.14,5824,3854,1970,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1753883931
