num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,eb6a_tpu_sketch_generator,eb6a0564,qwen2.5-coder:32b_5f8b_tpusg_batch,success,54.38,5737,3881,1856,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754263311
2,b307_tpu_sketch_generator,b307c016,qwen2.5-coder:32b_5f8b_tpusg_batch,failure,153.74,15371,10025,5346,0.0,N/A,5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754263432
3,261f_tpu_sketch_generator,261fca44,qwen2.5-coder:32b_5f8b_tpusg_batch,success,22.85,2613,1833,780,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754263631
4,174b_tpu_sketch_generator,174b4dc4,qwen2.5-coder:32b_5f8b_tpusg_batch,success,49.0,5558,3881,1677,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754263712
5,b80d_tpu_sketch_generator,b80d0266,qwen2.5-coder:32b_5f8b_tpusg_batch,success,51.94,5666,3881,1785,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754263826
6,abc6_tpu_sketch_generator,abc6094b,qwen2.5-coder:32b_5f8b_tpusg_batch,success,58.04,5864,3881,1983,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754263941
7,ffd6_tpu_sketch_generator,ffd6c319,qwen2.5-coder:32b_5f8b_tpusg_batch,success,25.51,2709,1833,876,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754264065
8,fbb0_tpu_sketch_generator,fbb02c94,qwen2.5-coder:32b_5f8b_tpusg_batch,success,52.74,5698,3881,1817,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754264149
9,d3e2_tpu_sketch_generator,d3e23cb1,qwen2.5-coder:32b_5f8b_tpusg_batch,success,25.25,2698,1833,865,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754264268
10,26f3_tpu_sketch_generator,26f3a426,qwen2.5-coder:32b_5f8b_tpusg_batch,success,95.73,9279,5929,3350,0.0,N/A,3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754264352
11,93b1_tpu_sketch_generator,93b1a11e,qwen2.5-coder:32b_5f8b_tpusg_batch,success,24.95,2682,1833,849,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754264523
12,bcd7_tpu_sketch_generator,bcd79d19,qwen2.5-coder:32b_5f8b_tpusg_batch,success,23.52,2637,1833,804,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754264607
13,09da_tpu_sketch_generator,09da0adb,qwen2.5-coder:32b_5f8b_tpusg_batch,success,56.56,5841,3881,1960,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754264689
14,058c_tpu_sketch_generator,058cf412,qwen2.5-coder:32b_5f8b_tpusg_batch,success,26.32,2727,1833,894,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754264813
15,632e_tpu_sketch_generator,632e0b92,qwen2.5-coder:32b_5f8b_tpusg_batch,success,55.27,5789,3881,1908,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754264898
16,ab6c_tpu_sketch_generator,ab6c2ab5,qwen2.5-coder:32b_5f8b_tpusg_batch,success,26.04,2728,1833,895,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754265020
17,597a_tpu_sketch_generator,597a0024,qwen2.5-coder:32b_5f8b_tpusg_batch,success,23.59,2637,1833,804,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754265105
18,f325_tpu_sketch_generator,f325a6d6,qwen2.5-coder:32b_5f8b_tpusg_batch,success,24.22,2654,1833,821,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754265186
19,38f5_tpu_sketch_generator,38f50e62,qwen2.5-coder:32b_5f8b_tpusg_batch,success,54.7,5768,3881,1887,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754265269
20,2047_tpu_sketch_generator,20474b49,qwen2.5-coder:32b_5f8b_tpusg_batch,success,61.73,6035,3881,2154,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754265387
21,dbbd_tpu_sketch_generator,dbbd6b1f,qwen2.5-coder:32b_5f8b_tpusg_batch,success,56.0,5819,3881,1938,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754265466
22,60ed_tpu_sketch_generator,60ed3a82,qwen2.5-coder:32b_5f8b_tpusg_batch,success,21.72,2570,1833,737,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754265588
