num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,3888_py_sketch_generator,38887890,qwen2.5-coder:32b_17ec_psg_batch,success,20.25,2300,1618,682,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754317999
2,05cd_py_sketch_generator,05cd5e77,qwen2.5-coder:32b_17ec_psg_batch,failure,135.85,14421,9810,4611,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754318030
3,a0c7_py_sketch_generator,a0c7e478,qwen2.5-coder:32b_17ec_psg_batch,failure,138.15,14533,9810,4723,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754318174
4,9f37_py_sketch_generator,9f37b1d6,qwen2.5-coder:32b_17ec_psg_batch,success,19.47,2273,1618,655,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754318319
5,5aad_py_sketch_generator,5aad1270,qwen2.5-coder:32b_17ec_psg_batch,success,45.51,5198,3666,1532,0.0,N/A,2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754318377
6,bc81_py_sketch_generator,bc810e7e,qwen2.5-coder:32b_17ec_psg_batch,success,82.36,8523,5714,2809,0.0,N/A,3,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754318460
7,feab_py_sketch_generator,feab58bc,qwen2.5-coder:32b_17ec_psg_batch,failure,121.85,13921,9810,4111,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754318581
8,5aa9_py_sketch_generator,5aa99a12,qwen2.5-coder:32b_17ec_psg_batch,failure,131.17,14278,9810,4468,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754318710
9,d18c_py_sketch_generator,d18c8893,qwen2.5-coder:32b_17ec_psg_batch,success,46.16,5226,3666,1560,0.0,N/A,2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754318849
10,02f1_py_sketch_generator,02f13f42,qwen2.5-coder:32b_17ec_psg_batch,failure,128.24,14154,9810,4344,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754318907
11,9302_py_sketch_generator,9302b1eb,qwen2.5-coder:32b_17ec_psg_batch,failure,124.69,14034,9810,4224,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754319042
12,86cd_py_sketch_generator,86cd171f,qwen2.5-coder:32b_17ec_psg_batch,failure,133.71,14360,9810,4550,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754319174
13,366b_py_sketch_generator,366bb35b,qwen2.5-coder:32b_17ec_psg_batch,failure,127.14,14119,9810,4309,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754319315
14,a155_py_sketch_generator,a1559d5c,qwen2.5-coder:32b_17ec_psg_batch,failure,130.03,14224,9810,4414,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754319450
15,dfd7_py_sketch_generator,dfd7904b,qwen2.5-coder:32b_17ec_psg_batch,success,104.74,11328,7762,3566,0.0,N/A,4,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754319587
16,3f04_py_sketch_generator,3f04be7e,qwen2.5-coder:32b_17ec_psg_batch,failure,122.51,13949,9810,4139,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754319731
17,8d5e_py_sketch_generator,8d5ee340,qwen2.5-coder:32b_17ec_psg_batch,failure,125.57,14051,9810,4241,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754319861
