num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,8a7c_data_processor,8a7ca691,qwen2.5-coder:32b_7cb7_dp_batch,success,125.37,16475,13669,2806,0.0,N/A,10,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1770203308
2,1707_data_processor,17071824,qwen2.5-coder:32b_7cb7_dp_batch,success,124.9,14748,11864,2884,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1770203475
3,cd2b_data_processor,cd2b1cf6,qwen2.5-coder:32b_7cb7_dp_batch,success,105.78,13922,11521,2401,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1770203631
4,9cdc_data_processor,9cdc5906,qwen2.5-coder:32b_7cb7_dp_batch,success,108.51,13897,11429,2468,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1770203768
5,a498_data_processor,a498655d,qwen2.5-coder:32b_7cb7_dp_batch,success,115.17,15659,13085,2574,0.0,N/A,10,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1770203909
6,a2e9_data_processor,a2e9dbe3,qwen2.5-coder:32b_7cb7_dp_batch,success,109.02,13944,11463,2481,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1770204055
7,db40_data_processor,db403f8d,qwen2.5-coder:32b_7cb7_dp_batch,success,91.4,13480,11447,2033,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1770204196
8,18ea_data_processor,18ea30f7,qwen2.5-coder:32b_7cb7_dp_batch,success,116.89,14251,11568,2683,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1770204320
9,37e7_data_processor,37e7794e,qwen2.5-coder:32b_7cb7_dp_batch,success,122.25,14659,11848,2811,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1770204467
10,6e87_data_processor,6e87bac5,qwen2.5-coder:32b_7cb7_dp_batch,success,108.64,14116,11640,2476,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1770204620
11,b719_data_processor,b71951b5,qwen2.5-coder:32b_7cb7_dp_batch,success,112.92,15788,13269,2519,0.0,N/A,10,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1770204758
12,18ed_data_processor,18ed39d7,qwen2.5-coder:32b_7cb7_dp_batch,success,103.54,15659,13414,2245,0.0,N/A,10,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1770204902
13,61a0_data_processor,61a0eb6d,qwen2.5-coder:32b_7cb7_dp_batch,failure,146.91,18722,15465,3257,0.0,N/A,10,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1770205038
14,1e1e_data_processor,1e1e6300,qwen2.5-coder:32b_7cb7_dp_batch,failure,160.72,21668,18167,3501,0.0,N/A,12,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1770205214
15,5e9e_data_processor,5e9ea1dd,qwen2.5-coder:32b_7cb7_dp_batch,failure,121.59,18803,16205,2598,0.0,N/A,11,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1770205409
16,db43_data_processor,db43c167,qwen2.5-coder:32b_7cb7_dp_batch,success,120.07,16048,13367,2681,0.0,N/A,10,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1770205565
17,3159_data_processor,31590626,qwen2.5-coder:32b_7cb7_dp_batch,failure,130.98,16165,13248,2917,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1770205718
18,fb53_data_processor,fb532d63,qwen2.5-coder:32b_7cb7_dp_batch,failure,97.34,16319,14278,2041,0.0,N/A,10,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1770205879
19,e1c2_data_processor,e1c2fcca,qwen2.5-coder:32b_7cb7_dp_batch,success,94.71,13432,11315,2117,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1770206008
20,9697_data_processor,9697537e,qwen2.5-coder:32b_7cb7_dp_batch,success,210.98,25744,20981,4763,0.0,N/A,14,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1770206135
21,9ac9_data_processor,9ac91512,qwen2.5-coder:32b_7cb7_dp_batch,success,113.46,14042,11470,2572,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1770206380
22,114d_data_processor,114d7a3d,qwen2.5-coder:32b_7cb7_dp_batch,success,112.47,14138,11565,2573,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1770206527
23,3641_data_processor,36412f01,qwen2.5-coder:32b_7cb7_dp_batch,failure,121.07,16117,13480,2637,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1770206670
24,a2df_data_processor,a2dfa2cb,qwen2.5-coder:32b_7cb7_dp_batch,success,92.37,13761,11712,2049,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1770206822
25,2ceb_data_processor,2cebda6c,qwen2.5-coder:32b_7cb7_dp_batch,success,98.51,13799,11579,2220,0.0,N/A,9,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:32b']",1770206950
