num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,db76_sketch_generator,db76d9db,qwen2.5-coder:32b_7cb7_sg_batch,failure,250.67,17447,11502,5945,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770207955
2,4966_sketch_generator,4966aadb,qwen2.5-coder:32b_7cb7_sg_batch,failure,257.38,17632,11503,6129,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770208328
3,e8dc_sketch_generator,e8dc3dc6,qwen2.5-coder:32b_7cb7_sg_batch,failure,257.28,17603,11503,6100,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770208732
4,91c4_sketch_generator,91c41711,qwen2.5-coder:32b_7cb7_sg_batch,failure,257.86,17537,11505,6032,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770209082
5,0687_sketch_generator,0687168f,qwen2.5-coder:32b_7cb7_sg_batch,failure,267.76,17860,11497,6363,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770209502
6,94ff_sketch_generator,94ff943c,qwen2.5-coder:32b_7cb7_sg_batch,failure,256.08,17613,11496,6117,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770209922
7,b9e8_sketch_generator,b9e8039b,qwen2.5-coder:32b_7cb7_sg_batch,failure,259.29,17638,11498,6140,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770210362
8,2f46_sketch_generator,2f46179a,qwen2.5-coder:32b_7cb7_sg_batch,failure,250.35,17444,11503,5941,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770210810
9,b170_sketch_generator,b1705a70,qwen2.5-coder:32b_7cb7_sg_batch,failure,274.91,18085,11497,6588,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770211238
10,65db_sketch_generator,65dbee41,qwen2.5-coder:32b_7cb7_sg_batch,failure,254.1,17536,11510,6026,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770211681
