num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,690d_sketch_generator,690d13b0,qwen2.5-coder:32b_ab1q_sg_batch,failure,219.65,6551,1863,4688,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770128555
2,2d2d_sketch_generator,2d2df361,qwen2.5-coder:32b_ab1q_sg_batch,failure,192.91,6800,1723,5077,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770128923
3,4137_sketch_generator,4137a55f,qwen2.5-coder:32b_ab1q_sg_batch,failure,186.05,6662,1778,4884,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770129219
4,e9fe_sketch_generator,e9fe086c,qwen2.5-coder:32b_ab1q_sg_batch,failure,192.43,6907,1843,5064,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770129508
5,20fd_sketch_generator,20fdbda3,qwen2.5-coder:32b_ab1q_sg_batch,failure,171.04,6389,1888,4501,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770129792
6,d435_sketch_generator,d4359769,qwen2.5-coder:32b_ab1q_sg_batch,failure,199.94,6813,1758,5055,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770130135
7,ff22_sketch_generator,ff223b5c,qwen2.5-coder:32b_ab1q_sg_batch,failure,210.87,6805,1638,5167,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770130462
8,a708_sketch_generator,a7087bdc,qwen2.5-coder:32b_ab1q_sg_batch,failure,226.86,7369,1818,5551,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770130801
9,0985_sketch_generator,0985941f,qwen2.5-coder:32b_ab1q_sg_batch,failure,184.43,6711,2103,4608,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770131155
10,8f72_sketch_generator,8f727337,qwen2.5-coder:32b_ab1q_sg_batch,failure,207.72,7250,1793,5457,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770131500
11,757e_sketch_generator,757e4ad7,qwen2.5-coder:32b_ab1q_sg_batch,failure,178.57,6702,2013,4689,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770131837
12,a73f_sketch_generator,a73fd928,qwen2.5-coder:32b_ab1q_sg_batch,failure,178.07,6470,1818,4652,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770132077
13,9578_sketch_generator,9578c434,qwen2.5-coder:32b_ab1q_sg_batch,failure,173.2,6341,1798,4543,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770132390
14,84a2_sketch_generator,84a26c81,qwen2.5-coder:32b_ab1q_sg_batch,failure,215.96,7799,2158,5641,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770132739
15,b0b0_sketch_generator,b0b0f173,qwen2.5-coder:32b_ab1q_sg_batch,failure,200.46,7035,1773,5262,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770133113
16,0c46_sketch_generator,0c461562,qwen2.5-coder:32b_ab1q_sg_batch,failure,205.12,6982,1803,5179,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770133449
17,7174_sketch_generator,7174a74a,qwen2.5-coder:32b_ab1q_sg_batch,failure,200.7,6717,1813,4904,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770133787
18,86e5_sketch_generator,86e597cd,qwen2.5-coder:32b_ab1q_sg_batch,failure,197.74,6598,1758,4840,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770134113
19,9c77_sketch_generator,9c775658,qwen2.5-coder:32b_ab1q_sg_batch,failure,211.5,7221,1883,5338,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770134444
20,dd45_sketch_generator,dd45ef2f,qwen2.5-coder:32b_ab1q_sg_batch,failure,202.38,7433,2133,5300,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770134806
21,3696_sketch_generator,3696bd14,qwen2.5-coder:32b_ab1q_sg_batch,failure,184.34,6854,2003,4851,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770135130
22,e741_sketch_generator,e7417854,qwen2.5-coder:32b_ab1q_sg_batch,failure,193.45,6885,1823,5062,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770135443
23,9244_sketch_generator,92447287,qwen2.5-coder:32b_ab1q_sg_batch,failure,195.31,6932,1923,5009,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770135768
24,15ec_sketch_generator,15ecefa2,qwen2.5-coder:32b_ab1q_sg_batch,failure,203.02,7108,1903,5205,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770136066
25,2b54_sketch_generator,2b540fd6,qwen2.5-coder:32b_ab1q_sg_batch,failure,203.02,7039,1878,5161,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770136331
26,b148_sketch_generator,b1487eab,qwen2.5-coder:32b_ab1q_sg_batch,failure,184.38,6474,1758,4716,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770136685
27,9b4c_sketch_generator,9b4c0fa5,qwen2.5-coder:32b_ab1q_sg_batch,failure,183.5,7017,2233,4784,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770136999
28,bcc8_sketch_generator,bcc87508,qwen2.5-coder:32b_ab1q_sg_batch,failure,183.9,6563,1768,4795,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770137322
29,1f2e_sketch_generator,1f2e4de1,qwen2.5-coder:32b_ab1q_sg_batch,failure,176.56,6352,1758,4594,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770137657
30,65d4_sketch_generator,65d4aa05,qwen2.5-coder:32b_ab1q_sg_batch,failure,182.75,6636,1913,4723,0.0,N/A,6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1770137968
