num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,6a1b_py_sketch_generator,6a1b5482,phi4_ab1p_psg_batch,failure,92.87,4177,665,3512,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1769997088
2,8e81_py_sketch_generator,8e81586d,phi4_ab1p_psg_batch,success,36.59,2110,266,1844,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1769997217
3,a868_py_sketch_generator,a868259e,phi4_ab1p_psg_batch,success,73.71,4391,665,3726,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1769997291
4,5983_py_sketch_generator,59838a83,phi4_ab1p_psg_batch,failure,74.34,4411,665,3746,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1769997406
5,7aa2_py_sketch_generator,7aa2dd84,phi4_ab1p_psg_batch,failure,64.82,3927,665,3262,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1769997523
6,0009_py_sketch_generator,00090417,phi4_ab1p_psg_batch,success,43.94,2596,399,2197,0.0,N/A,3,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1769997624
7,fc7b_py_sketch_generator,fc7b1172,phi4_ab1p_psg_batch,failure,71.19,4244,665,3579,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1769997727
8,fdb7_py_sketch_generator,fdb71e07,phi4_ab1p_psg_batch,success,76.65,4519,665,3854,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1769997832
9,6d91_py_sketch_generator,6d913adc,phi4_ab1p_psg_batch,failure,83.35,4847,665,4182,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1769997955
10,da06_py_sketch_generator,da06968e,phi4_ab1p_psg_batch,failure,71.76,4284,665,3619,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1769998077
11,d04e_py_sketch_generator,d04e68f1,phi4_ab1p_psg_batch,failure,73.86,4395,665,3730,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1769998182
12,78b9_py_sketch_generator,78b9e9f7,phi4_ab1p_psg_batch,success,48.43,2843,399,2444,0.0,N/A,3,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1769998290
13,1eb2_py_sketch_generator,1eb27c90,phi4_ab1p_psg_batch,success,42.33,2539,399,2140,0.0,N/A,3,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1769998400
14,d1f1_py_sketch_generator,d1f17d57,phi4_ab1p_psg_batch,failure,75.17,4438,665,3773,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1769998504
15,2ed7_py_sketch_generator,2ed7c13b,phi4_ab1p_psg_batch,failure,74.67,4429,665,3764,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1769998613
16,e89e_py_sketch_generator,e89eed4d,phi4_ab1p_psg_batch,failure,69.4,4171,665,3506,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1769998720
17,4f58_py_sketch_generator,4f58601f,phi4_ab1p_psg_batch,success,60.05,3569,532,3037,0.0,N/A,4,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1769998826
18,e697_py_sketch_generator,e6975aff,phi4_ab1p_psg_batch,failure,70.24,4201,665,3536,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1769998948
19,2448_py_sketch_generator,2448f846,phi4_ab1p_psg_batch,success,38.44,2195,266,1929,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1769999049
20,d358_py_sketch_generator,d35820a4,phi4_ab1p_psg_batch,success,29.04,1733,266,1467,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1769999145
