num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,36c2_sketch_generator,36c26d1b,phi4_ab1p_sg_batch,failure,96.36,6606,2140,4466,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770120792
2,9ad3_sketch_generator,9ad37ed7,phi4_ab1p_sg_batch,failure,110.06,7293,2045,5248,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770121047
3,6e43_sketch_generator,6e43fd91,phi4_ab1p_sg_batch,failure,100.66,6566,1745,4821,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770121289
4,2561_sketch_generator,2561a8d9,phi4_ab1p_sg_batch,failure,99.43,6753,1955,4798,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770121471
5,89d3_sketch_generator,89d376e5,phi4_ab1p_sg_batch,failure,88.63,6404,1760,4644,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770121702
6,fb49_sketch_generator,fb4974dc,phi4_ab1p_sg_batch,failure,93.25,6684,1780,4904,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770121918
7,a499_sketch_generator,a4998881,phi4_ab1p_sg_batch,failure,89.75,6393,1650,4743,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770122139
8,4033_sketch_generator,4033395c,phi4_ab1p_sg_batch,failure,89.03,6535,1840,4695,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770122281
9,68b8_sketch_generator,68b8f1a3,phi4_ab1p_sg_batch,failure,83.15,6344,2000,4344,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770122518
10,3e76_sketch_generator,3e76828b,phi4_ab1p_sg_batch,failure,94.03,6824,1860,4964,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770122629
11,daab_sketch_generator,daab922b,phi4_ab1p_sg_batch,failure,82.34,6263,1930,4333,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770122855
12,bbbc_sketch_generator,bbbc166b,phi4_ab1p_sg_batch,failure,97.45,6904,1765,5139,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770123041
13,3816_sketch_generator,3816969a,phi4_ab1p_sg_batch,failure,94.13,7167,2225,4942,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770123263
14,ad89_sketch_generator,ad898405,phi4_ab1p_sg_batch,failure,89.33,6767,2080,4687,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770123460
15,d99a_sketch_generator,d99ad05c,phi4_ab1p_sg_batch,failure,93.89,6642,1835,4807,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770123677
16,8ced_sketch_generator,8ceda40f,phi4_ab1p_sg_batch,failure,92.21,6398,2015,4383,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770123894
17,1636_sketch_generator,16362157,phi4_ab1p_sg_batch,failure,99.2,6612,1865,4747,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770124109
18,a6ed_sketch_generator,a6ed650b,phi4_ab1p_sg_batch,failure,90.2,6008,1740,4268,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770124371
19,d27a_sketch_generator,d27a367f,phi4_ab1p_sg_batch,failure,87.17,5925,1780,4145,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770124592
20,0105_sketch_generator,01050e1d,phi4_ab1p_sg_batch,failure,80.28,5941,1765,4176,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770124784
21,9437_sketch_generator,9437f34c,phi4_ab1p_sg_batch,failure,88.62,6320,1670,4650,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770124967
22,3bef_sketch_generator,3bef6927,phi4_ab1p_sg_batch,failure,92.95,7189,2320,4869,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770125133
23,7f6d_sketch_generator,7f6dedf2,phi4_ab1p_sg_batch,failure,78.95,5932,1775,4157,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770125398
24,282e_sketch_generator,282e0ef3,phi4_ab1p_sg_batch,failure,92.9,6618,1750,4868,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770125621
25,2de1_sketch_generator,2de16b2e,phi4_ab1p_sg_batch,failure,96.39,6599,1650,4949,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770125871
26,a488_sketch_generator,a4887514,phi4_ab1p_sg_batch,failure,86.35,6546,2165,4381,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770126096
27,ba17_sketch_generator,ba1781fa,phi4_ab1p_sg_batch,failure,85.11,5974,1610,4364,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770126270
28,849b_sketch_generator,849bac74,phi4_ab1p_sg_batch,failure,91.96,6386,1685,4701,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770126484
29,f3cd_sketch_generator,f3cd0759,phi4_ab1p_sg_batch,failure,91.01,6484,1720,4764,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770126705
30,f174_sketch_generator,f1748c6f,phi4_ab1p_sg_batch,failure,89.07,6589,1940,4649,0.0,N/A,6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1770126925
