num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,e868_tpu_sketch_generator,e868e984,phi4_ab1p_tpusg_batch,success,114.42,5125,805,4320,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770116548
2,75f0_tpu_sketch_generator,75f054df,phi4_ab1p_tpusg_batch,success,48.11,2816,483,2333,0.0,N/A,3,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770116766
3,f285_tpu_sketch_generator,f2854505,phi4_ab1p_tpusg_batch,failure,83.1,4831,805,4026,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770116909
4,c318_tpu_sketch_generator,c31864d2,phi4_ab1p_tpusg_batch,success,32.47,1878,322,1556,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770117054
5,d9a3_tpu_sketch_generator,d9a39b6f,phi4_ab1p_tpusg_batch,failure,75.89,4494,805,3689,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770117172
6,3496_tpu_sketch_generator,3496ca6d,phi4_ab1p_tpusg_batch,success,16.85,976,161,815,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770117316
7,85c0_tpu_sketch_generator,85c04775,phi4_ab1p_tpusg_batch,success,50.45,2915,483,2432,0.0,N/A,3,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770117411
8,1eac_tpu_sketch_generator,1eace78b,phi4_ab1p_tpusg_batch,failure,72.59,4394,805,3589,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770117557
9,9e04_tpu_sketch_generator,9e04164c,phi4_ab1p_tpusg_batch,failure,71.07,4632,805,3827,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770117687
10,804d_tpu_sketch_generator,804dc9a6,phi4_ab1p_tpusg_batch,failure,76.7,4891,805,4086,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770117824
11,542e_tpu_sketch_generator,542e83dd,phi4_ab1p_tpusg_batch,failure,71.33,4567,805,3762,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770117966
12,3352_tpu_sketch_generator,33528ce8,phi4_ab1p_tpusg_batch,failure,72.12,4661,805,3856,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770118099
13,b165_tpu_sketch_generator,b165a5bb,phi4_ab1p_tpusg_batch,success,76.83,4912,805,4107,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770118233
14,f6b8_tpu_sketch_generator,f6b8fa0c,phi4_ab1p_tpusg_batch,failure,78.33,4964,805,4159,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770118415
15,a5b6_tpu_sketch_generator,a5b64fe0,phi4_ab1p_tpusg_batch,success,52.84,3427,644,2783,0.0,N/A,4,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770118547
16,05de_tpu_sketch_generator,05de57ce,phi4_ab1p_tpusg_batch,success,29.52,1877,322,1555,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770118702
17,46d9_tpu_sketch_generator,46d9e1e4,phi4_ab1p_tpusg_batch,failure,76.5,4766,805,3961,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770118814
