num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,9ef6_tpu_sketch_generator,9ef633a9,phi4_5f04_tpusg_batch,success,23.86,2812,1078,1734,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770431637
2,0262_tpu_sketch_generator,0262222b,phi4_5f04_tpusg_batch,success,38.47,4483,1709,2774,0.0,N/A,3,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770431747
3,1e57_tpu_sketch_generator,1e578093,phi4_5f04_tpusg_batch,success,66.99,7816,2983,4833,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770431879
4,e71b_tpu_sketch_generator,e71bfe33,phi4_5f04_tpusg_batch,success,22.93,2659,1017,1642,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770432057
5,c467_tpu_sketch_generator,c4673846,phi4_5f04_tpusg_batch,success,41.79,4754,1767,2987,0.0,N/A,3,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770432167
6,ac1a_tpu_sketch_generator,ac1a2941,phi4_5f04_tpusg_batch,success,53.29,6350,2477,3873,0.0,N/A,4,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770432303
7,3e9f_tpu_sketch_generator,3e9f5b9d,phi4_5f04_tpusg_batch,success,24.61,2757,1019,1738,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770432459
8,be90_tpu_sketch_generator,be907f31,phi4_5f04_tpusg_batch,success,37.74,4343,1654,2689,0.0,N/A,3,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770432571
9,275c_tpu_sketch_generator,275c389a,phi4_5f04_tpusg_batch,success,63.42,7449,2856,4593,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770432704
10,423b_tpu_sketch_generator,423bfa9e,phi4_5f04_tpusg_batch,success,13.87,1444,454,990,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770432878
11,ed1b_tpu_sketch_generator,ed1bf196,phi4_5f04_tpusg_batch,success,24.07,2800,1080,1720,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770432970
12,c749_tpu_sketch_generator,c749384b,phi4_5f04_tpusg_batch,success,51.72,5898,2272,3626,0.0,N/A,4,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770433081
13,35b0_tpu_sketch_generator,35b0cf0d,phi4_5f04_tpusg_batch,success,13.02,1327,454,873,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770433236
14,e392_tpu_sketch_generator,e392d87e,phi4_5f04_tpusg_batch,success,24.78,2811,1076,1735,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770433328
15,fd2a_tpu_sketch_generator,fd2a2a38,phi4_5f04_tpusg_batch,failure,62.8,7468,2941,4527,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770433437
16,b948_tpu_sketch_generator,b9486fb9,phi4_5f04_tpusg_batch,success,41.5,4659,1668,2991,0.0,N/A,3,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770433569
17,de5e_tpu_sketch_generator,de5e50c8,phi4_5f04_tpusg_batch,success,62.02,7432,2928,4504,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770433705
18,12d1_tpu_sketch_generator,12d17c7d,phi4_5f04_tpusg_batch,success,36.25,4265,1644,2621,0.0,N/A,3,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770433879
19,732f_tpu_sketch_generator,732fd66a,phi4_5f04_tpusg_batch,success,61.81,6876,2400,4476,0.0,N/A,4,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770434011
20,78c4_tpu_sketch_generator,78c4fedd,phi4_5f04_tpusg_batch,success,36.66,4260,1623,2637,0.0,N/A,3,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770434177
21,fb45_tpu_sketch_generator,fb4557bf,phi4_5f04_tpusg_batch,success,48.53,5818,2275,3543,0.0,N/A,4,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770434309
22,c164_tpu_sketch_generator,c16476f5,phi4_5f04_tpusg_batch,success,33.31,4111,1663,2448,0.0,N/A,3,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770434458
23,cd77_tpu_sketch_generator,cd778d6f,phi4_5f04_tpusg_batch,success,70.49,8232,3072,5160,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770434587
24,8260_tpu_sketch_generator,82606e8f,phi4_5f04_tpusg_batch,failure,61.46,7443,2921,4522,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770434769
25,186c_tpu_sketch_generator,186c9440,phi4_5f04_tpusg_batch,success,36.95,4414,1705,2709,0.0,N/A,3,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770434898
26,b014_tpu_sketch_generator,b0143601,phi4_5f04_tpusg_batch,failure,62.02,7571,3017,4554,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1770435030
