num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,d811_tpu_sketch_generator,d8116472,gpt-5-2025-08-07_7aac_tpusg_batch,success,134.78,9764,464,9300,0.09358,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770303454
2,52d0_tpu_sketch_generator,52d0580c,gpt-5-2025-08-07_7aac_tpusg_batch,success,81.63,6979,464,6515,0.06573,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770303668
3,1b68_tpu_sketch_generator,1b68b6a2,gpt-5-2025-08-07_7aac_tpusg_batch,success,187.28,13247,928,12319,0.12434999999999999,{'extra_body:{}'},2,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770303828
4,3811_tpu_sketch_generator,3811f25d,gpt-5-2025-08-07_7aac_tpusg_batch,success,93.42,6749,464,6285,0.06343,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770304103
5,c2a8_tpu_sketch_generator,c2a8d4cd,gpt-5-2025-08-07_7aac_tpusg_batch,success,119.02,6631,464,6167,0.06225,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770304275
6,734d_tpu_sketch_generator,734d6206,gpt-5-2025-08-07_7aac_tpusg_batch,success,144.21,8203,464,7739,0.07797,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770304473
7,0584_tpu_sketch_generator,05849f06,gpt-5-2025-08-07_7aac_tpusg_batch,success,101.8,8302,464,7838,0.07896,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770304698
8,bae0_tpu_sketch_generator,bae0d5d9,gpt-5-2025-08-07_7aac_tpusg_batch,success,93.93,6324,464,5860,0.05918,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770304879
9,78fd_tpu_sketch_generator,78fdb4a1,gpt-5-2025-08-07_7aac_tpusg_batch,success,122.91,7681,464,7217,0.07275,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770305051
10,7518_tpu_sketch_generator,751838c7,gpt-5-2025-08-07_7aac_tpusg_batch,success,173.6,8321,464,7857,0.07915,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770305253
11,875e_tpu_sketch_generator,875ebe8d,gpt-5-2025-08-07_7aac_tpusg_batch,success,131.96,6804,464,6340,0.06398,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770305506
12,2e2c_tpu_sketch_generator,2e2cb256,gpt-5-2025-08-07_7aac_tpusg_batch,success,128.16,7355,464,6891,0.06949,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770305716
13,a490_tpu_sketch_generator,a49094f9,gpt-5-2025-08-07_7aac_tpusg_batch,success,125.21,9782,464,9318,0.09376,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770305924
14,0323_tpu_sketch_generator,03233b60,gpt-5-2025-08-07_7aac_tpusg_batch,success,108.29,8101,464,7637,0.07695,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770306129
15,b64f_tpu_sketch_generator,b64f5944,gpt-5-2025-08-07_7aac_tpusg_batch,success,117.7,8809,464,8345,0.08403,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770306316
16,c791_tpu_sketch_generator,c791ae58,gpt-5-2025-08-07_7aac_tpusg_batch,success,121.51,9455,464,8991,0.09049,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770306515
17,b2ed_tpu_sketch_generator,b2ed4242,gpt-5-2025-08-07_7aac_tpusg_batch,success,128.56,7431,464,6967,0.07025,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770306718
18,1446_tpu_sketch_generator,1446248b,gpt-5-2025-08-07_7aac_tpusg_batch,success,148.72,6602,464,6138,0.06196,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770306926
19,abf6_tpu_sketch_generator,abf6c07b,gpt-5-2025-08-07_7aac_tpusg_batch,success,336.96,20886,928,19958,0.20073999999999997,{'extra_body:{}'},2,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770307154
20,729c_tpu_sketch_generator,729cb723,gpt-5-2025-08-07_7aac_tpusg_batch,success,112.81,7590,464,7126,0.07184,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770307636
21,18e9_tpu_sketch_generator,18e993e2,gpt-5-2025-08-07_7aac_tpusg_batch,success,149.21,7696,464,7232,0.0729,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770307828
22,fe78_tpu_sketch_generator,fe781e2b,gpt-5-2025-08-07_7aac_tpusg_batch,success,139.08,7037,464,6573,0.06631,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770308057
23,6b45_tpu_sketch_generator,6b454f65,gpt-5-2025-08-07_7aac_tpusg_batch,success,110.09,6622,464,6158,0.06216,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770308275
24,f72e_tpu_sketch_generator,f72e1617,gpt-5-2025-08-07_7aac_tpusg_batch,success,135.77,7701,464,7237,0.07295,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770308464
25,1892_tpu_sketch_generator,18929ce9,gpt-5-2025-08-07_7aac_tpusg_batch,success,114.25,6934,464,6470,0.06528,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770308680
26,4a29_tpu_sketch_generator,4a296c61,gpt-5-2025-08-07_7aac_tpusg_batch,success,105.69,7799,464,7335,0.07393,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770308874
27,ed38_tpu_sketch_generator,ed38b269,gpt-5-2025-08-07_7aac_tpusg_batch,success,290.35,17773,928,16845,0.16960999999999998,{'extra_body:{}'},2,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770309060
28,d983_tpu_sketch_generator,d983202c,gpt-5-2025-08-07_7aac_tpusg_batch,success,102.51,7313,464,6849,0.06907,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770309440
29,8e5f_tpu_sketch_generator,8e5f4a82,gpt-5-2025-08-07_7aac_tpusg_batch,success,70.79,5819,464,5355,0.05413,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770309621
30,0d75_tpu_sketch_generator,0d754f66,gpt-5-2025-08-07_7aac_tpusg_batch,success,163.6,8087,464,7623,0.07681,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770309771
