_source_file,batch_id,completion_cost,completion_tokens,latency,name,parameters,prompt_cost,prompt_tokens,status,total_cost,total_tokens,trace_id,processor,model
none,phi4_ab1p_psg_batch,0,3512,92.87,6a1b_py_sketch_generator,,0,665,failure,0.0,4177,6a1b5482,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,1844,36.59,8e81_py_sketch_generator,,0,266,success,0.0,2110,8e81586d,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,3726,73.71,a868_py_sketch_generator,,0,665,success,0.0,4391,a868259e,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,3746,74.34,5983_py_sketch_generator,,0,665,failure,0.0,4411,59838a83,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,3262,64.82,7aa2_py_sketch_generator,,0,665,failure,0.0,3927,7aa2dd84,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,2197,43.94,0009_py_sketch_generator,,0,399,success,0.0,2596,00090417,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,3579,71.19,fc7b_py_sketch_generator,,0,665,failure,0.0,4244,fc7b1172,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,3854,76.65,fdb7_py_sketch_generator,,0,665,success,0.0,4519,fdb71e07,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,4182,83.35,6d91_py_sketch_generator,,0,665,failure,0.0,4847,6d913adc,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,3619,71.76,da06_py_sketch_generator,,0,665,failure,0.0,4284,da06968e,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,3730,73.86,d04e_py_sketch_generator,,0,665,failure,0.0,4395,d04e68f1,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,2444,48.43,78b9_py_sketch_generator,,0,399,success,0.0,2843,78b9e9f7,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,2140,42.33,1eb2_py_sketch_generator,,0,399,success,0.0,2539,1eb27c90,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,3773,75.17,d1f1_py_sketch_generator,,0,665,failure,0.0,4438,d1f17d57,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,3764,74.67,2ed7_py_sketch_generator,,0,665,failure,0.0,4429,2ed7c13b,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,3506,69.4,e89e_py_sketch_generator,,0,665,failure,0.0,4171,e89eed4d,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,3037,60.05,4f58_py_sketch_generator,,0,532,success,0.0,3569,4f58601f,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,3536,70.24,e697_py_sketch_generator,,0,665,failure,0.0,4201,e6975aff,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,1929,38.44,2448_py_sketch_generator,,0,266,success,0.0,2195,2448f846,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,1467,29.04,d358_py_sketch_generator,,0,266,success,0.0,1733,d35820a4,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,3904,77.16,3f41_py_sketch_generator,,0,665,failure,0.0,4569,3f4175d0,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,2404,47.7,7234_py_sketch_generator,,0,399,success,0.0,2803,7234c2bc,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,2297,45.97,040f_py_sketch_generator,,0,399,success,0.0,2696,040ff861,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,2537,50.35,f923_py_sketch_generator,,0,532,success,0.0,3069,f9230235,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,3561,70.87,c2a0_py_sketch_generator,,0,665,success,0.0,4226,c2a06627,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,3694,73.59,974f_py_sketch_generator,,0,665,failure,0.0,4359,974f0cc0,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,2385,47.62,3878_py_sketch_generator,,0,399,success,0.0,2784,3878e5ff,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,3788,75.13,424a_py_sketch_generator,,0,665,failure,0.0,4453,424acae5,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,3934,78.03,a1e8_py_sketch_generator,,0,665,failure,0.0,4599,a1e85b57,psg,phi4-ab1
none,phi4_ab1p_psg_batch,0,696,13.95,1730_py_sketch_generator,,0,133,success,0.0,829,1730d777,psg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,4320,114.42,e868_tpu_sketch_generator,,0,805,success,0.0,5125,e868e984,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,2333,48.11,75f0_tpu_sketch_generator,,0,483,success,0.0,2816,75f054df,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,4026,83.1,f285_tpu_sketch_generator,,0,805,failure,0.0,4831,f2854505,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,1556,32.47,c318_tpu_sketch_generator,,0,322,success,0.0,1878,c31864d2,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,3689,75.89,d9a3_tpu_sketch_generator,,0,805,failure,0.0,4494,d9a39b6f,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,815,16.85,3496_tpu_sketch_generator,,0,161,success,0.0,976,3496ca6d,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,2432,50.45,85c0_tpu_sketch_generator,,0,483,success,0.0,2915,85c04775,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,3589,72.59,1eac_tpu_sketch_generator,,0,805,failure,0.0,4394,1eace78b,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,3827,71.07,9e04_tpu_sketch_generator,,0,805,failure,0.0,4632,9e04164c,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,4086,76.7,804d_tpu_sketch_generator,,0,805,failure,0.0,4891,804dc9a6,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,3762,71.33,542e_tpu_sketch_generator,,0,805,failure,0.0,4567,542e83dd,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,3856,72.12,3352_tpu_sketch_generator,,0,805,failure,0.0,4661,33528ce8,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,4107,76.83,b165_tpu_sketch_generator,,0,805,success,0.0,4912,b165a5bb,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,4159,78.33,f6b8_tpu_sketch_generator,,0,805,failure,0.0,4964,f6b8fa0c,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,2783,52.84,a5b6_tpu_sketch_generator,,0,644,success,0.0,3427,a5b64fe0,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,1555,29.52,05de_tpu_sketch_generator,,0,322,success,0.0,1877,05de57ce,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,3961,76.5,46d9_tpu_sketch_generator,,0,805,failure,0.0,4766,46d9e1e4,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,3307,62.07,ba53_tpu_sketch_generator,,0,805,failure,0.0,4112,ba53810e,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,4200,78.78,d0bb_tpu_sketch_generator,,0,805,failure,0.0,5005,d0bb4b79,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,3902,73.09,9ef9_tpu_sketch_generator,,0,805,failure,0.0,4707,9ef9ac4a,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,3852,71.95,54c8_tpu_sketch_generator,,0,805,failure,0.0,4657,54c8f55b,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,4431,83.0,1b82_tpu_sketch_generator,,0,805,failure,0.0,5236,1b82299c,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,4148,85.07,0dc2_tpu_sketch_generator,,0,805,failure,0.0,4953,0dc2bfbc,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,3074,62.99,3a79_tpu_sketch_generator,,0,644,success,0.0,3718,3a79ad28,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,854,18.51,0372_tpu_sketch_generator,,0,161,success,0.0,1015,0372a7e8,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,2696,55.62,7eff_tpu_sketch_generator,,0,644,success,0.0,3340,7eff6e83,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,4354,90.12,5cc0_tpu_sketch_generator,,0,805,failure,0.0,5159,5cc0d0d2,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,4180,86.13,3f4a_tpu_sketch_generator,,0,805,failure,0.0,4985,3f4a7455,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,2282,46.92,cb4e_tpu_sketch_generator,,0,483,success,0.0,2765,cb4eefb5,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,3868,79.7,f74b_tpu_sketch_generator,,0,805,failure,0.0,4673,f74bd75e,tpusg,phi4-ab1
none,36c2_sketch_generator,0,2140,failure,0.0,6606,36c26d1b,sg,phi4-ab1
none,phi4_ab1p_sg_batch,0,5248,110.06,9ad3_sketch_generator,,0,2045,failure,0.0,7293,9ad37ed7,sg,phi4-ab1
none,phi4_ab1p_sg_batch,0,4821,100.66,6e43_sketch_generator,,0,1745,failure,0.0,6566,6e43fd91,sg,phi4-ab1
none,phi4_ab1p_sg_batch,0,4798,99.43,2561_sketch_generator,,0,1955,failure,0.0,6753,2561a8d9,sg,phi4-ab1
none,phi4_ab1p_sg_batch,0,4644,88.63,89d3_sketch_generator,,0,1760,failure,0.0,6404,89d376e5,sg,phi4-ab1
none,phi4_ab1p_sg_batch,0,4904,93.25,fb49_sketch_generator,,0,1780,failure,0.0,6684,fb4974dc,sg,phi4-ab1
none,phi4_ab1p_sg_batch,0,4743,89.75,a499_sketch_generator,,0,1650,failure,0.0,6393,a4998881,sg,phi4-ab1
none,phi4_ab1p_sg_batch,0,4695,89.03,4033_sketch_generator,,0,1840,failure,0.0,6535,4033395c,sg,phi4-ab1
none,phi4_ab1p_sg_batch,0,4344,83.15,68b8_sketch_generator,,0,2000,failure,0.0,6344,68b8f1a3,sg,phi4-ab1
