_source_file,batch_id,completion_cost,completion_tokens,latency,name,parameters,prompt_cost,prompt_tokens,status,total_cost,total_tokens,trace_id,processor,model
none,phi4_ab1p_psg_batch,0,3512,92.87,6a1b_py_sketch_generator,,0,665,failure,0.0,4177,6a1b5482,psg,phi4
none,phi4_ab1p_psg_batch,0,1844,36.59,8e81_py_sketch_generator,,0,266,success,0.0,2110,8e81586d,psg,phi4
none,phi4_ab1p_psg_batch,0,3726,73.71,a868_py_sketch_generator,,0,665,success,0.0,4391,a868259e,psg,phi4
none,phi4_ab1p_psg_batch,0,3746,74.34,5983_py_sketch_generator,,0,665,failure,0.0,4411,59838a83,psg,phi4
none,phi4_ab1p_psg_batch,0,3262,64.82,7aa2_py_sketch_generator,,0,665,failure,0.0,3927,7aa2dd84,psg,phi4
none,phi4_ab1p_psg_batch,0,2197,43.94,0009_py_sketch_generator,,0,399,success,0.0,2596,00090417,psg,phi4
none,phi4_ab1p_psg_batch,0,3579,71.19,fc7b_py_sketch_generator,,0,665,failure,0.0,4244,fc7b1172,psg,phi4
none,phi4_ab1p_psg_batch,0,3854,76.65,fdb7_py_sketch_generator,,0,665,success,0.0,4519,fdb71e07,psg,phi4
none,phi4_ab1p_psg_batch,0,4182,83.35,6d91_py_sketch_generator,,0,665,failure,0.0,4847,6d913adc,psg,phi4
none,phi4_ab1p_psg_batch,0,3619,71.76,da06_py_sketch_generator,,0,665,failure,0.0,4284,da06968e,psg,phi4
none,phi4_ab1p_psg_batch,0,3730,73.86,d04e_py_sketch_generator,,0,665,failure,0.0,4395,d04e68f1,psg,phi4
none,phi4_ab1p_psg_batch,0,2444,48.43,78b9_py_sketch_generator,,0,399,success,0.0,2843,78b9e9f7,psg,phi4
none,phi4_ab1p_psg_batch,0,2140,42.33,1eb2_py_sketch_generator,,0,399,success,0.0,2539,1eb27c90,psg,phi4
none,phi4_ab1p_psg_batch,0,3773,75.17,d1f1_py_sketch_generator,,0,665,failure,0.0,4438,d1f17d57,psg,phi4
none,phi4_ab1p_psg_batch,0,3764,74.67,2ed7_py_sketch_generator,,0,665,failure,0.0,4429,2ed7c13b,psg,phi4
none,phi4_ab1p_psg_batch,0,3506,69.4,e89e_py_sketch_generator,,0,665,failure,0.0,4171,e89eed4d,psg,phi4
none,phi4_ab1p_psg_batch,0,3037,60.05,4f58_py_sketch_generator,,0,532,success,0.0,3569,4f58601f,psg,phi4
none,phi4_ab1p_psg_batch,0,3536,70.24,e697_py_sketch_generator,,0,665,failure,0.0,4201,e6975aff,psg,phi4
none,phi4_ab1p_psg_batch,0,1929,38.44,2448_py_sketch_generator,,0,266,success,0.0,2195,2448f846,psg,phi4
none,phi4_ab1p_psg_batch,0,1467,29.04,d358_py_sketch_generator,,0,266,success,0.0,1733,d35820a4,psg,phi4
none,phi4_ab1p_psg_batch,0,3904,77.16,3f41_py_sketch_generator,,0,665,failure,0.0,4569,3f4175d0,psg,phi4
none,phi4_ab1p_psg_batch,0,2404,47.7,7234_py_sketch_generator,,0,399,success,0.0,2803,7234c2bc,psg,phi4
none,phi4_ab1p_psg_batch,0,2297,45.97,040f_py_sketch_generator,,0,399,success,0.0,2696,040ff861,psg,phi4
none,phi4_ab1p_psg_batch,0,2537,50.35,f923_py_sketch_generator,,0,532,success,0.0,3069,f9230235,psg,phi4
none,phi4_ab1p_psg_batch,0,3561,70.87,c2a0_py_sketch_generator,,0,665,success,0.0,4226,c2a06627,psg,phi4
none,phi4_ab1p_psg_batch,0,3694,73.59,974f_py_sketch_generator,,0,665,failure,0.0,4359,974f0cc0,psg,phi4
none,phi4_ab1p_psg_batch,0,2385,47.62,3878_py_sketch_generator,,0,399,success,0.0,2784,3878e5ff,psg,phi4
none,phi4_ab1p_psg_batch,0,3788,75.13,424a_py_sketch_generator,,0,665,failure,0.0,4453,424acae5,psg,phi4
none,phi4_ab1p_psg_batch,0,3934,78.03,a1e8_py_sketch_generator,,0,665,failure,0.0,4599,a1e85b57,psg,phi4
none,phi4_ab1p_psg_batch,0,696,13.95,1730_py_sketch_generator,,0,133,success,0.0,829,1730d777,psg,phi4
