_source_file,batch_id,completion_cost,completion_tokens,latency,name,parameters,prompt_cost,prompt_tokens,status,total_cost,total_tokens,trace_id,processor,model
none,qwen2.5-coder:32b_ab1q_psg_batch,0,729,80.2,2757_py_sketch_generator,,0,152,success,0.0,881,275746f9,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,822,32.24,9b17_py_sketch_generator,,0,152,success,0.0,974,9b17d199,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,2812,110.35,6775_py_sketch_generator,,0,608,success,0.0,3420,67751551,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,716,28.08,0808_py_sketch_generator,,0,152,success,0.0,868,0808fece,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,1603,62.7,58e1_py_sketch_generator,,0,304,success,0.0,1907,58e1c9f4,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,765,30.08,3e62_py_sketch_generator,,0,152,success,0.0,917,3e620ac1,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,782,30.69,5f97_py_sketch_generator,,0,152,success,0.0,934,5f97f27c,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,2978,116.26,53fe_py_sketch_generator,,0,608,success,0.0,3586,53fef6c9,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,2113,82.71,7fd1_py_sketch_generator,,0,456,success,0.0,2569,7fd116a0,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,2135,83.62,5191_py_sketch_generator,,0,456,success,0.0,2591,5191c008,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,3605,141.04,7523_py_sketch_generator,,0,760,failure,0.0,4365,7523bd7d,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,3680,143.35,2cb8_py_sketch_generator,,0,760,failure,0.0,4440,2cb8a46e,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,2869,112.46,a087_py_sketch_generator,,0,608,success,0.0,3477,a0872453,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,3057,120.21,a8a9_py_sketch_generator,,0,608,success,0.0,3665,a8a97f32,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,1515,59.4,e54d_py_sketch_generator,,0,304,success,0.0,1819,e54dde56,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,3674,143.89,7cae_py_sketch_generator,,0,760,success,0.0,4434,7cae8b79,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,3710,145.02,7df6_py_sketch_generator,,0,760,failure,0.0,4470,7df6f34d,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,713,27.99,36ea_py_sketch_generator,,0,152,success,0.0,865,36ea838f,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,730,28.64,487a_py_sketch_generator,,0,152,success,0.0,882,487afb89,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,3712,145.11,04b4_py_sketch_generator,,0,760,failure,0.0,4472,04b4b10a,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,2933,114.53,5518_py_sketch_generator,,0,608,success,0.0,3541,55185c68,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,3653,142.75,c21e_py_sketch_generator,,0,760,failure,0.0,4413,c21e4075,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,2054,80.05,305f_py_sketch_generator,,0,456,success,0.0,2510,305fdf97,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,3596,140.77,7281_py_sketch_generator,,0,760,failure,0.0,4356,728145f5,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,1437,56.12,3ac4_py_sketch_generator,,0,304,success,0.0,1741,3ac4fb62,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,2158,84.32,998c_py_sketch_generator,,0,456,success,0.0,2614,998cf9b5,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,753,30.47,bd46_py_sketch_generator,,0,152,success,0.0,905,bd46f06d,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,740,29.07,bfde_py_sketch_generator,,0,152,success,0.0,892,bfde5f83,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,754,29.6,1f13_py_sketch_generator,,0,152,success,0.0,906,1f13cc6d,psg,q32
none,qwen2.5-coder:32b_ab1q_psg_batch,0,2205,86.42,edc5_py_sketch_generator,,0,456,success,0.0,2661,edc559c1,psg,q32
