run_name  , processor, model , parameters, status , generation_count, latency, total_tokens, prompt_tokens, completion_tokens, parameters.1, timestamp , test_date, category                  , trace_id, batch_id
74ed_pysg , psg      , phi4  , True      , success,                1,   14.56,         2245,          1598,               647, True        , 1754399949,      8.07, phi4_psg_P                , 74ed980d, phi4_3b43_psg
779a_pysg , psg      , phi4  , True      , success,                1,   13.96,         2245,          1598,               647, True        , 1754400003,      8.07, phi4_psg_P                , 779a6cce, phi4_3b43_psg
0992_pysg , psg      , phi4  , True      , success,                1,   13.97,         2242,          1598,               644, True        , 1754400055,      8.07, phi4_psg_P                , 09927bf3, phi4_3b43_psg
55e7_pysg , psg      , phi4  , True      , success,                1,   13.87,         2242,          1598,               644, True        , 1754400109,      8.07, phi4_psg_P                , 55e7ec9f, phi4_3b43_psg
cf59_pysg , psg      , phi4  , True      , success,                1,   14.29,         2242,          1598,               644, True        , 1754400164,      8.07, phi4_psg_P                , cf590e4c, phi4_3b43_psg
7ef8_pysg , psg      , phi4  , True      , success,                1,   14.03,         2242,          1598,               644, True        , 1754400218,      8.07, phi4_psg_P                , 7ef8453c, phi4_3b43_psg
baad_pysg , psg      , phi4  , True      , success,                1,   14.13,         2242,          1598,               644, True        , 1754400273,      8.07, phi4_psg_P                , baad8bbc, phi4_3b43_psg
b2ce_pysg , psg      , phi4  , True      , success,                1,   14.03,         2245,          1598,               647, True        , 1754400328,      8.07, phi4_psg_P                , b2ce77f0, phi4_3b43_psg
0dc0_pysg , psg      , phi4  , True      , success,                1,   14.05,         2242,          1598,               644, True        , 1754400381,      8.07, phi4_psg_P                , 0dc00de2, phi4_3b43_psg
2e25_pysg , psg      , phi4  , True      , success,                1,   13.94,         2242,          1598,               644, True        , 1754400435,      8.07, phi4_psg_P                , 2e25c4be, phi4_3b43_psg
8b5e_pysg , psg      , phi4  , True      , success,                1,   13.82,         2242,          1598,               644, True        , 1754400487,      8.07, phi4_psg_P                , 8b5e35d5, phi4_3b43_psg
960d_pysg , psg      , phi4  , True      , success,                1,   14.04,         2242,          1598,               644, True        , 1754400538,      8.07, phi4_psg_P                , 960dd108, phi4_3b43_psg
9dfb_pysg , psg      , phi4  , True      , success,                1,   13.93,         2242,          1598,               644, True        , 1754400590,      8.07, phi4_psg_P                , 9dfb1f48, phi4_3b43_psg
4720_pysg , psg      , phi4  , True      , success,                1,   13.88,         2242,          1598,               644, True        , 1754400641,      8.07, phi4_psg_P                , 4720e61f, phi4_3b43_psg
7e75_pysg , psg      , phi4  , True      , success,                1,   13.96,         2245,          1598,               647, True        , 1754400695,      8.07, phi4_psg_P                , 7e752199, phi4_3b43_psg
2421_pysg , psg      , phi4  , True      , success,                1,   13.98,         2245,          1598,               647, True        , 1754400750,      8.07, phi4_psg_P                , 24210cf5, phi4_3b43_psg
b4cc_pysg , psg      , phi4  , True      , success,                1,   13.92,         2242,          1598,               644, True        , 1754400804,      8.07, phi4_psg_P                , b4cc45b2, phi4_3b43_psg
e79f_pysg , psg      , phi4  , True      , success,                1,   13.91,         2242,          1598,               644, True        , 1754400857,      8.07, phi4_psg_P                , e79f380c, phi4_3b43_psg
4a7f_pysg , psg      , phi4  , True      , success,                1,   13.89,         2242,          1598,               644, True        , 1754400909,      8.07, phi4_psg_P                , 4a7f1f17, phi4_3b43_psg
af4c_pysg , psg      , phi4  , True      , success,                1,   13.89,         2242,          1598,               644, True        , 1754400960,      8.07, phi4_psg_P                , af4c422d, phi4_3b43_psg
40fd_pysg , psg      , phi4  , True      , success,                1,   16.04,         2242,          1598,               644, True        , 1754401012,      8.07, phi4_psg_P                , 40fd1617, phi4_3b43_psg
702c_pysg , psg      , phi4  , True      , success,                1,   15.21,         2242,          1598,               644, True        , 1754401069,      8.07, phi4_psg_P                , 702ccd2b, phi4_3b43_psg
e963_pysg , psg      , phi4  , True      , success,                1,   13.91,         2242,          1598,               644, True        , 1754401124,      8.07, phi4_psg_P                , e963c4fc, phi4_3b43_psg
46bc_pysg , psg      , phi4  , True      , success,                1,   13.97,         2242,          1598,               644, True        , 1754401179,      8.07, phi4_psg_P                , 46bc2eec, phi4_3b43_psg
a01a_pysg , psg      , phi4  , True      , success,                1,   13.94,         2242,          1598,               644, True        , 1754401233,      8.07, phi4_psg_P                , a01a8b3c, phi4_3b43_psg
ebca_pysg , psg      , phi4  , True      , success,                1,   13.85,         2242,          1598,               644, True        , 1754401288,      8.07, phi4_psg_P                , ebca68a7, phi4_3b43_psg
44c9_pysg , psg      , phi4  , True      , success,                1,   14.1 ,         2245,          1598,               647, True        , 1754401342,      8.07, phi4_psg_P                , 44c92ceb, phi4_3b43_psg
3c23_pysg , psg      , phi4  , True      , success,                1,   13.86,         2242,          1598,               644, True        , 1754401394,      8.07, phi4_psg_P                , 3c235447, phi4_3b43_psg
5553_pysg , psg      , phi4  , True      , success,                1,   14.16,         2245,          1598,               647, True        , 1754401445,      8.07, phi4_psg_P                , 555384e9, phi4_3b43_psg
b486_pysg , psg      , phi4  , True      , success,                1,   13.95,         2242,          1598,               644, True        , 1754401497,      8.07, phi4_psg_P                , b486b57f, phi4_3b43_psg
d82c_tpusg, tpusg    , phi4  , True      , success,                1,   59.68,         2787,          1806,               981, True        , 1754397535,      8.07, phi4_tpusg_P              , d82c8f72, phi4_3b43_tpusg
7ba5_tpusg, tpusg    , phi4  , True      , success,                1,   19.69,         2732,          1806,               926, True        , 1754397655,      8.07, phi4_tpusg_P              , 7ba56093, phi4_3b43_tpusg
23f0_tpusg, tpusg    , phi4  , True      , success,                1,   20.23,         2750,          1806,               944, True        , 1754397734,      8.07, phi4_tpusg_P              , 23f093d7, phi4_3b43_tpusg
0f42_tpusg, tpusg    , phi4  , True      , success,                1,   20.06,         2750,          1806,               944, True        , 1754397813,      8.07, phi4_tpusg_P              , 0f429cab, phi4_3b43_tpusg
ef78_tpusg, tpusg    , phi4  , True      , success,                1,   19.75,         2732,          1806,               926, True        , 1754397891,      8.07, phi4_tpusg_P              , ef78447d, phi4_3b43_tpusg
