num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,e9b7_py_sketch_generator,e9b77ff6,qwen2.5-coder:32b_1974_psg_batch,success,249.71,15870,9810,6060,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1753861635
2,78c7_py_sketch_generator,78c72c9b,qwen2.5-coder:32b_1974_psg_batch,success,138.48,11035,7762,3273,0.0,"{'temperature:0.1', 'top_p:0.3'}",4,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1753861892
3,49c9_py_sketch_generator,49c9d8f0,qwen2.5-coder:32b_1974_psg_batch,success,138.33,10988,7762,3226,0.0,"{'temperature:0.1', 'top_p:0.3'}",4,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1753862068
4,b726_py_sketch_generator,b726b1fe,qwen2.5-coder:32b_1974_psg_batch,failure,167.96,13781,9810,3971,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1753862245
5,37e4_py_sketch_generator,37e4e01f,qwen2.5-coder:32b_1974_psg_batch,failure,189.44,14302,9810,4492,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1753862420
6,6c9b_py_sketch_generator,6c9b8cfc,qwen2.5-coder:32b_1974_psg_batch,success,168.32,13788,9810,3978,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1753862617
7,709e_py_sketch_generator,709e22ac,qwen2.5-coder:32b_1974_psg_batch,success,138.32,11052,7762,3290,0.0,"{'temperature:0.1', 'top_p:0.3'}",4,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1753862823
8,7ad3_py_sketch_generator,7ad33c9c,qwen2.5-coder:32b_1974_psg_batch,failure,234.44,15502,9810,5692,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1753863000
9,883c_py_sketch_generator,883c868e,qwen2.5-coder:32b_1974_psg_batch,success,175.94,13977,9810,4167,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1753863242
10,7f13_py_sketch_generator,7f132b41,qwen2.5-coder:32b_1974_psg_batch,failure,263.98,16284,9810,6474,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1753863457
11,abee_py_sketch_generator,abeeee73,qwen2.5-coder:32b_1974_psg_batch,success,166.92,13752,9810,3942,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1753863728
12,7f9f_py_sketch_generator,7f9f9e2d,qwen2.5-coder:32b_1974_psg_batch,success,187.49,14258,9810,4448,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1753863934
13,c9ea_py_sketch_generator,c9eae8ed,qwen2.5-coder:32b_1974_psg_batch,failure,181.44,14129,9810,4319,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1753864160
14,a743_py_sketch_generator,a7438fb3,qwen2.5-coder:32b_1974_psg_batch,success,207.62,12844,7762,5082,0.0,"{'temperature:0.1', 'top_p:0.3'}",4,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1753864349
15,a5cd_py_sketch_generator,a5cd96c8,qwen2.5-coder:32b_1974_psg_batch,failure,183.72,14184,9810,4374,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1753864563
16,434b_py_sketch_generator,434bac60,qwen2.5-coder:32b_1974_psg_batch,failure,174.06,13919,9810,4109,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1753864755
