num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,6f6d_tpu_sketch_generator,6f6d9769,qwen2.5-coder:32b_1974_tpusg_batch,failure,236.52,14877,10025,4852,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1753854267
2,c017_tpu_sketch_generator,c017cb4c,qwen2.5-coder:32b_1974_tpusg_batch,success,120.46,8866,5929,2937,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1753854553
3,c069_tpu_sketch_generator,c0698d45,qwen2.5-coder:32b_1974_tpusg_batch,failure,234.12,15827,10025,5802,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1753854751
4,bf2b_tpu_sketch_generator,bf2bc90f,qwen2.5-coder:32b_1974_tpusg_batch,success,125.09,8947,5929,3018,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1753855034
5,987e_tpu_sketch_generator,987e6621,qwen2.5-coder:32b_1974_tpusg_batch,success,127.12,9005,5929,3076,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1753855235
6,c9bd_tpu_sketch_generator,c9bd32c6,qwen2.5-coder:32b_1974_tpusg_batch,failure,236.94,15898,10025,5873,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1753855437
7,0410_tpu_sketch_generator,0410ae45,qwen2.5-coder:32b_1974_tpusg_batch,failure,196.81,14822,10025,4797,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1753855723
8,eb35_tpu_sketch_generator,eb354546,qwen2.5-coder:32b_1974_tpusg_batch,success,157.34,11739,7919,3820,0.0,"{'temperature:0.1', 'top_p:0.3'}",4,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1753855968
9,1829_tpu_sketch_generator,18296e38,qwen2.5-coder:32b_1974_tpusg_batch,success,153.25,11632,7919,3713,0.0,"{'temperature:0.1', 'top_p:0.3'}",4,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1753856201
10,ca78_tpu_sketch_generator,ca78fb05,qwen2.5-coder:32b_1974_tpusg_batch,failure,200.57,14919,10025,4894,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1753856429
11,d560_tpu_sketch_generator,d560756c,qwen2.5-coder:32b_1974_tpusg_batch,failure,232.06,15760,10025,5735,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1753856678
12,c34b_tpu_sketch_generator,c34b4de7,qwen2.5-coder:32b_1974_tpusg_batch,success,115.81,8746,5929,2817,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1753856958
13,2464_tpu_sketch_generator,24640f14,qwen2.5-coder:32b_1974_tpusg_batch,success,120.61,8869,5929,2940,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1753857148
