num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,c000_py_sketch_generator,c0004393,qwen2.5-coder:32b_5f8b_psg_batch,success,18.41,2243,1618,625,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754266490
2,437e_py_sketch_generator,437e7e5a,qwen2.5-coder:32b_5f8b_psg_batch,success,124.71,14084,9810,4274,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754266550
3,61e0_py_sketch_generator,61e0db6f,qwen2.5-coder:32b_5f8b_psg_batch,failure,143.62,14789,9810,4979,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754266717
4,e49c_py_sketch_generator,e49cd803,qwen2.5-coder:32b_5f8b_psg_batch,failure,121.76,13977,9810,4167,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754266869
5,28ac_py_sketch_generator,28ac1b69,qwen2.5-coder:32b_5f8b_psg_batch,success,22.61,2399,1618,781,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754266998
6,94e4_py_sketch_generator,94e4bf62,qwen2.5-coder:32b_5f8b_psg_batch,failure,132.21,14377,9810,4567,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754267059
7,94cd_py_sketch_generator,94cd742c,qwen2.5-coder:32b_5f8b_psg_batch,failure,128.16,14224,9810,4414,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754267199
8,ed2c_py_sketch_generator,ed2c6bb7,qwen2.5-coder:32b_5f8b_psg_batch,success,20.77,2331,1618,713,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754267334
9,35fd_py_sketch_generator,35fda73b,qwen2.5-coder:32b_5f8b_psg_batch,failure,133.26,14408,9810,4598,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754267393
10,717c_py_sketch_generator,717c04c8,qwen2.5-coder:32b_5f8b_psg_batch,success,107.18,11467,7762,3705,0.0,N/A,4,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754267534
11,c525_py_sketch_generator,c52521ae,qwen2.5-coder:32b_5f8b_psg_batch,success,125.23,14106,9810,4296,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754267680
12,9a73_py_sketch_generator,9a73c42e,qwen2.5-coder:32b_5f8b_psg_batch,success,22.45,2386,1618,768,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754267846
13,8fb2_py_sketch_generator,8fb2e279,qwen2.5-coder:32b_5f8b_psg_batch,success,83.31,8605,5714,2891,0.0,N/A,3,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754267909
14,2068_py_sketch_generator,2068d47a,qwen2.5-coder:32b_5f8b_psg_batch,failure,121.76,13986,9810,4176,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754268032
15,76a8_py_sketch_generator,76a869e7,qwen2.5-coder:32b_5f8b_psg_batch,failure,133.38,14419,9810,4609,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754268162
16,3205_py_sketch_generator,32055c79,qwen2.5-coder:32b_5f8b_psg_batch,success,19.61,2287,1618,669,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754268303
17,6eab_py_sketch_generator,6eab045c,qwen2.5-coder:32b_5f8b_psg_batch,success,19.29,2275,1618,657,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754268360
18,547e_py_sketch_generator,547e277f,qwen2.5-coder:32b_5f8b_psg_batch,success,80.42,8492,5714,2778,0.0,N/A,3,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754268391
