num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,64a0_tpu_sketch_generator,64a0bb35,qwen2.5-coder:32b_17ec_tpusg_batch,success,23.71,2632,1833,799,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754314713
2,f16e_tpu_sketch_generator,f16e81a2,qwen2.5-coder:32b_17ec_tpusg_batch,success,24.64,2666,1833,833,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754314796
3,b036_tpu_sketch_generator,b0366928,qwen2.5-coder:32b_17ec_tpusg_batch,success,25.28,2682,1833,849,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754314878
4,8cc2_tpu_sketch_generator,8cc23ee1,qwen2.5-coder:32b_17ec_tpusg_batch,success,51.98,5636,3881,1755,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754314962
5,6b1e_tpu_sketch_generator,6b1ee198,qwen2.5-coder:32b_17ec_tpusg_batch,success,57.5,5840,3881,1959,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754315080
6,d788_tpu_sketch_generator,d7887820,qwen2.5-coder:32b_17ec_tpusg_batch,success,56.63,5813,3881,1932,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754315204
7,74bb_tpu_sketch_generator,74bb08e7,qwen2.5-coder:32b_17ec_tpusg_batch,success,23.47,2623,1833,790,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754315325
8,0d3b_tpu_sketch_generator,0d3b03a0,qwen2.5-coder:32b_17ec_tpusg_batch,success,86.28,8873,5929,2944,0.0,N/A,3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754315407
9,f67c_tpu_sketch_generator,f67c9001,qwen2.5-coder:32b_17ec_tpusg_batch,success,24.52,2660,1833,827,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754315568
10,efe7_tpu_sketch_generator,efe79d78,qwen2.5-coder:32b_17ec_tpusg_batch,success,54.9,5747,3881,1866,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754315651
11,e374_tpu_sketch_generator,e374a1d6,qwen2.5-coder:32b_17ec_tpusg_batch,success,25.72,2704,1833,871,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754315772
