num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,74ed_py_sketch_generator,74ed980d,phi4_3b43_psg_batch,success,14.56,2245,1598,647,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1754399949
2,779a_py_sketch_generator,779a6cce,phi4_3b43_psg_batch,success,13.96,2245,1598,647,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1754400003
3,0992_py_sketch_generator,09927bf3,phi4_3b43_psg_batch,success,13.97,2242,1598,644,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1754400055
4,55e7_py_sketch_generator,55e7ec9f,phi4_3b43_psg_batch,success,13.87,2242,1598,644,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1754400109
5,cf59_py_sketch_generator,cf590e4c,phi4_3b43_psg_batch,success,14.29,2242,1598,644,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1754400164
6,7ef8_py_sketch_generator,7ef8453c,phi4_3b43_psg_batch,success,14.03,2242,1598,644,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1754400218
7,baad_py_sketch_generator,baad8bbc,phi4_3b43_psg_batch,success,14.13,2242,1598,644,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1754400273
8,b2ce_py_sketch_generator,b2ce77f0,phi4_3b43_psg_batch,success,14.03,2245,1598,647,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1754400328
9,0dc0_py_sketch_generator,0dc00de2,phi4_3b43_psg_batch,success,14.05,2242,1598,644,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1754400381
10,2e25_py_sketch_generator,2e25c4be,phi4_3b43_psg_batch,success,13.94,2242,1598,644,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1754400435
