num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,d82c_tpu_sketch_generator,d82c8f72,phi4_3b43_tpusg_batch,success,59.68,2787,1806,981,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754397535
2,7ba5_tpu_sketch_generator,7ba56093,phi4_3b43_tpusg_batch,success,19.69,2732,1806,926,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754397655
3,23f0_tpu_sketch_generator,23f093d7,phi4_3b43_tpusg_batch,success,20.23,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754397734
4,0f42_tpu_sketch_generator,0f429cab,phi4_3b43_tpusg_batch,success,20.06,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754397813
5,ef78_tpu_sketch_generator,ef78447d,phi4_3b43_tpusg_batch,success,19.75,2732,1806,926,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754397891
6,c39e_tpu_sketch_generator,c39e4f3c,phi4_3b43_tpusg_batch,success,19.99,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754397971
7,7cea_tpu_sketch_generator,7cea88b2,phi4_3b43_tpusg_batch,success,20.01,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754398050
8,c9cd_tpu_sketch_generator,c9cd1c2d,phi4_3b43_tpusg_batch,success,20.05,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754398129
9,b149_tpu_sketch_generator,b14929b5,phi4_3b43_tpusg_batch,success,19.68,2732,1806,926,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754398208
10,21e6_tpu_sketch_generator,21e64a85,phi4_3b43_tpusg_batch,success,20.32,2756,1806,950,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754398287
11,3df7_tpu_sketch_generator,3df7abdb,phi4_3b43_tpusg_batch,success,21.1,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754398366
12,39d9_tpu_sketch_generator,39d9844a,phi4_3b43_tpusg_batch,success,20.32,2756,1806,950,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754398444
13,773a_tpu_sketch_generator,773abb8f,phi4_3b43_tpusg_batch,success,20.18,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754398524
14,729f_tpu_sketch_generator,729f8a64,phi4_3b43_tpusg_batch,success,19.97,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754398603
15,e677_tpu_sketch_generator,e677c801,phi4_3b43_tpusg_batch,success,20.22,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754398682
16,059b_tpu_sketch_generator,059b057c,phi4_3b43_tpusg_batch,success,20.03,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754398762
17,a4d3_tpu_sketch_generator,a4d3959d,phi4_3b43_tpusg_batch,success,20.02,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754398841
18,4298_tpu_sketch_generator,42981e86,phi4_3b43_tpusg_batch,success,21.16,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754398920
19,ec39_tpu_sketch_generator,ec39ef3b,phi4_3b43_tpusg_batch,success,20.01,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754399000
20,9b17_tpu_sketch_generator,9b178a93,phi4_3b43_tpusg_batch,success,20.17,2756,1806,950,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754399079
21,1fe7_tpu_sketch_generator,1fe7f8dc,phi4_3b43_tpusg_batch,success,19.75,2732,1806,926,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754399158
22,5f8e_tpu_sketch_generator,5f8eb9ed,phi4_3b43_tpusg_batch,success,20.16,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754399238
23,04de_tpu_sketch_generator,04deea5e,phi4_3b43_tpusg_batch,success,20.16,2756,1806,950,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754399316
24,97d7_tpu_sketch_generator,97d74c6f,phi4_3b43_tpusg_batch,success,20.98,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754399395
25,e225_tpu_sketch_generator,e2257b5f,phi4_3b43_tpusg_batch,success,19.86,2732,1806,926,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754399477
26,bc9c_tpu_sketch_generator,bc9cbdbd,phi4_3b43_tpusg_batch,success,20.08,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754399555
