num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,4e99_model_converter,4e99b483,qwen2.5-coder:32b_7cb7_mc_batch,success,54.16,3030,2291,739,0.0,N/A,2,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1770200462
2,5e01_model_converter,5e01f79c,qwen2.5-coder:32b_7cb7_mc_batch,success,13.08,759,432,327,0.0,N/A,1,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1770200565
3,1c40_model_converter,1c40dd3e,qwen2.5-coder:32b_7cb7_mc_batch,failure,100.76,9769,7434,2335,0.0,N/A,5,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1770200609
4,6bd6_model_converter,6bd6c539,qwen2.5-coder:32b_7cb7_mc_batch,success,54.47,6701,5493,1208,0.0,N/A,4,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1770200779
5,f0bd_model_converter,f0bdd67b,qwen2.5-coder:32b_7cb7_mc_batch,success,49.67,5276,4161,1115,0.0,N/A,3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1770200874
6,23e1_model_converter,23e13c14,qwen2.5-coder:32b_7cb7_mc_batch,success,93.93,9829,7735,2094,0.0,N/A,5,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1770200962
7,37c8_model_converter,37c8f786,qwen2.5-coder:32b_7cb7_mc_batch,success,14.5,797,432,365,0.0,N/A,1,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1770201100
8,f33c_model_converter,f33c7691,qwen2.5-coder:32b_7cb7_mc_batch,success,63.63,7049,5645,1404,0.0,N/A,4,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1770201146
9,b43e_model_converter,b43e84dc,qwen2.5-coder:32b_7cb7_mc_batch,success,12.7,751,432,319,0.0,N/A,1,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1770201250
10,0d3b_model_converter,0d3b5398,qwen2.5-coder:32b_7cb7_mc_batch,success,59.54,5653,4293,1360,0.0,N/A,3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1770201294
11,6134_model_converter,6134020d,qwen2.5-coder:32b_7cb7_mc_batch,success,66.17,6990,5483,1507,0.0,N/A,4,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1770201392
12,2981_model_converter,2981e3f9,qwen2.5-coder:32b_7cb7_mc_batch,success,59.45,7146,5840,1306,0.0,N/A,4,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1770201499
13,554a_model_converter,554a8e3d,qwen2.5-coder:32b_7cb7_mc_batch,success,67.88,7206,5678,1528,0.0,N/A,4,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1770201599
14,eac2_model_converter,eac29909,qwen2.5-coder:32b_7cb7_mc_batch,success,13.47,773,432,341,0.0,N/A,1,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1770201706
15,cbb0_model_converter,cbb0ebee,qwen2.5-coder:32b_7cb7_mc_batch,failure,93.32,9850,7749,2101,0.0,N/A,5,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1770201750
16,de71_model_converter,de71e729,qwen2.5-coder:32b_7cb7_mc_batch,success,12.77,751,432,319,0.0,N/A,1,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1770201887
17,6b9f_model_converter,6b9f2285,qwen2.5-coder:32b_7cb7_mc_batch,success,64.02,7096,5655,1441,0.0,N/A,4,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1770201930
18,4679_model_converter,4679f179,qwen2.5-coder:32b_7cb7_mc_batch,success,53.22,5390,4186,1204,0.0,N/A,3,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:32b']",1770202035
