num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,ae41_py_sketch_generator,ae41f990,gpt-5-2025-08-07_40f1_psg_batch,success,122.03,10817,1500,9317,0.095045,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770255453
2,5e45_py_sketch_generator,5e457efb,gpt-5-2025-08-07_40f1_psg_batch,success,104.67,9228,1500,7728,0.077571,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770255635
3,f41d_py_sketch_generator,f41d8291,gpt-5-2025-08-07_40f1_psg_batch,success,188.04,21150,7102,14048,0.1477735,{'extra_body:{}'},2,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770255798
4,2c2a_py_sketch_generator,2c2a2293,gpt-5-2025-08-07_40f1_psg_batch,success,125.89,11288,1500,9788,0.098171,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770256046
5,7fd4_py_sketch_generator,7fd470c2,gpt-5-2025-08-07_40f1_psg_batch,success,102.55,8993,1500,7493,0.075221,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770256231
6,aed6_py_sketch_generator,aed67aaf,gpt-5-2025-08-07_40f1_psg_batch,success,130.61,10022,1500,8522,0.085511,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770256390
7,34f1_py_sketch_generator,34f1cb61,gpt-5-2025-08-07_40f1_psg_batch,success,174.87,11543,1500,10043,0.100721,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770256584
8,06de_py_sketch_generator,06decec2,gpt-5-2025-08-07_40f1_psg_batch,success,140.6,11106,1500,9606,0.097935,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770256822
9,5e54_py_sketch_generator,5e54134f,gpt-5-2025-08-07_40f1_psg_batch,success,85.93,8297,1500,6797,0.068261,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770257033
10,3ddf_py_sketch_generator,3ddffe40,gpt-5-2025-08-07_40f1_psg_batch,success,103.52,8900,1500,7400,0.074291,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770257175
11,c928_py_sketch_generator,c9281b37,gpt-5-2025-08-07_40f1_psg_batch,success,121.27,9286,1500,7786,0.078151,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770257336
12,130f_py_sketch_generator,130f3a1e,gpt-5-2025-08-07_40f1_psg_batch,success,153.18,12172,1500,10672,0.107011,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770257513
13,9fd7_py_sketch_generator,9fd74b85,gpt-5-2025-08-07_40f1_psg_batch,success,101.89,7817,1500,6317,0.063461,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770257760
14,02ee_py_sketch_generator,02ee4d22,gpt-5-2025-08-07_40f1_psg_batch,success,107.01,7869,1500,6369,0.063981,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770257917
15,769b_py_sketch_generator,769b6961,gpt-5-2025-08-07_40f1_psg_batch,success,194.53,11757,1500,10257,0.102861,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770258081
16,d379_py_sketch_generator,d37904d4,gpt-5-2025-08-07_40f1_psg_batch,success,124.94,10836,1500,9336,0.093651,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770258332
17,dba3_py_sketch_generator,dba3b065,gpt-5-2025-08-07_40f1_psg_batch,failure,511.64,65422,28850,36572,0.3983265,{'extra_body:{}'},5,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770258519
18,6dc3_py_sketch_generator,6dc35e5e,gpt-5-2025-08-07_40f1_psg_batch,success,101.28,8867,1500,7367,0.075545,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770259045
19,9c1a_py_sketch_generator,9c1a80e4,gpt-5-2025-08-07_40f1_psg_batch,success,79.92,9133,1500,7633,0.076621,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770259203
20,32ab_py_sketch_generator,32ab2919,gpt-5-2025-08-07_40f1_psg_batch,success,113.91,11701,1500,10201,0.102301,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770259339
21,833b_py_sketch_generator,833bd5cb,gpt-5-2025-08-07_40f1_psg_batch,success,147.63,7746,1500,6246,0.064335,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770240298
22,61b6_py_sketch_generator,61b64920,gpt-5-2025-08-07_40f1_psg_batch,success,195.76,10552,1500,9052,0.092395,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770240502
23,cb55_py_sketch_generator,cb55e848,gpt-5-2025-08-07_40f1_psg_batch,success,181.5,10713,1500,9213,0.092421,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770240754
24,c977_py_sketch_generator,c977579e,gpt-5-2025-08-07_40f1_psg_batch,success,111.83,7429,1500,5929,0.059581,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770240996
25,1d7d_py_sketch_generator,1d7ddd9c,gpt-5-2025-08-07_40f1_psg_batch,success,173.86,10190,1500,8690,0.087191,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770241165
26,58c9_py_sketch_generator,58c95614,gpt-5-2025-08-07_40f1_psg_batch,success,190.82,10517,1500,9017,0.090461,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770241395
27,2cea_py_sketch_generator,2cea11ed,gpt-5-2025-08-07_40f1_psg_batch,success,168.26,12546,1500,11046,0.112335,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770241648
28,c74d_py_sketch_generator,c74d1c76,gpt-5-2025-08-07_40f1_psg_batch,success,141.93,8370,1500,6870,0.068991,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770242293
29,92f5_py_sketch_generator,92f54528,gpt-5-2025-08-07_40f1_psg_batch,success,181.46,9821,1500,8321,0.085085,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770242492
30,9816_py_sketch_generator,9816caaf,gpt-5-2025-08-07_40f1_psg_batch,success,144.58,8950,1500,7450,0.074791,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770242740
