num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,ade6_py_sketch_generator,ade6233e,phi4_f993_psg_batch,success,53.18,4531,1586,2945,0.0,N/A,3,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1770651949
2,a99b_py_sketch_generator,a99b1258,phi4_f993_psg_batch,success,22.59,2728,1044,1684,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1770652063
3,c864_py_sketch_generator,c8641777,phi4_f993_psg_batch,failure,59.16,7632,3237,4395,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1770652118
4,6c6b_py_sketch_generator,6c6b5641,phi4_f993_psg_batch,success,33.01,4255,1803,2452,0.0,N/A,3,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1770652206
5,0d53_py_sketch_generator,0d533951,phi4_f993_psg_batch,success,47.23,5745,2227,3518,0.0,N/A,4,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1770652297
6,d96a_py_sketch_generator,d96a0ab4,phi4_f993_psg_batch,success,33.65,4052,1552,2500,0.0,N/A,3,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1770652403
7,6e71_py_sketch_generator,6e71952b,phi4_f993_psg_batch,success,11.26,1259,417,842,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1770652498
8,0fad_py_sketch_generator,0fadc19b,phi4_f993_psg_batch,success,23.13,2774,1044,1730,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1770652569
9,866a_py_sketch_generator,866a2123,phi4_f993_psg_batch,success,10.24,1181,417,764,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1770652625
10,915e_py_sketch_generator,915e730c,phi4_f993_psg_batch,success,46.27,5743,2298,3445,0.0,N/A,4,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1770652694
11,c687_py_sketch_generator,c6871f05,phi4_f993_psg_batch,success,24.35,2850,1044,1806,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1770652777
12,ecb0_py_sketch_generator,ecb04fee,phi4_f993_psg_batch,success,10.01,1160,417,743,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1770652834
13,783f_py_sketch_generator,783f2cd4,phi4_5f04_psg_batch,success,61.88,2420,1044,1376,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1770430416
14,5a3a_py_sketch_generator,5a3aff4b,phi4_5f04_psg_batch,success,44.72,5607,2303,3304,0.0,N/A,4,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1770430512
15,3c58_py_sketch_generator,3c583ccf,phi4_5f04_psg_batch,success,23.32,2814,1104,1710,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1770430590
