num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,09e3_py_sketch_generator,09e36f6a,qwen2.5-coder:32b_b5b4_psg_batch,success,126.39,5832,2417,3415,0.0,N/A,4,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1770412934
2,73e4_py_sketch_generator,73e4d909,qwen2.5-coder:32b_b5b4_psg_batch,success,43.92,2776,1122,1654,0.0,N/A,2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1770413126
3,c5b2_py_sketch_generator,c5b26f5d,qwen2.5-coder:32b_b5b4_psg_batch,success,44.06,2782,1121,1661,0.0,N/A,2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1770413202
4,e989_py_sketch_generator,e98979d7,qwen2.5-coder:32b_b5b4_psg_batch,success,46.5,2875,1122,1753,0.0,N/A,2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1770413283
5,22bd_py_sketch_generator,22bde7d7,qwen2.5-coder:32b_b5b4_psg_batch,failure,118.87,7926,3472,4454,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1770413361
6,f3b4_py_sketch_generator,f3b45764,qwen2.5-coder:32b_b5b4_psg_batch,success,43.09,2746,1127,1619,0.0,N/A,2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1770413508
7,3f45_py_sketch_generator,3f45c344,qwen2.5-coder:32b_b5b4_psg_batch,success,91.28,5923,2491,3432,0.0,N/A,4,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1770413587
8,0544_py_sketch_generator,0544f3e0,qwen2.5-coder:32b_b5b4_psg_batch,success,23.45,1326,436,890,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1770413738
9,eed6_py_sketch_generator,eed6d572,qwen2.5-coder:32b_b5b4_psg_batch,success,51.09,2992,1051,1941,0.0,N/A,2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1770413797
10,df90_py_sketch_generator,df904940,qwen2.5-coder:32b_b5b4_psg_batch,success,46.85,2911,1148,1763,0.0,N/A,2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1770413912
