num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,c93b_tpu_sketch_generator,c93b6256,qwen2.5-coder:32b_b5b4_tpusg_batch,success,107.32,6381,2328,4053,0.0,N/A,4,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1770415997
2,3bf0_tpu_sketch_generator,3bf06d55,qwen2.5-coder:32b_b5b4_tpusg_batch,failure,126.12,7874,3131,4743,0.0,N/A,5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1770416207
3,fa8e_tpu_sketch_generator,fa8e2abd,qwen2.5-coder:32b_b5b4_tpusg_batch,success,80.23,4753,1736,3017,0.0,N/A,3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1770416398
4,4f65_tpu_sketch_generator,4f6518af,qwen2.5-coder:32b_b5b4_tpusg_batch,success,47.67,2892,1103,1789,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1770416572
5,da6d_tpu_sketch_generator,da6d0a2e,qwen2.5-coder:32b_b5b4_tpusg_batch,failure,129.27,8201,3351,4850,0.0,N/A,5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1770416705
6,e068_tpu_sketch_generator,e06856ca,qwen2.5-coder:32b_b5b4_tpusg_batch,failure,125.76,8098,3379,4719,0.0,N/A,5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1770416899
7,639e_tpu_sketch_generator,639ea3a1,qwen2.5-coder:32b_b5b4_tpusg_batch,success,71.59,4426,1722,2704,0.0,N/A,3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1770417090
8,90e3_tpu_sketch_generator,90e39d52,qwen2.5-coder:32b_b5b4_tpusg_batch,success,54.86,2990,1072,1918,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1770417254
9,ee92_tpu_sketch_generator,ee92957c,qwen2.5-coder:32b_b5b4_tpusg_batch,success,73.34,4330,1726,2604,0.0,N/A,3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1770417396
10,6283_tpu_sketch_generator,6283b01e,qwen2.5-coder:32b_b5b4_tpusg_batch,success,47.92,2891,1081,1810,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1770417564
11,7f7f_tpu_sketch_generator,7f7f404e,qwen2.5-coder:32b_b5b4_tpusg_batch,success,47.07,2906,1135,1771,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1770417709
12,2d4d_tpu_sketch_generator,2d4dc766,qwen2.5-coder:32b_b5b4_tpusg_batch,failure,142.21,8761,3458,5303,0.0,N/A,5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1770417843
13,a5dc_tpu_sketch_generator,a5dc1257,qwen2.5-coder:32b_b5b4_tpusg_batch,failure,132.92,7745,3204,4541,0.0,N/A,5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1770418050
14,8ab2_tpu_sketch_generator,8ab25e7c,qwen2.5-coder:32b_b5b4_tpusg_batch,success,27.47,1453,474,979,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1770418249
