num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,5d7f_py_sketch_generator,5d7f9c64,gpt-5-2025-08-07_7aac_psg_batch,success,85.81,5772,310,5462,0.0550075,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770300027
2,3542_py_sketch_generator,35425444,gpt-5-2025-08-07_7aac_psg_batch,success,85.3,5095,310,4785,0.0482375,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770300142
3,75da_py_sketch_generator,75da2dbc,gpt-5-2025-08-07_7aac_psg_batch,success,69.68,5029,310,4719,0.0475775,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770300260
4,cc71_py_sketch_generator,cc7183c1,gpt-5-2025-08-07_7aac_psg_batch,success,85.84,5060,310,4750,0.0478875,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770300361
5,8052_py_sketch_generator,80524793,gpt-5-2025-08-07_7aac_psg_batch,success,88.48,5093,310,4783,0.0482175,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770300479
6,ce95_py_sketch_generator,ce950fd6,gpt-5-2025-08-07_7aac_psg_batch,success,91.94,5116,310,4806,0.0484475,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770300600
7,15f0_py_sketch_generator,15f0cb9b,gpt-5-2025-08-07_7aac_psg_batch,success,69.76,4435,310,4125,0.0416375,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770300724
8,56aa_py_sketch_generator,56aa7466,gpt-5-2025-08-07_7aac_psg_batch,success,89.44,4448,310,4138,0.0417675,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770300825
9,0700_py_sketch_generator,07001d00,gpt-5-2025-08-07_7aac_psg_batch,success,91.73,5782,310,5472,0.0551075,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770300948
10,1597_py_sketch_generator,159754f9,gpt-5-2025-08-07_7aac_psg_batch,success,79.68,5482,310,5172,0.0521075,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770301070
11,6429_py_sketch_generator,64299fdb,gpt-5-2025-08-07_7aac_psg_batch,success,65.38,5135,310,4825,0.0486375,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770301182
12,f596_py_sketch_generator,f59668ff,gpt-5-2025-08-07_7aac_psg_batch,success,52.85,4067,310,3757,0.0379575,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770301280
13,0375_py_sketch_generator,03750405,gpt-5-2025-08-07_7aac_psg_batch,success,73.67,4263,310,3953,0.0399175,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770301365
14,6bc0_py_sketch_generator,6bc09a09,gpt-5-2025-08-07_7aac_psg_batch,success,73.84,4542,310,4232,0.0427075,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770301471
15,76de_py_sketch_generator,76dea056,gpt-5-2025-08-07_7aac_psg_batch,success,68.5,4680,310,4370,0.0440875,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770301577
16,2a11_py_sketch_generator,2a11d942,gpt-5-2025-08-07_7aac_psg_batch,success,79.02,4326,310,4016,0.0405475,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770301678
17,7b62_py_sketch_generator,7b62b2d3,gpt-5-2025-08-07_7aac_psg_batch,success,106.5,5029,310,4719,0.0475775,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770301788
18,f214_py_sketch_generator,f2146687,gpt-5-2025-08-07_7aac_psg_batch,success,74.64,4190,310,3880,0.0391875,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770301927
19,6aaf_py_sketch_generator,6aaf562f,gpt-5-2025-08-07_7aac_psg_batch,success,106.61,5581,310,5271,0.0530975,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770302034
20,af14_py_sketch_generator,af1475e8,gpt-5-2025-08-07_7aac_psg_batch,success,89.38,5183,310,4873,0.0491175,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770302173
