num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,8846_py_sketch_generator,8846c177,gpt-5-2025-08-07_6b01_psg_batch,success,66.23,5986,413,5573,0.05624625,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770372790
2,8724_py_sketch_generator,8724bffb,gpt-5-2025-08-07_6b01_psg_batch,success,71.28,6921,413,6508,0.06559625,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770372889
3,e199_py_sketch_generator,e1993021,gpt-5-2025-08-07_6b01_psg_batch,success,125.29,9584,413,9171,0.09222625,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770372993
4,5980_py_sketch_generator,59800a99,gpt-5-2025-08-07_6b01_psg_batch,success,61.94,5960,413,5547,0.05598625,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770373151
5,da48_py_sketch_generator,da485475,gpt-5-2025-08-07_6b01_psg_batch,success,70.81,6667,413,6254,0.06305625,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770373244
6,7baf_py_sketch_generator,7baf60cc,gpt-5-2025-08-07_6b01_psg_batch,success,68.85,6131,413,5718,0.05769625,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770373348
7,7367_py_sketch_generator,7367e42e,gpt-5-2025-08-07_6b01_psg_batch,success,108.12,9196,413,8783,0.08834625,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770373447
8,777c_py_sketch_generator,777c558f,gpt-5-2025-08-07_6b01_psg_batch,success,172.96,13630,1149,12481,0.12624625,{'extra_body:{}'},2,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770373595
9,daf1_py_sketch_generator,daf123bc,gpt-5-2025-08-07_6b01_psg_batch,success,76.62,5957,413,5544,0.05595625,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770373799
10,cc2a_py_sketch_generator,cc2a5772,gpt-5-2025-08-07_6b01_psg_batch,success,148.71,9435,413,9022,0.09073625,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770373908
11,f1cb_py_sketch_generator,f1cbe71d,gpt-5-2025-08-07_6b01_psg_batch,success,149.48,9251,413,8838,0.08889625,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770374088
12,1525_py_sketch_generator,152594fd,gpt-5-2025-08-07_6b01_psg_batch,success,176.37,11876,413,11463,0.11514625,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770374270
13,d307_py_sketch_generator,d307dfb2,gpt-5-2025-08-07_6b01_psg_batch,success,105.91,7145,413,6732,0.06783625,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770374479
14,4914_py_sketch_generator,4914c1cf,gpt-5-2025-08-07_6b01_psg_batch,success,122.42,8234,413,7821,0.07872625,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770374623
15,10fb_py_sketch_generator,10fbfc37,gpt-5-2025-08-07_6b01_psg_batch,success,171.47,11462,413,11049,0.11100625,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770374777
16,276b_py_sketch_generator,276bf066,gpt-5-2025-08-07_6b01_psg_batch,success,85.97,5571,413,5158,0.05209625,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770374981
17,c2ee_py_sketch_generator,c2ee7377,gpt-5-2025-08-07_6b01_psg_batch,success,121.11,8762,413,8349,0.08400625,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770375100
18,df4c_py_sketch_generator,df4ccfd2,gpt-5-2025-08-07_6b01_psg_batch,success,118.21,9557,413,9144,0.09195625,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770375253
19,957c_py_sketch_generator,957c946c,gpt-5-2025-08-07_6b01_psg_batch,success,109.05,8743,413,8330,0.08381625,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770375404
20,d65b_py_sketch_generator,d65baf43,gpt-5-2025-08-07_6b01_psg_batch,success,84.52,6878,413,6465,0.06516625,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770375546
21,b384_py_sketch_generator,b384edc6,gpt-5-2025-08-07_6b01_psg_batch,success,98.7,8233,413,7820,0.07871625,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770375663
22,f6b7_py_sketch_generator,f6b72cea,gpt-5-2025-08-07_6b01_psg_batch,success,121.45,8460,413,8047,0.08098625,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'py_sketch_generator']",1770375793
