num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,ab48_sketch_generator,ab48aa4f,gpt-5-2025-08-07_6b01_sg_batch,success,242.93,24103,6140,17963,0.18730500000000003,{'extra_body:{}'},4,0,0,"['benchmark', 'gpt-5-2025-08-07', 'sketch_generator']",1770382991
2,6f46_sketch_generator,6f46c57d,gpt-5-2025-08-07_6b01_sg_batch,failure,491.59,48995,16701,32294,0.34381625000000005,{'extra_body:{}'},6,0,0,"['benchmark', 'gpt-5-2025-08-07', 'sketch_generator']",1770383369
3,6cb7_sketch_generator,6cb7d619,gpt-5-2025-08-07_6b01_sg_batch,failure,401.18,39266,10180,29086,0.303585,{'extra_body:{}'},6,0,0,"['benchmark', 'gpt-5-2025-08-07', 'sketch_generator']",1770384027
4,3476_sketch_generator,34767a0a,gpt-5-2025-08-07_6b01_sg_batch,failure,501.44,44076,13280,30796,0.32456,{'extra_body:{}'},7,0,0,"['benchmark', 'gpt-5-2025-08-07', 'sketch_generator']",1770384597
5,7816_sketch_generator,781677be,gpt-5-2025-08-07_6b01_sg_batch,success,359.98,33061,9752,23309,0.24528,{'extra_body:{}'},5,0,0,"['benchmark', 'gpt-5-2025-08-07', 'sketch_generator']",1770385267
6,4fc4_sketch_generator,4fc4db54,gpt-5-2025-08-07_6b01_sg_batch,success,478.1,44913,11924,32989,0.34479499999999996,{'extra_body:{}'},7,0,0,"['benchmark', 'gpt-5-2025-08-07', 'sketch_generator']",1770385806
7,55ae_sketch_generator,55ae0a9f,gpt-5-2025-08-07_6b01_sg_batch,failure,379.25,36489,9127,27362,0.28502874999999994,{'extra_body:{}'},6,0,0,"['benchmark', 'gpt-5-2025-08-07', 'sketch_generator']",1770386488
8,965d_sketch_generator,965d71e2,gpt-5-2025-08-07_6b01_sg_batch,success,265.31,32232,9091,23141,0.24277374999999998,{'extra_body:{}'},5,0,0,"['benchmark', 'gpt-5-2025-08-07', 'sketch_generator']",1770387011
9,8fa4_sketch_generator,8fa46ebd,gpt-5-2025-08-07_6b01_sg_batch,success,164.44,17949,4903,13046,0.13658875,{'extra_body:{}'},3,0,0,"['benchmark', 'gpt-5-2025-08-07', 'sketch_generator']",1770387451
10,44a5_sketch_generator,44a56389,gpt-5-2025-08-07_6b01_sg_batch,success,177.72,19763,5116,14647,0.152865,{'extra_body:{}'},3,0,0,"['benchmark', 'gpt-5-2025-08-07', 'sketch_generator']",1770387733
11,84f8_sketch_generator,84f8ec32,gpt-5-2025-08-07_6b01_sg_batch,success,184.68,21271,6287,14984,0.15769875,{'extra_body:{}'},4,0,0,"['benchmark', 'gpt-5-2025-08-07', 'sketch_generator']",1770388030
12,02cd_sketch_generator,02cd0534,gpt-5-2025-08-07_6b01_sg_batch,success,189.85,18727,5515,13212,0.13901375,{'extra_body:{}'},3,0,0,"['benchmark', 'gpt-5-2025-08-07', 'sketch_generator']",1770388334
