num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,31b5_tpu_sketch_generator,31b5468d,gpt-5-2025-08-07_6b01_tpusg_batch,success,118.67,6958,451,6507,0.06563375,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770377280
2,85a8_tpu_sketch_generator,85a8a61f,gpt-5-2025-08-07_6b01_tpusg_batch,success,78.8,5854,451,5403,0.05459375,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770377481
3,d5c0_tpu_sketch_generator,d5c062d7,gpt-5-2025-08-07_6b01_tpusg_batch,success,102.91,7076,451,6625,0.06681375,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770377640
4,5ec2_tpu_sketch_generator,5ec23437,gpt-5-2025-08-07_6b01_tpusg_batch,success,77.64,5839,451,5388,0.05444375,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770377822
5,01a7_tpu_sketch_generator,01a7a20c,gpt-5-2025-08-07_6b01_tpusg_batch,success,136.6,9704,451,9253,0.09309375,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770377979
6,2975_tpu_sketch_generator,29759cf7,gpt-5-2025-08-07_6b01_tpusg_batch,success,104.55,7910,451,7459,0.07515375,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770378195
7,0122_tpu_sketch_generator,01221cd8,gpt-5-2025-08-07_6b01_tpusg_batch,success,336.28,20929,1614,19315,0.1951675,{'extra_body:{}'},3,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770378379
8,14b8_tpu_sketch_generator,14b85500,gpt-5-2025-08-07_6b01_tpusg_batch,success,91.09,6600,451,6149,0.06205375,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770378809
9,0729_tpu_sketch_generator,0729e094,gpt-5-2025-08-07_6b01_tpusg_batch,success,79.11,7870,451,7419,0.07475375,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770378981
10,6a96_tpu_sketch_generator,6a960a1f,gpt-5-2025-08-07_6b01_tpusg_batch,success,74.94,8017,451,7566,0.07622375,{'extra_body:{}'},1,0,0,"['benchmark', 'gpt-5-2025-08-07', 'tpu_sketch_generator']",1770379139
