num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,d081_py_sketch_generator,d081869f,qwen2.5-coder:32b_0d8f_psg_batch,failure,114.18,4081,760,3321,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771881959
2,e38d_py_sketch_generator,e38d9a4c,qwen2.5-coder:32b_0d8f_psg_batch,failure,84.62,4025,760,3265,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771882100
3,e8e7_py_sketch_generator,e8e72e7d,qwen2.5-coder:32b_0d8f_psg_batch,failure,84.04,4025,760,3265,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771882212
4,3309_py_sketch_generator,3309ade0,qwen2.5-coder:32b_0d8f_psg_batch,failure,84.28,4025,760,3265,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771882324
5,6107_py_sketch_generator,61077eb3,qwen2.5-coder:32b_0d8f_psg_batch,failure,83.99,4025,760,3265,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771882435
6,dc81_py_sketch_generator,dc81b3fd,qwen2.5-coder:32b_0d8f_psg_batch,failure,83.89,4025,760,3265,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771882547
7,c049_py_sketch_generator,c0495a9e,qwen2.5-coder:32b_0d8f_psg_batch,failure,83.84,4025,760,3265,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771882659
8,3ebc_py_sketch_generator,3ebcbf92,qwen2.5-coder:32b_0d8f_psg_batch,failure,83.98,4025,760,3265,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771882771
9,45de_py_sketch_generator,45de0a3f,qwen2.5-coder:32b_0d8f_psg_batch,failure,84.24,4025,760,3265,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771882883
10,4b9c_py_sketch_generator,4b9cc1cc,qwen2.5-coder:32b_0d8f_psg_batch,failure,84.59,4025,760,3265,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771882994
11,6a30_py_sketch_generator,6a30e5f2,qwen2.5-coder:32b_0d8f_psg_batch,failure,83.74,4025,760,3265,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771883107
12,762d_py_sketch_generator,762d6486,qwen2.5-coder:32b_0d8f_psg_batch,failure,83.88,4025,760,3265,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771883219
13,f675_py_sketch_generator,f675573a,qwen2.5-coder:32b_0d8f_psg_batch,failure,83.96,4025,760,3265,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771883331
14,7504_py_sketch_generator,750412f9,qwen2.5-coder:32b_0d8f_psg_batch,failure,83.95,4025,760,3265,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771883442
15,1573_py_sketch_generator,15734ae7,qwen2.5-coder:32b_0d8f_psg_batch,failure,83.86,4025,760,3265,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771883553
16,62cd_py_sketch_generator,62cd00fd,qwen2.5-coder:32b_0d8f_psg_batch,failure,83.83,4025,760,3265,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771883665
17,d908_py_sketch_generator,d9083f0d,qwen2.5-coder:32b_0d8f_psg_batch,failure,84.0,4025,760,3265,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771883776
18,6bfd_py_sketch_generator,6bfd3301,qwen2.5-coder:32b_0d8f_psg_batch,success,43.76,2066,398,1668,0.0,"{'top_p:0.3', 'temperature:0.1'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771883888
19,9c26_py_sketch_generator,9c267462,qwen2.5-coder:32b_0d8f_psg_batch,success,43.04,2062,398,1664,0.0,"{'top_p:0.3', 'temperature:0.1'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771883993
20,3f15_py_sketch_generator,3f15c88d,qwen2.5-coder:32b_0d8f_psg_batch,failure,108.15,5182,995,4187,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771884099
21,1b93_py_sketch_generator,1b9325f1,qwen2.5-coder:32b_0d8f_psg_batch,success,43.02,2061,398,1663,0.0,"{'top_p:0.3', 'temperature:0.1'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771884234
22,550c_py_sketch_generator,550ce630,qwen2.5-coder:32b_0d8f_psg_batch,success,43.07,2062,398,1664,0.0,"{'top_p:0.3', 'temperature:0.1'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771884338
23,2566_py_sketch_generator,2566e7ff,qwen2.5-coder:32b_0d8f_psg_batch,success,21.58,1025,199,826,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771884439
24,80b2_py_sketch_generator,80b2b1e4,qwen2.5-coder:32b_0d8f_psg_batch,success,64.46,3079,597,2482,0.0,"{'top_p:0.3', 'temperature:0.1'}",3,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771884518
25,1fe9_py_sketch_generator,1fe9d8db,qwen2.5-coder:32b_0d8f_psg_batch,success,43.09,2061,398,1663,0.0,"{'top_p:0.3', 'temperature:0.1'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771884643
26,536a_py_sketch_generator,536a9917,qwen2.5-coder:32b_0d8f_psg_batch,success,22.01,1032,199,833,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771884744
27,eea5_py_sketch_generator,eea5e0a6,qwen2.5-coder:32b_0d8f_psg_batch,success,22.15,1032,199,833,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771884824
28,0c7f_py_sketch_generator,0c7fd144,qwen2.5-coder:32b_0d8f_psg_batch,success,65.09,3098,597,2501,0.0,"{'top_p:0.3', 'temperature:0.1'}",3,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771884903
29,55cf_py_sketch_generator,55cfe8a8,qwen2.5-coder:32b_0d8f_psg_batch,success,43.01,2061,398,1663,0.0,"{'top_p:0.3', 'temperature:0.1'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771885027
30,6bfb_py_sketch_generator,6bfbeeb3,qwen2.5-coder:32b_0d8f_psg_batch,success,43.06,2062,398,1664,0.0,"{'top_p:0.3', 'temperature:0.1'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771885131
