num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,a283_sketch_generator,a283120e,qwen2.5-coder:32b_0d8f_sg_batch,failure,121.94,6550,1873,4677,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1771889704
2,6079_sketch_generator,60799573,qwen2.5-coder:32b_0d8f_sg_batch,failure,121.98,6550,1873,4677,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1771889978
3,48a4_sketch_generator,48a49895,qwen2.5-coder:32b_0d8f_sg_batch,failure,122.81,6562,1873,4689,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1771890251
4,bc10_sketch_generator,bc10d31a,qwen2.5-coder:32b_0d8f_sg_batch,failure,122.28,6550,1873,4677,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1771890524
5,9520_sketch_generator,95204d9c,qwen2.5-coder:32b_0d8f_sg_batch,failure,122.22,6550,1873,4677,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1771890797
6,ec77_sketch_generator,ec776f0e,qwen2.5-coder:32b_0d8f_sg_batch,failure,122.47,6550,1873,4677,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1771891069
7,1a51_sketch_generator,1a51cc05,qwen2.5-coder:32b_0d8f_sg_batch,failure,122.25,6550,1873,4677,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1771891342
8,515f_sketch_generator,515f5587,qwen2.5-coder:32b_0d8f_sg_batch,failure,122.09,6550,1873,4677,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1771891614
9,20f4_sketch_generator,20f444b7,qwen2.5-coder:32b_0d8f_sg_batch,failure,122.3,6550,1873,4677,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1771891886
10,b51a_sketch_generator,b51a70ab,qwen2.5-coder:32b_0d8f_sg_batch,failure,122.46,6550,1873,4677,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1771892159
11,db03_sketch_generator,db03a9fa,qwen2.5-coder:32b_0d8f_sg_batch,failure,122.25,6550,1873,4677,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1771892432
12,03a9_sketch_generator,03a9e327,qwen2.5-coder:32b_0d8f_sg_batch,failure,122.26,6550,1873,4677,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1771892704
