num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,0cb9_tpu_sketch_generator,0cb9dbc6,qwen2.5-coder:32b_0d8f_tpusg_batch,failure,80.93,4260,1135,3125,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771885215
2,31fd_tpu_sketch_generator,31fd7464,qwen2.5-coder:32b_0d8f_tpusg_batch,failure,80.96,4260,1135,3125,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771885365
3,47c0_tpu_sketch_generator,47c021ec,qwen2.5-coder:32b_0d8f_tpusg_batch,failure,80.75,4260,1135,3125,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771885516
4,7507_tpu_sketch_generator,7507106d,qwen2.5-coder:32b_0d8f_tpusg_batch,failure,80.98,4260,1135,3125,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771885666
5,ebd7_tpu_sketch_generator,ebd7bb6b,qwen2.5-coder:32b_0d8f_tpusg_batch,failure,80.81,4260,1135,3125,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771885817
6,938b_tpu_sketch_generator,938b5892,qwen2.5-coder:32b_0d8f_tpusg_batch,failure,81.28,4260,1135,3125,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771885967
7,fbf1_tpu_sketch_generator,fbf1be1a,qwen2.5-coder:32b_0d8f_tpusg_batch,failure,81.52,4260,1135,3125,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771886118
8,73ad_tpu_sketch_generator,73ad6a8b,qwen2.5-coder:32b_0d8f_tpusg_batch,failure,80.96,4260,1135,3125,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771886268
9,46a9_tpu_sketch_generator,46a9a2f1,qwen2.5-coder:32b_0d8f_tpusg_batch,failure,80.99,4260,1135,3125,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771886419
10,358c_tpu_sketch_generator,358ceadb,qwen2.5-coder:32b_0d8f_tpusg_batch,failure,80.62,4260,1135,3125,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771886569
