num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
12,5aa9_py_sketch_generator,5aa97210,phi4_9bfa_psg_batch,failure,67.79,4857,900,3957,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771898155
13,c516_py_sketch_generator,c5160c0e,phi4_9bfa_psg_batch,failure,51.77,4859,900,3959,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771898292
14,7ac0_py_sketch_generator,7ac01876,phi4_9bfa_psg_batch,failure,51.69,4842,900,3942,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771898387
15,bc8a_py_sketch_generator,bc8a8cb2,phi4_9bfa_psg_batch,failure,51.62,4841,900,3941,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771898482
16,6b6b_py_sketch_generator,6b6b982a,phi4_9bfa_psg_batch,failure,51.58,4856,900,3956,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771898577
17,e717_py_sketch_generator,e7175b9b,phi4_9bfa_psg_batch,failure,50.28,4758,900,3858,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771898672
18,6887_py_sketch_generator,6887f3c5,phi4_9bfa_psg_batch,failure,51.4,4843,900,3943,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771898764
19,897e_py_sketch_generator,897e50f7,phi4_9bfa_psg_batch,failure,51.57,4858,900,3958,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771898856
20,8f44_py_sketch_generator,8f44aa05,phi4_9bfa_psg_batch,failure,51.66,4859,900,3959,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771898950
21,2834_py_sketch_generator,2834d357,phi4_9bfa_psg_batch,failure,51.97,4881,900,3981,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771899044
22,9a9e_py_sketch_generator,9a9e0355,phi4_9bfa_psg_batch,failure,51.67,4860,900,3960,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771899138
23,47ea_py_sketch_generator,47eadade,phi4_9bfa_psg_batch,failure,51.64,4858,900,3958,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771899233
24,3994_py_sketch_generator,399431c5,phi4_9bfa_psg_batch,failure,51.91,4856,900,3956,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771899330
25,daf7_py_sketch_generator,daf77951,phi4_9bfa_psg_batch,failure,51.59,4843,900,3943,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771899424
26,3e45_py_sketch_generator,3e45357d,phi4_9bfa_psg_batch,failure,51.35,4843,900,3943,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771899517
27,6448_py_sketch_generator,6448eb08,phi4_9bfa_psg_batch,failure,51.6,4859,900,3959,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771899613
28,8745_py_sketch_generator,87458113,phi4_9bfa_psg_batch,failure,51.55,4858,900,3958,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771899706
29,b723_py_sketch_generator,b7235e47,phi4_9bfa_psg_batch,failure,51.09,4828,900,3928,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771899800
30,0889_py_sketch_generator,0889301c,phi4_9bfa_psg_batch,failure,51.63,4857,900,3957,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771899894
