num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,6788_sketch_generator,67881e3b,phi4_9bfa_sg_batch,failure,53.95,5773,1715,4058,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771902976
2,cffd_sketch_generator,cffd4137,phi4_9bfa_sg_batch,failure,55.41,5911,1715,4196,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771903171
3,938b_sketch_generator,938bdf04,phi4_9bfa_sg_batch,failure,53.12,5744,1715,4029,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771903365
4,ed94_sketch_generator,ed94a94f,phi4_9bfa_sg_batch,failure,54.78,5878,1715,4163,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771903558
5,b624_sketch_generator,b624cde8,phi4_9bfa_sg_batch,failure,53.89,5773,1715,4058,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771903751
6,cb86_sketch_generator,cb86583b,phi4_9bfa_sg_batch,failure,53.6,5750,1715,4035,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771903944
7,2699_sketch_generator,2699f731,phi4_9bfa_sg_batch,failure,56.06,5962,1715,4247,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771904136
8,a8a4_sketch_generator,a8a4732c,phi4_9bfa_sg_batch,failure,53.51,5769,1715,4054,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771904330
9,e735_sketch_generator,e735ed3c,phi4_9bfa_sg_batch,failure,52.79,5715,1715,4000,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771904522
10,01b3_sketch_generator,01b36ae8,phi4_9bfa_sg_batch,failure,54.42,5805,1715,4090,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771904714
11,4d9f_sketch_generator,4d9f214c,phi4_9bfa_sg_batch,failure,56.31,5974,1715,4259,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771904907
12,a409_sketch_generator,a4098b90,phi4_9bfa_sg_batch,failure,54.12,5817,1715,4102,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771905102
13,c401_sketch_generator,c401c1df,phi4_9bfa_sg_batch,failure,52.29,5676,1715,3961,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771905296
14,69dc_sketch_generator,69dc7de4,phi4_9bfa_sg_batch,failure,54.1,5817,1715,4102,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771905487
15,5a8c_sketch_generator,5a8cca4e,phi4_9bfa_sg_batch,failure,53.72,5744,1715,4029,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771905680
16,e0c7_sketch_generator,e0c71572,phi4_9bfa_sg_batch,failure,53.8,5788,1715,4073,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771905872
17,76f0_sketch_generator,76f0a099,phi4_9bfa_sg_batch,failure,54.0,5814,1715,4099,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771906065
18,1f8d_sketch_generator,1f8dbfdf,phi4_9bfa_sg_batch,failure,54.3,5835,1715,4120,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771906257
19,a575_sketch_generator,a575cb35,phi4_9bfa_sg_batch,failure,54.55,5820,1715,4105,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771906451
20,c610_sketch_generator,c610b7b9,phi4_9bfa_sg_batch,failure,53.61,5769,1715,4054,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771906644
21,1afe_sketch_generator,1afe39aa,phi4_9bfa_sg_batch,failure,54.17,5820,1715,4105,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771906837
22,1905_sketch_generator,1905d666,phi4_9bfa_sg_batch,failure,54.05,5809,1715,4094,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771907032
23,a1c7_sketch_generator,a1c7a92c,phi4_9bfa_sg_batch,failure,51.8,5639,1715,3924,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771907225
24,184b_sketch_generator,184b9c3c,phi4_9bfa_sg_batch,failure,57.18,6002,1715,4287,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771907417
25,8823_sketch_generator,8823ebc8,phi4_9bfa_sg_batch,failure,55.95,5954,1715,4239,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771907614
26,b24d_sketch_generator,b24d3f43,phi4_9bfa_sg_batch,failure,54.61,5851,1715,4136,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771907810
27,e905_sketch_generator,e905640e,phi4_9bfa_sg_batch,failure,54.95,5881,1715,4166,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771908003
28,bee5_sketch_generator,bee5da16,phi4_9bfa_sg_batch,failure,53.83,5795,1715,4080,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771908197
29,ce01_sketch_generator,ce018c59,phi4_9bfa_sg_batch,failure,54.36,5791,1715,4076,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771908390
30,6bae_sketch_generator,6baea1c4,phi4_9bfa_sg_batch,failure,54.12,5820,1715,4105,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771908584
