num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,b4f7_tpu_sketch_generator,b4f728a4,phi4_9bfa_tpusg_batch,failure,53.85,5130,1040,4090,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1771899969
2,1cb6_tpu_sketch_generator,1cb6438f,phi4_9bfa_tpusg_batch,failure,53.62,5136,1040,4096,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1771900072
3,3844_tpu_sketch_generator,38446362,phi4_9bfa_tpusg_batch,failure,53.08,5093,1040,4053,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1771900173
4,7932_tpu_sketch_generator,79328f92,phi4_9bfa_tpusg_batch,failure,54.87,5200,1040,4160,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1771900272
5,ab4e_tpu_sketch_generator,ab4e44f4,phi4_9bfa_tpusg_batch,failure,53.43,5136,1040,4096,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1771900374
6,b82f_tpu_sketch_generator,b82ff8d6,phi4_9bfa_tpusg_batch,failure,52.87,5093,1040,4053,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1771900473
7,d3cc_tpu_sketch_generator,d3cc6715,phi4_9bfa_tpusg_batch,failure,53.36,5125,1040,4085,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1771900573
8,fddf_tpu_sketch_generator,fddf214b,phi4_9bfa_tpusg_batch,failure,52.92,5093,1040,4053,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1771900672
9,f288_tpu_sketch_generator,f2887907,phi4_9bfa_tpusg_batch,failure,53.63,5146,1040,4106,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1771900772
10,cadf_tpu_sketch_generator,cadfce31,phi4_9bfa_tpusg_batch,failure,53.45,5140,1040,4100,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1771900872
11,b637_tpu_sketch_generator,b63768b6,phi4_9bfa_tpusg_batch,failure,53.51,5125,1040,4085,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1771900976
12,72ff_tpu_sketch_generator,72ff3cd1,phi4_9bfa_tpusg_batch,failure,53.72,5146,1040,4106,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1771901076
13,57cb_tpu_sketch_generator,57cb128c,phi4_9bfa_tpusg_batch,failure,54.67,5192,1040,4152,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1771901176
14,b679_tpu_sketch_generator,b679bab9,phi4_9bfa_tpusg_batch,failure,53.82,5157,1040,4117,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1771901282
15,65ad_tpu_sketch_generator,65ad9306,phi4_9bfa_tpusg_batch,failure,53.78,5157,1040,4117,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1771901383
