num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,a614_py_sketch_generator,a614ab9b,qwen2.5-coder:32b_12d3_psg_batch,success,60.88,2765,1124,1641,0.0,"{'temperature:0.1', 'top_p:0.3'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771491117
2,dab0_py_sketch_generator,dab0bdb5,qwen2.5-coder:32b_12d3_psg_batch,success,43.99,2764,1124,1640,0.0,"{'temperature:0.1', 'top_p:0.3'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771491212
3,3ee7_py_sketch_generator,3ee785c0,qwen2.5-coder:32b_12d3_psg_batch,success,45.56,2823,1124,1699,0.0,"{'temperature:0.1', 'top_p:0.3'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771491290
4,3454_py_sketch_generator,34545c83,qwen2.5-coder:32b_12d3_psg_batch,success,44.83,2796,1124,1672,0.0,"{'temperature:0.1', 'top_p:0.3'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771491368
5,58b2_py_sketch_generator,58b21c9a,qwen2.5-coder:32b_12d3_psg_batch,success,44.66,2790,1124,1666,0.0,"{'temperature:0.1', 'top_p:0.3'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771491447
6,080c_py_sketch_generator,080c538d,qwen2.5-coder:32b_12d3_psg_batch,success,44.28,2774,1124,1650,0.0,"{'temperature:0.1', 'top_p:0.3'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771491523
7,9b2f_py_sketch_generator,9b2f20b6,qwen2.5-coder:32b_12d3_psg_batch,success,43.58,2749,1124,1625,0.0,"{'temperature:0.1', 'top_p:0.3'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771491602
8,fde4_py_sketch_generator,fde41b1f,qwen2.5-coder:32b_12d3_psg_batch,success,43.29,2738,1124,1614,0.0,"{'temperature:0.1', 'top_p:0.3'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771491679
9,4c3e_py_sketch_generator,4c3efd5f,qwen2.5-coder:32b_12d3_psg_batch,success,43.95,2763,1124,1639,0.0,"{'temperature:0.1', 'top_p:0.3'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771491757
10,00c1_py_sketch_generator,00c18b01,qwen2.5-coder:32b_12d3_psg_batch,success,43.88,2760,1124,1636,0.0,"{'temperature:0.1', 'top_p:0.3'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771491833
11,5995_py_sketch_generator,59956f19,qwen2.5-coder:32b_12d3_psg_batch,success,43.93,2761,1124,1637,0.0,"{'temperature:0.1', 'top_p:0.3'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771491911
12,1e2d_py_sketch_generator,1e2d9515,qwen2.5-coder:32b_12d3_psg_batch,success,43.34,2741,1124,1617,0.0,"{'temperature:0.1', 'top_p:0.3'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771491989
13,8416_py_sketch_generator,8416acae,qwen2.5-coder:32b_12d3_psg_batch,success,44.82,2796,1124,1672,0.0,"{'temperature:0.1', 'top_p:0.3'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771492064
14,2d80_py_sketch_generator,2d807626,qwen2.5-coder:32b_12d3_psg_batch,success,43.66,2752,1124,1628,0.0,"{'temperature:0.1', 'top_p:0.3'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771492143
15,bf46_py_sketch_generator,bf46d984,qwen2.5-coder:32b_12d3_psg_batch,success,44.67,2790,1124,1666,0.0,"{'temperature:0.1', 'top_p:0.3'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771492220
16,bb70_py_sketch_generator,bb704d92,qwen2.5-coder:32b_12d3_psg_batch,success,43.53,2746,1124,1622,0.0,"{'temperature:0.1', 'top_p:0.3'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771492297
17,886d_py_sketch_generator,886d0bd6,qwen2.5-coder:32b_12d3_psg_batch,success,44.62,2789,1124,1665,0.0,"{'temperature:0.1', 'top_p:0.3'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771492372
18,b872_py_sketch_generator,b872ceaf,qwen2.5-coder:32b_12d3_psg_batch,success,44.86,2797,1124,1673,0.0,"{'temperature:0.1', 'top_p:0.3'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771492451
19,f0b0_py_sketch_generator,f0b0d2fb,qwen2.5-coder:32b_12d3_psg_batch,success,44.83,2797,1124,1673,0.0,"{'temperature:0.1', 'top_p:0.3'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771492529
20,45a6_py_sketch_generator,45a6815b,qwen2.5-coder:32b_12d3_psg_batch,success,43.38,2741,1124,1617,0.0,"{'temperature:0.1', 'top_p:0.3'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771492609
21,2ab3_py_sketch_generator,2ab30162,qwen2.5-coder:32b_12d3_psg_batch,success,44.0,2764,1124,1640,0.0,"{'temperature:0.1', 'top_p:0.3'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771492687
22,c96e_py_sketch_generator,c96e31e6,qwen2.5-coder:32b_12d3_psg_batch,success,43.95,2763,1124,1639,0.0,"{'temperature:0.1', 'top_p:0.3'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1771492765
