num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,f4a9_sketch_generator,f4a96bc7,qwen2.5-coder:32b_12d3_sg_batch,failure,176.16,16301,10099,6202,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1771498395
2,7f5a_sketch_generator,7f5af3e9,qwen2.5-coder:32b_12d3_sg_batch,failure,168.4,16000,10099,5901,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1771498710
3,c8a6_sketch_generator,c8a6b0b6,qwen2.5-coder:32b_12d3_sg_batch,failure,164.3,15847,10099,5748,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1771499036
4,528b_sketch_generator,528ba6d5,qwen2.5-coder:32b_12d3_sg_batch,failure,161.46,15743,10099,5644,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1771499354
5,c43a_sketch_generator,c43a5d7d,qwen2.5-coder:32b_12d3_sg_batch,failure,176.88,16325,10099,6226,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1771499670
6,70a0_sketch_generator,70a08e2b,qwen2.5-coder:32b_12d3_sg_batch,failure,166.99,15959,10099,5860,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1771500002
7,c301_sketch_generator,c3013a55,qwen2.5-coder:32b_12d3_sg_batch,failure,175.94,16298,10099,6199,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1771500324
8,3983_sketch_generator,3983e1c6,qwen2.5-coder:32b_12d3_sg_batch,failure,159.12,15659,10099,5560,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1771500656
9,17db_sketch_generator,17db3bc7,qwen2.5-coder:32b_12d3_sg_batch,failure,183.07,16558,10099,6459,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1771500971
10,6847_sketch_generator,68474bbe,qwen2.5-coder:32b_12d3_sg_batch,failure,176.09,16299,10099,6200,0.0,"{'temperature:0.1', 'top_p:0.3'}",6,0,0,"['benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1771501310
