num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,2d69_tpu_sketch_generator,2d69fffb,qwen2.5-coder:32b_12d3_tpusg_batch,success,69.71,4353,1747,2606,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771493447
2,8552_tpu_sketch_generator,8552d540,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.5,4417,1746,2671,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771493613
3,959c_tpu_sketch_generator,959cdf4e,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.49,4418,1745,2673,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771493778
4,a8eb_tpu_sketch_generator,a8eb2a19,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.26,4407,1744,2663,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771493944
5,d1b4_tpu_sketch_generator,d1b4a647,qwen2.5-coder:32b_12d3_tpusg_batch,success,72.44,4421,1746,2675,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771494109
6,2274_tpu_sketch_generator,2274e3a9,qwen2.5-coder:32b_12d3_tpusg_batch,success,70.48,4380,1746,2634,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771494276
7,2f1c_tpu_sketch_generator,2f1cd093,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.37,4413,1745,2668,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771494440
8,1573_tpu_sketch_generator,1573ee73,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.61,4424,1747,2677,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771494606
9,32c9_tpu_sketch_generator,32c98127,qwen2.5-coder:32b_12d3_tpusg_batch,success,73.32,4487,1746,2741,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771494772
10,ed31_tpu_sketch_generator,ed3125e8,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.57,4423,1748,2675,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771494940
11,7fa2_tpu_sketch_generator,7fa220a0,qwen2.5-coder:32b_12d3_tpusg_batch,success,73.41,4486,1746,2740,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771495106
12,1e78_tpu_sketch_generator,1e788582,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.42,4418,1748,2670,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771495273
13,c2ab_tpu_sketch_generator,c2ab0f07,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.54,4414,1746,2668,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771495438
14,2ec0_tpu_sketch_generator,2ec0b787,qwen2.5-coder:32b_12d3_tpusg_batch,success,69.75,4356,1748,2608,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771495607
15,7fc5_tpu_sketch_generator,7fc5c442,qwen2.5-coder:32b_12d3_tpusg_batch,success,72.08,4442,1747,2695,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771495771
16,6bab_tpu_sketch_generator,6babe18e,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.86,4433,1746,2687,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771495936
17,8d16_tpu_sketch_generator,8d169bcd,qwen2.5-coder:32b_12d3_tpusg_batch,success,69.94,4362,1747,2615,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771496102
18,34fb_tpu_sketch_generator,34fb40e7,qwen2.5-coder:32b_12d3_tpusg_batch,success,69.79,4356,1747,2609,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771496267
19,2f4e_tpu_sketch_generator,2f4efae1,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.25,4410,1746,2664,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771496430
20,1ff8_tpu_sketch_generator,1ff805f9,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.22,4406,1744,2662,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771496596
21,c33d_tpu_sketch_generator,c33d2dfe,qwen2.5-coder:32b_12d3_tpusg_batch,success,70.1,4369,1748,2621,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771496761
22,9b43_tpu_sketch_generator,9b43ed10,qwen2.5-coder:32b_12d3_tpusg_batch,success,69.77,4356,1747,2609,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771496926
23,26c6_tpu_sketch_generator,26c62127,qwen2.5-coder:32b_12d3_tpusg_batch,success,70.79,4393,1747,2646,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771497090
24,8b7c_tpu_sketch_generator,8b7c6b37,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.21,4407,1745,2662,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771497256
25,e538_tpu_sketch_generator,e538f202,qwen2.5-coder:32b_12d3_tpusg_batch,success,69.97,4359,1743,2616,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771497421
26,61b5_tpu_sketch_generator,61b58e3a,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.52,4418,1744,2674,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771497586
27,fb24_tpu_sketch_generator,fb249eee,qwen2.5-coder:32b_12d3_tpusg_batch,success,72.66,4461,1744,2717,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771497751
28,3716_tpu_sketch_generator,3716c0fa,qwen2.5-coder:32b_12d3_tpusg_batch,success,69.79,4356,1746,2610,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771497919
29,b2be_tpu_sketch_generator,b2bec059,qwen2.5-coder:32b_12d3_tpusg_batch,success,72.55,4425,1746,2679,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771498082
30,bf02_tpu_sketch_generator,bf0274fe,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.67,4426,1747,2679,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1771498249
