num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,ec0c_sketch_generator,ec0c1eb6,phi4_29a1_sg_batch,failure,61.15,10252,5884,4368,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771514743
2,80f1_sketch_generator,80f17de0,phi4_29a1_sg_batch,failure,64.02,10504,5884,4620,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771514832
3,9b27_sketch_generator,9b27b06a,phi4_29a1_sg_batch,failure,57.84,10051,5884,4167,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771514925
4,8907_sketch_generator,8907ed17,phi4_29a1_sg_batch,failure,67.5,10756,5884,4872,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771515011
5,56f9_sketch_generator,56f93a14,phi4_29a1_sg_batch,failure,62.85,10420,5884,4536,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771515108
6,49fd_sketch_generator,49fd3593,phi4_29a1_sg_batch,failure,65.81,10638,5884,4754,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771515199
7,4dfa_sketch_generator,4dfaacb6,phi4_29a1_sg_batch,failure,62.2,10370,5884,4486,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771515294
8,1f2b_sketch_generator,1f2b050f,phi4_29a1_sg_batch,failure,62.73,10409,5884,4525,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771515384
9,b0fc_sketch_generator,b0fc95b4,phi4_29a1_sg_batch,failure,64.0,10493,5884,4609,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771515476
10,92cb_sketch_generator,92cb4588,phi4_29a1_sg_batch,failure,66.32,10675,5884,4791,0.0,"{'top_p:0.3', 'temperature:0.1'}",6,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']",1771515568
