num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
11,f37d_py_sketch_generator,f37d508f,phi4_29a1_psg_batch,failure,65.6,6976,2868,4108,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771508551
12,eb94_py_sketch_generator,eb94cbe6,phi4_29a1_psg_batch,failure,54.63,6973,2864,4109,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771508644
13,8778_py_sketch_generator,877835a3,phi4_29a1_psg_batch,failure,55.8,7062,2864,4198,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771508726
14,2a68_py_sketch_generator,2a68f524,phi4_29a1_psg_batch,failure,55.58,7045,2868,4177,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771508810
15,6592_py_sketch_generator,6592e8ec,phi4_29a1_psg_batch,success,32.33,4025,1606,2419,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771508892
16,7fcb_py_sketch_generator,7fcb2c14,phi4_29a1_psg_batch,success,56.95,7152,2868,4284,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771508985
17,9b46_py_sketch_generator,9b461d91,phi4_29a1_psg_batch,success,45.56,5660,2235,3425,0.0,"{'temperature:0.1', 'top_p:0.3'}",4,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771509103
18,de09_py_sketch_generator,de09a98b,phi4_29a1_psg_batch,success,44.87,5599,2235,3364,0.0,"{'temperature:0.1', 'top_p:0.3'}",4,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771509208
19,5d53_py_sketch_generator,5d533d6c,phi4_29a1_psg_batch,failure,56.7,7134,2868,4266,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771509314
20,29fc_py_sketch_generator,29fc120b,phi4_29a1_psg_batch,failure,55.4,7020,2849,4171,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771509398
21,7d1d_py_sketch_generator,7d1d333a,phi4_29a1_psg_batch,failure,56.17,7091,2868,4223,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771509481
22,7c97_py_sketch_generator,7c979bda,phi4_29a1_psg_batch,failure,55.63,7052,2868,4184,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771509564
23,b4c3_py_sketch_generator,b4c38383,phi4_29a1_psg_batch,failure,57.84,7221,2868,4353,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771509648
24,1d89_py_sketch_generator,1d89d072,phi4_29a1_psg_batch,failure,57.46,7108,2868,4240,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771509734
25,a796_py_sketch_generator,a79648ac,phi4_29a1_psg_batch,failure,56.31,7074,2868,4206,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771509817
26,fbdb_py_sketch_generator,fbdb534b,phi4_29a1_psg_batch,success,55.13,7009,2868,4141,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771509901
27,21fa_py_sketch_generator,21fab17c,phi4_29a1_psg_batch,failure,56.67,7131,2868,4263,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771510014
28,5a20_py_sketch_generator,5a20d359,phi4_29a1_psg_batch,success,43.49,5505,2235,3270,0.0,"{'temperature:0.1', 'top_p:0.3'}",4,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771510099
29,5305_py_sketch_generator,53056a44,phi4_29a1_psg_batch,failure,55.72,7053,2868,4185,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771510200
30,b05a_py_sketch_generator,b05aea00,phi4_29a1_psg_batch,failure,56.23,7097,2868,4229,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1771510284
