num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,76ad_tpu_sketch_generator,76ad1565,phi4_29a1_tpusg_batch,success,34.37,4256,1686,2570,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1771510347
2,cb21_tpu_sketch_generator,cb217186,phi4_29a1_tpusg_batch,success,56.86,7162,2894,4268,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1771510476
3,6a4b_tpu_sketch_generator,6a4b7770,phi4_29a1_tpusg_batch,success,55.33,7025,2901,4124,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1771510644
4,3434_tpu_sketch_generator,34343985,phi4_29a1_tpusg_batch,success,57.66,7198,2867,4331,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1771510810
5,3769_tpu_sketch_generator,37693021,phi4_29a1_tpusg_batch,success,55.65,7054,2870,4184,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1771510979
6,f58a_tpu_sketch_generator,f58ac416,phi4_29a1_tpusg_batch,success,56.38,7104,2867,4237,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1771511145
7,f0c3_tpu_sketch_generator,f0c3b28d,phi4_29a1_tpusg_batch,success,34.63,4252,1651,2601,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1771511313
8,7288_tpu_sketch_generator,728819c8,phi4_29a1_tpusg_batch,success,56.09,7069,2866,4203,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1771511443
9,d131_tpu_sketch_generator,d131bc07,phi4_29a1_tpusg_batch,failure,55.88,7063,2866,4197,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1771511610
10,3623_tpu_sketch_generator,362366cb,phi4_29a1_tpusg_batch,success,55.29,7024,2869,4155,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1771511734
