num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,ef4d_py_sketch_generator,ef4dbf26,qwen2.5-coder:32b_1099_psg_batch,success,277.86,5626,4001,1625,0.0,N/A,2,0,0,"['agx', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1775706243
2,92e3_py_sketch_generator,92e3c94d,qwen2.5-coder:32b_1099_psg_batch,success,290.75,5752,4045,1707,0.0,N/A,2,0,0,"['agx', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1775706581
3,7801_py_sketch_generator,78011b7a,qwen2.5-coder:32b_1099_psg_batch,success,263.66,5485,3941,1544,0.0,N/A,2,0,0,"['agx', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1775706925
4,817b_py_sketch_generator,817bd084,qwen2.5-coder:32b_1099_psg_batch,success,162.24,2492,1514,978,0.0,N/A,1,0,0,"['agx', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1775707245
5,b38e_py_sketch_generator,b38ec372,qwen2.5-coder:32b_1099_psg_batch,success,141.55,2397,1514,883,0.0,N/A,1,0,0,"['agx', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1775707460
6,2e37_py_sketch_generator,2e374335,qwen2.5-coder:32b_1099_psg_batch,success,126.12,2301,1514,787,0.0,N/A,1,0,0,"['agx', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1775707656
7,cf6d_py_sketch_generator,cf6de523,qwen2.5-coder:32b_1099_psg_batch,success,313.0,5988,4114,1874,0.0,N/A,2,0,0,"['agx', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1775707838
8,da13_py_sketch_generator,da137c50,qwen2.5-coder:32b_1099_psg_batch,success,118.86,2222,1514,708,0.0,N/A,1,0,0,"['agx', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1775708204
9,f84b_py_sketch_generator,f84bcbd8,qwen2.5-coder:32b_1099_psg_batch,success,126.12,2300,1514,786,0.0,N/A,1,0,0,"['agx', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1775708377
10,af13_py_sketch_generator,af13b982,qwen2.5-coder:32b_1099_psg_batch,success,140.65,2390,1514,876,0.0,N/A,1,0,0,"['agx', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1775708559
11,d245_py_sketch_generator,d2459300,qwen2.5-coder:32b_1099_psg_batch,success,327.63,6059,4095,1964,0.0,N/A,2,0,0,"['agx', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1775708755
12,fcf7_py_sketch_generator,fcf7dfb3,qwen2.5-coder:32b_1099_psg_batch,success,128.16,2280,1514,766,0.0,N/A,1,0,0,"['agx', 'benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1775709135
