num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,47db_sketch_generator,47dbc261,qwen2.5-coder:32b_1099_sg_batch,failure,980.76,25051,19611,5440,0.0,N/A,6,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1775713254
2,c3d7_sketch_generator,c3d7c804,qwen2.5-coder:32b_1099_sg_batch,failure,1039.45,25486,19686,5800,0.0,N/A,6,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1775714369
3,956b_sketch_generator,956bb9fb,qwen2.5-coder:32b_1099_sg_batch,failure,1017.8,24140,18441,5699,0.0,N/A,6,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1775715541
4,2595_sketch_generator,25954c57,qwen2.5-coder:32b_1099_sg_batch,failure,1026.07,25408,19689,5719,0.0,N/A,6,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1775716668
5,bcb9_sketch_generator,bcb9d720,qwen2.5-coder:32b_1099_sg_batch,failure,1057.72,24558,18609,5949,0.0,N/A,6,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1775717839
6,f0bb_sketch_generator,f0bb52f3,qwen2.5-coder:32b_1099_sg_batch,failure,1088.19,25792,19696,6096,0.0,N/A,6,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1775719014
7,85de_sketch_generator,85deb87c,qwen2.5-coder:32b_1099_sg_batch,failure,996.59,24066,18498,5568,0.0,N/A,6,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1775720235
8,158f_sketch_generator,158fa0fa,qwen2.5-coder:32b_1099_sg_batch,failure,1008.44,24066,18409,5657,0.0,N/A,6,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1775721351
9,f342_sketch_generator,f342d4e1,qwen2.5-coder:32b_1099_sg_batch,failure,788.7,23398,19115,4283,0.0,N/A,6,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1775722478
10,27a8_sketch_generator,27a8e06a,qwen2.5-coder:32b_1099_sg_batch,failure,884.42,23373,18475,4898,0.0,N/A,6,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1775723376
11,8811_sketch_generator,88113037,qwen2.5-coder:32b_1099_sg_batch,failure,933.18,23646,18450,5196,0.0,N/A,6,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1775724351
12,9633_sketch_generator,9633cf77,qwen2.5-coder:32b_1099_sg_batch,failure,863.37,24387,19645,4742,0.0,N/A,6,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1775725404
13,7bbd_sketch_generator,7bbdc0c6,qwen2.5-coder:32b_1099_sg_batch,failure,918.03,23446,18345,5101,0.0,N/A,6,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1775726411
14,3301_sketch_generator,3301e647,qwen2.5-coder:32b_1099_sg_batch,failure,1050.43,25359,19496,5863,0.0,N/A,6,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1775727448
15,b776_sketch_generator,b776cfc9,qwen2.5-coder:32b_1099_sg_batch,failure,1002.24,25256,19695,5561,0.0,N/A,6,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1775728645
16,6fea_sketch_generator,6fea10b7,qwen2.5-coder:32b_1099_sg_batch,failure,1031.23,24245,18451,5794,0.0,N/A,6,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1775729794
17,174c_sketch_generator,174c60a3,qwen2.5-coder:32b_1099_sg_batch,failure,1037.24,25469,19693,5776,0.0,N/A,6,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1775730919
18,18ad_sketch_generator,18ad3a69,qwen2.5-coder:32b_1099_sg_batch,failure,1128.94,26031,19686,6345,0.0,N/A,6,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1775732091
19,8039_sketch_generator,803990dd,qwen2.5-coder:32b_1099_sg_batch,failure,1037.56,24508,18765,5743,0.0,N/A,6,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1775733352
20,af91_sketch_generator,af91db5c,qwen2.5-coder:32b_1099_sg_batch,failure,1111.83,25039,18785,6254,0.0,N/A,6,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1775736877
21,af44_sketch_generator,af4457db,qwen2.5-coder:32b_1099_sg_batch,failure,1087.71,24335,18214,6121,0.0,N/A,6,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1775738081
22,096f_sketch_generator,096fe766,qwen2.5-coder:32b_1099_sg_batch,failure,1055.75,24355,18430,5925,0.0,N/A,6,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1775739288
23,d681_sketch_generator,d68195f3,qwen2.5-coder:32b_1099_sg_batch,failure,1030.23,24321,18556,5765,0.0,N/A,6,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'sketch_generator']",1775740463
