num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,e021_tpu_sketch_generator,e021989a,qwen2.5-coder:32b_1099_tpusg_batch,success,553.86,10908,7729,3179,0.0,N/A,3,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775692590
2,3e26_tpu_sketch_generator,3e26ee7c,qwen2.5-coder:32b_1099_tpusg_batch,failure,810.0,18126,13352,4774,0.0,N/A,5,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775693223
3,6a4d_tpu_sketch_generator,6a4d54a6,qwen2.5-coder:32b_1099_tpusg_batch,success,549.39,10983,7755,3228,0.0,N/A,3,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775694083
4,b57c_tpu_sketch_generator,b57c5fb2,qwen2.5-coder:32b_1099_tpusg_batch,failure,898.99,18929,13625,5304,0.0,N/A,5,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775694705
5,6b16_tpu_sketch_generator,6b1664e2,qwen2.5-coder:32b_1099_tpusg_batch,success,161.6,2741,1778,963,0.0,N/A,1,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775695656
6,7405_tpu_sketch_generator,74055e6e,qwen2.5-coder:32b_1099_tpusg_batch,success,141.06,2653,1778,875,0.0,N/A,1,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775695882
7,527e_tpu_sketch_generator,527e82bc,qwen2.5-coder:32b_1099_tpusg_batch,success,312.81,6479,4622,1857,0.0,N/A,2,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775696086
8,b0a7_tpu_sketch_generator,b0a7fef5,qwen2.5-coder:32b_1099_tpusg_batch,success,158.7,2723,1778,945,0.0,N/A,1,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775696471
9,dde0_tpu_sketch_generator,dde027e8,qwen2.5-coder:32b_1099_tpusg_batch,success,155.09,2741,1778,963,0.0,N/A,1,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775696692
10,a043_tpu_sketch_generator,a043e603,qwen2.5-coder:32b_1099_tpusg_batch,success,322.15,6563,4649,1914,0.0,N/A,2,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775696910
11,cb4e_tpu_sketch_generator,cb4e68f2,qwen2.5-coder:32b_1099_tpusg_batch,success,354.1,6818,4750,2068,0.0,N/A,2,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775697304
12,7c39_tpu_sketch_generator,7c39d9d6,qwen2.5-coder:32b_1099_tpusg_batch,success,143.0,2626,1778,848,0.0,N/A,1,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775697728
13,ba80_tpu_sketch_generator,ba800d76,qwen2.5-coder:32b_1099_tpusg_batch,success,367.15,6986,4801,2185,0.0,N/A,2,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775697935
14,7d38_tpu_sketch_generator,7d38dffc,qwen2.5-coder:32b_1099_tpusg_batch,failure,851.1,18394,13380,5014,0.0,N/A,5,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775698369
15,781d_tpu_sketch_generator,781d90da,qwen2.5-coder:32b_1099_tpusg_batch,success,328.39,6604,4691,1913,0.0,N/A,2,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775699302
16,aad5_tpu_sketch_generator,aad56718,qwen2.5-coder:32b_1099_tpusg_batch,failure,863.29,18474,13377,5097,0.0,N/A,5,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775699702
17,1fcb_tpu_sketch_generator,1fcbf0e8,qwen2.5-coder:32b_1099_tpusg_batch,failure,744.06,17138,12745,4393,0.0,N/A,5,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775700617
18,96cf_tpu_sketch_generator,96cf6454,qwen2.5-coder:32b_1099_tpusg_batch,success,171.86,2805,1778,1027,0.0,N/A,1,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775701413
19,29fb_tpu_sketch_generator,29fbab9b,qwen2.5-coder:32b_1099_tpusg_batch,failure,909.2,19187,13788,5399,0.0,N/A,5,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775701648
20,5e5c_tpu_sketch_generator,5e5c6d2b,qwen2.5-coder:32b_1099_tpusg_batch,success,150.16,2662,1778,884,0.0,N/A,1,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775702610
21,cf0a_tpu_sketch_generator,cf0a39a1,qwen2.5-coder:32b_1099_tpusg_batch,success,351.71,6804,4711,2093,0.0,N/A,2,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775702823
22,e51c_tpu_sketch_generator,e51cfbab,qwen2.5-coder:32b_1099_tpusg_batch,success,285.63,6189,4534,1655,0.0,N/A,2,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775703246
23,87fa_tpu_sketch_generator,87faa752,qwen2.5-coder:32b_1099_tpusg_batch,success,178.15,2844,1778,1066,0.0,N/A,1,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775703603
24,f870_tpu_sketch_generator,f870b567,qwen2.5-coder:32b_1099_tpusg_batch,success,640.43,14101,10293,3808,0.0,N/A,4,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775703844
25,a919_tpu_sketch_generator,a9192870,qwen2.5-coder:32b_1099_tpusg_batch,success,150.06,2670,1778,892,0.0,N/A,1,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775704572
26,9e35_tpu_sketch_generator,9e3533fb,qwen2.5-coder:32b_1099_tpusg_batch,success,283.43,6213,4532,1681,0.0,N/A,2,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775704785
27,3796_tpu_sketch_generator,3796848e,qwen2.5-coder:32b_1099_tpusg_batch,success,155.89,2706,1778,928,0.0,N/A,1,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775705139
28,d076_tpu_sketch_generator,d076177f,qwen2.5-coder:32b_1099_tpusg_batch,success,173.81,2856,1778,1078,0.0,N/A,1,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775705359
29,e678_tpu_sketch_generator,e6789e7f,qwen2.5-coder:32b_1099_tpusg_batch,success,370.45,6984,4779,2205,0.0,N/A,2,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775705596
30,9b3e_tpu_sketch_generator,9b3e959d,qwen2.5-coder:32b_1099_tpusg_batch,success,145.94,2636,1778,858,0.0,N/A,1,0,0,"['agx', 'benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1775706038
