num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,1a63_data_processor,1a630cee,qwen2.5-coder:32b_c393_dp_batch,success,488.4,14612,11867,2745,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775662162
2,cea1_data_processor,cea1dde8,qwen2.5-coder:32b_c393_dp_batch,failure,551.62,18967,15832,3135,0.0,N/A,10,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775662666
3,d3b4_data_processor,d3b4aa73,qwen2.5-coder:32b_c393_dp_batch,success,582.84,16985,13611,3374,0.0,N/A,10,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775663232
4,166e_data_processor,166efc14,qwen2.5-coder:32b_c393_dp_batch,success,609.17,21290,17840,3450,0.0,N/A,12,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775663832
5,af7f_data_processor,af7fc52c,qwen2.5-coder:32b_c393_dp_batch,success,464.31,16170,13533,2637,0.0,N/A,10,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775664458
6,b76c_data_processor,b76c7822,qwen2.5-coder:32b_c393_dp_batch,success,432.76,14078,11593,2485,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775664939
7,8760_data_processor,8760c534,qwen2.5-coder:32b_c393_dp_batch,success,379.2,13712,11562,2150,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775665385
8,e80d_data_processor,e80d60c9,qwen2.5-coder:32b_c393_dp_batch,success,430.91,14170,11701,2469,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775665780
9,4351_data_processor,43517934,qwen2.5-coder:32b_c393_dp_batch,success,369.81,13635,11542,2093,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775666226
10,d999_data_processor,d999ce70,qwen2.5-coder:32b_c393_dp_batch,success,355.25,13360,11354,2006,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775666610
11,85e8_data_processor,85e83421,qwen2.5-coder:32b_c393_dp_batch,success,591.51,19403,16029,3374,0.0,N/A,11,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775666980
12,79b3_data_processor,79b317b9,qwen2.5-coder:32b_c393_dp_batch,success,431.0,15963,13533,2430,0.0,N/A,10,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775667588
13,347f_data_processor,347f40cb,qwen2.5-coder:32b_c393_dp_batch,success,397.4,13674,11403,2271,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775668035
14,19fd_data_processor,19fd644d,qwen2.5-coder:32b_c393_dp_batch,success,601.92,19606,16170,3436,0.0,N/A,11,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775668446
15,ee9f_data_processor,ee9fa7e5,qwen2.5-coder:32b_c393_dp_batch,success,385.26,13670,11478,2192,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775669064
16,f8df_data_processor,f8dfb385,qwen2.5-coder:32b_c393_dp_batch,success,392.66,13871,11640,2231,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775669464
17,6889_data_processor,6889c33b,qwen2.5-coder:32b_c393_dp_batch,success,425.2,14225,11791,2434,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775669871
18,7a64_data_processor,7a644559,qwen2.5-coder:32b_c393_dp_batch,failure,448.59,17126,14611,2515,0.0,N/A,10,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775670311
19,81d4_data_processor,81d4bf15,qwen2.5-coder:32b_c393_dp_batch,failure,637.23,23101,19499,3602,0.0,N/A,13,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775670773
20,9c8b_data_processor,9c8b0736,qwen2.5-coder:32b_c393_dp_batch,success,425.84,13901,11456,2445,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775671429
21,e6d9_data_processor,e6d98b3f,qwen2.5-coder:32b_c393_dp_batch,success,460.21,14273,11618,2655,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775671870
22,36ba_data_processor,36babb0a,qwen2.5-coder:32b_c393_dp_batch,success,572.3,21458,18254,3204,0.0,N/A,12,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775672345
23,9824_data_processor,982449b1,qwen2.5-coder:32b_c393_dp_batch,success,519.82,14589,11556,3033,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775672935
24,a071_data_processor,a071b974,qwen2.5-coder:32b_c393_dp_batch,failure,694.99,22388,18412,3976,0.0,N/A,12,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775673469
25,097c_data_processor,097cfdc4,qwen2.5-coder:32b_c393_dp_batch,success,455.81,18516,15986,2530,0.0,N/A,11,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775674181
26,e438_data_processor,e4380762,qwen2.5-coder:32b_c393_dp_batch,failure,573.69,19663,16401,3262,0.0,N/A,11,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775674653
27,890a_data_processor,890aee1a,qwen2.5-coder:32b_c393_dp_batch,failure,685.98,22487,18549,3938,0.0,N/A,12,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775675243
28,0aba_data_processor,0abac0b9,qwen2.5-coder:32b_c393_dp_batch,success,405.49,13855,11540,2315,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775675945
29,0227_data_processor,0227036c,qwen2.5-coder:32b_c393_dp_batch,success,737.26,24695,20511,4184,0.0,N/A,13,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775676365
30,03df_data_processor,03df3141,qwen2.5-coder:32b_c393_dp_batch,success,413.18,13863,11498,2365,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'qwen2.5-coder:32b']",1775677117
