num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,1cb5_data_processor,1cb5728c,phi4_466a_dp_batch,success,191.91,14883,12379,2504,0.0,N/A,10,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776035569
2,32fa_data_processor,32fafecb,phi4_466a_dp_batch,failure,171.67,13321,11088,2233,0.0,N/A,8,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776035780
3,62da_data_processor,62da8486,phi4_466a_dp_batch,success,208.01,14824,12073,2751,0.0,N/A,10,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776035967
4,a2a2_data_processor,a2a2a619,phi4_466a_dp_batch,success,169.26,12782,10553,2229,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776036189
5,a30e_data_processor,a30e395b,phi4_466a_dp_batch,success,325.67,21156,16837,4319,0.0,N/A,12,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776036372
6,ad9f_data_processor,ad9fcc17,phi4_466a_dp_batch,success,298.62,18723,14741,3982,0.0,N/A,11,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776036714
7,e23f_data_processor,e23f9dca,phi4_466a_dp_batch,failure,406.84,26135,20732,5403,0.0,N/A,14,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776037029
8,6ad4_data_processor,6ad4f807,phi4_466a_dp_batch,failure,285.63,19447,15736,3711,0.0,N/A,10,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776037454
9,53aa_data_processor,53aa5ed7,phi4_466a_dp_batch,success,175.58,12785,10471,2314,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776037758
10,5c0b_data_processor,5c0bac02,phi4_466a_dp_batch,success,202.8,15488,12838,2650,0.0,N/A,10,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776037948
11,12a1_data_processor,12a13305,phi4_466a_dp_batch,success,173.45,15108,12880,2228,0.0,N/A,10,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776038165
12,c053_data_processor,c053a9d6,phi4_466a_dp_batch,failure,475.4,31046,24746,6300,0.0,N/A,16,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776038354
13,b541_data_processor,b541d266,phi4_466a_dp_batch,success,205.0,13231,10489,2742,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776038848
14,c0c9_data_processor,c0c97dce,phi4_466a_dp_batch,failure,204.29,13063,10375,2688,0.0,N/A,7,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776039068
15,aa84_data_processor,aa84c393,phi4_466a_dp_batch,failure,272.06,16804,13192,3612,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776039297
16,f334_data_processor,f334d6c7,phi4_466a_dp_batch,success,159.09,12588,10506,2082,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776039584
17,9c6e_data_processor,9c6e29a7,phi4_466a_dp_batch,success,185.32,13026,10567,2459,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776039757
18,4ab6_data_processor,4ab677ae,phi4_466a_dp_batch,success,157.04,12634,10584,2050,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776039957
19,0126_data_processor,0126dd0a,phi4_466a_dp_batch,success,178.87,12967,10603,2364,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776040129
20,212f_data_processor,212fbfc1,phi4_466a_dp_batch,success,183.31,14837,12455,2382,0.0,N/A,10,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776040321
21,3096_data_processor,30963b33,phi4_466a_dp_batch,success,278.02,20435,16796,3639,0.0,N/A,12,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776040520
22,da61_data_processor,da6183fc,phi4_466a_dp_batch,success,258.27,15940,12481,3459,0.0,N/A,10,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776040815
23,48e5_data_processor,48e5a780,phi4_466a_dp_batch,success,228.02,15237,12201,3036,0.0,N/A,10,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776041088
24,4ad5_data_processor,4ad57f6f,phi4_466a_dp_batch,success,208.55,15560,12824,2736,0.0,N/A,10,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776041331
25,7864_data_processor,78640922,phi4_466a_dp_batch,success,215.35,13370,10475,2895,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776041555
26,d169_data_processor,d169b817,phi4_466a_dp_batch,success,199.91,13222,10557,2665,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776041785
27,2b2b_data_processor,2b2b9f3a,phi4_466a_dp_batch,success,186.54,14446,12011,2435,0.0,N/A,10,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776042001
28,ea44_data_processor,ea44c05f,phi4_466a_dp_batch,failure,229.89,14329,11270,3059,0.0,N/A,8,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776042202
29,d144_data_processor,d144442c,phi4_466a_dp_batch,success,198.17,13090,10446,2644,0.0,N/A,9,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776042446
30,6aef_data_processor,6aefb2fe,phi4_466a_dp_batch,failure,313.55,22014,17876,4138,0.0,N/A,13,0,0,"['agx', 'benchmark', 'data_processor', 'phi4:latest']",1776042658
