num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,4b7d_model_converter,4b7d5650,phi4_466a_mc_batch,success,21.85,717,412,305,0.0,N/A,1,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776033199
2,b4d0_model_converter,b4d0f17e,phi4_466a_mc_batch,success,75.42,4862,3863,999,0.0,N/A,3,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776033273
3,9d92_model_converter,9d92c052,phi4_466a_mc_batch,success,50.69,2352,1659,693,0.0,N/A,2,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776033369
4,fb60_model_converter,fb602a4e,phi4_466a_mc_batch,failure,108.65,8478,7082,1396,0.0,N/A,5,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776033437
5,96bb_model_converter,96bb57c7,phi4_466a_mc_batch,success,23.44,744,412,332,0.0,N/A,1,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776033572
6,68ae_model_converter,68aec418,phi4_466a_mc_batch,success,81.85,5013,3931,1082,0.0,N/A,3,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776033609
7,46d5_model_converter,46d5723c,phi4_466a_mc_batch,failure,148.61,9555,7602,1953,0.0,N/A,5,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776033713
8,752b_model_converter,752b6f7e,phi4_466a_mc_batch,success,25.62,776,412,364,0.0,N/A,1,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776033888
9,5243_model_converter,52432be6,phi4_466a_mc_batch,success,21.44,719,412,307,0.0,N/A,1,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776033928
10,53ae_model_converter,53ae6927,phi4_466a_mc_batch,success,49.07,3523,2892,631,0.0,N/A,2,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776033965
11,56b1_model_converter,56b16432,phi4_466a_mc_batch,success,81.56,6749,5731,1018,0.0,N/A,3,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776034032
12,38a1_model_converter,38a1b7cc,phi4_466a_mc_batch,success,22.35,728,412,316,0.0,N/A,1,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776034134
13,c951_model_converter,c951b521,phi4_466a_mc_batch,success,19.73,694,412,282,0.0,N/A,1,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776034170
14,648a_model_converter,648a3acf,phi4_466a_mc_batch,success,99.29,6559,5246,1313,0.0,N/A,4,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776034205
15,c64c_model_converter,c64cfeac,phi4_466a_mc_batch,failure,117.88,8734,7203,1531,0.0,N/A,5,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776034328
16,2274_model_converter,227481a4,phi4_466a_mc_batch,success,27.37,801,412,389,0.0,N/A,1,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776034473
17,4c39_model_converter,4c39bb03,phi4_466a_mc_batch,success,22.15,730,412,318,0.0,N/A,1,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776034515
18,d20a_model_converter,d20aed31,phi4_466a_mc_batch,success,26.7,796,412,384,0.0,N/A,1,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776034552
19,7591_model_converter,75916169,phi4_466a_mc_batch,success,29.29,833,412,421,0.0,N/A,1,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776034595
20,c376_model_converter,c376df2c,phi4_466a_mc_batch,success,141.5,9345,7474,1871,0.0,N/A,5,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776034638
21,3415_model_converter,341512f3,phi4_466a_mc_batch,success,24.55,760,412,348,0.0,N/A,1,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776034809
22,1c2d_model_converter,1c2d77d3,phi4_466a_mc_batch,success,54.57,3659,2950,709,0.0,N/A,2,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776034847
23,46d1_model_converter,46d13d8f,phi4_466a_mc_batch,success,23.39,743,412,331,0.0,N/A,1,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776034919
24,b104_model_converter,b1047df3,phi4_466a_mc_batch,failure,127.99,9016,7332,1684,0.0,N/A,5,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776034957
25,c114_model_converter,c1145099,phi4_466a_mc_batch,success,20.99,708,412,296,0.0,N/A,1,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776035112
26,de3a_model_converter,de3a3b63,phi4_466a_mc_batch,success,130.14,7522,5775,1747,0.0,N/A,5,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776035148
27,1ea6_model_converter,1ea6c26f,phi4_466a_mc_batch,success,48.79,3501,2878,623,0.0,N/A,2,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776035304
28,4145_model_converter,414536fb,phi4_466a_mc_batch,success,75.0,4873,3891,982,0.0,N/A,3,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776035372
29,cd64_model_converter,cd64117b,phi4_466a_mc_batch,success,23.66,747,412,335,0.0,N/A,1,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776035468
30,e173_model_converter,e173b15f,phi4_466a_mc_batch,success,49.81,2379,1694,685,0.0,N/A,2,0,0,"['agx', 'benchmark', 'model_converter', 'phi4:latest']",1776035506
