num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,42a7_py_sketch_generator,42a7025e,phi4_466a_psg_batch,success,60.24,2210,1488,722,0.0,N/A,1,0,0,"['agx', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1776023741
2,3abb_py_sketch_generator,3abb1d3f,phi4_466a_psg_batch,success,52.58,2235,1488,747,0.0,N/A,1,0,0,"['agx', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1776024058
3,f422_py_sketch_generator,f4228f54,phi4_466a_psg_batch,success,63.64,2393,1488,905,0.0,N/A,1,0,0,"['agx', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1776024366
4,3995_py_sketch_generator,3995d8cd,phi4_466a_psg_batch,success,136.32,5909,4048,1861,0.0,N/A,2,0,0,"['agx', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1776024685
5,2770_py_sketch_generator,2770abdf,phi4_466a_psg_batch,success,122.75,5546,3903,1643,0.0,N/A,2,0,0,"['agx', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1776024878
6,624f_py_sketch_generator,624fc1e1,phi4_466a_psg_batch,failure,313.89,16043,11808,4235,0.0,N/A,5,0,0,"['agx', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1776025263
7,8891_py_sketch_generator,8891fde9,phi4_466a_psg_batch,success,57.36,2271,1488,783,0.0,N/A,1,0,0,"['agx', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1776025589
8,d803_py_sketch_generator,d80301de,phi4_466a_psg_batch,success,57.19,2302,1488,814,0.0,N/A,1,0,0,"['agx', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1776025904
9,a70a_py_sketch_generator,a70aeb0c,phi4_466a_psg_batch,success,50.38,2204,1488,716,0.0,N/A,1,0,0,"['agx', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1776026218
10,a9b3_py_sketch_generator,a9b3d101,phi4_466a_psg_batch,success,59.34,2331,1488,843,0.0,N/A,1,0,0,"['agx', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1776026321
11,4df0_py_sketch_generator,4df0dcc3,phi4_466a_psg_batch,success,52.13,2230,1488,742,0.0,N/A,1,0,0,"['agx', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1776026433
12,151a_py_sketch_generator,151a6fd8,phi4_466a_psg_batch,success,55.31,2274,1488,786,0.0,N/A,1,0,0,"['agx', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1776026744
13,7e14_py_sketch_generator,7e14673e,phi4_466a_psg_batch,success,49.08,2186,1488,698,0.0,N/A,1,0,0,"['agx', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1776027056
14,c94d_py_sketch_generator,c94dc44e,phi4_466a_psg_batch,success,52.91,2241,1488,753,0.0,N/A,1,0,0,"['agx', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1776027364
15,faee_py_sketch_generator,faee8306,phi4_466a_psg_batch,success,54.05,2257,1488,769,0.0,N/A,1,0,0,"['agx', 'benchmark', 'phi4:latest', 'py_sketch_generator']",1776027675
