num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,b099_sketch_generator,b0993c7a,phi4_466a_sg_batch,failure,414.32,22137,16798,5339,0.0,N/A,6,0,0,"['agx', 'benchmark', 'phi4:latest', 'sketch_generator']",1776042983
2,eadb_sketch_generator,eadbcb26,phi4_466a_sg_batch,failure,450.82,21930,16070,5860,0.0,N/A,6,0,0,"['agx', 'benchmark', 'phi4:latest', 'sketch_generator']",1776043464
3,419a_sketch_generator,419ad486,phi4_466a_sg_batch,failure,417.38,23264,17937,5327,0.0,N/A,6,0,0,"['agx', 'benchmark', 'phi4:latest', 'sketch_generator']",1776043981
4,8c0f_sketch_generator,8c0fec17,phi4_466a_sg_batch,failure,351.56,21299,16856,4443,0.0,N/A,6,0,0,"['agx', 'benchmark', 'phi4:latest', 'sketch_generator']",1776044507
5,e389_sketch_generator,e38914c7,phi4_466a_sg_batch,failure,421.21,22396,16984,5412,0.0,N/A,6,0,0,"['agx', 'benchmark', 'phi4:latest', 'sketch_generator']",1776044976
6,8dcf_sketch_generator,8dcfe1f8,phi4_466a_sg_batch,failure,454.85,24163,18346,5817,0.0,N/A,6,0,0,"['agx', 'benchmark', 'phi4:latest', 'sketch_generator']",1776045484
7,e6c8_sketch_generator,e6c82749,phi4_466a_sg_batch,failure,376.77,21275,16450,4825,0.0,N/A,6,0,0,"['agx', 'benchmark', 'phi4:latest', 'sketch_generator']",1776046046
8,5ca1_sketch_generator,5ca18d06,phi4_466a_sg_batch,failure,464.96,25034,19109,5925,0.0,N/A,6,0,0,"['agx', 'benchmark', 'phi4:latest', 'sketch_generator']",1776046513
9,e034_sketch_generator,e03470c8,phi4_466a_sg_batch,failure,457.25,24452,18615,5837,0.0,N/A,6,0,0,"['agx', 'benchmark', 'phi4:latest', 'sketch_generator']",1776047120
10,39ad_sketch_generator,39ada52e,phi4_466a_sg_batch,failure,404.94,23885,18781,5104,0.0,N/A,6,0,0,"['agx', 'benchmark', 'phi4:latest', 'sketch_generator']",1776047698
11,8462_sketch_generator,84621685,phi4_466a_sg_batch,failure,417.02,23259,17943,5316,0.0,N/A,6,0,0,"['agx', 'benchmark', 'phi4:latest', 'sketch_generator']",1776048268
12,eb98_sketch_generator,eb98a683,phi4_466a_sg_batch,failure,416.0,23418,18130,5288,0.0,N/A,6,0,0,"['agx', 'benchmark', 'phi4:latest', 'sketch_generator']",1776048793
13,ab6f_sketch_generator,ab6fcc2f,phi4_466a_sg_batch,failure,430.26,23450,17954,5496,0.0,N/A,6,0,0,"['agx', 'benchmark', 'phi4:latest', 'sketch_generator']",1776049295
14,9c8a_sketch_generator,9c8addca,phi4_466a_sg_batch,failure,498.58,24577,18140,6437,0.0,N/A,6,0,0,"['agx', 'benchmark', 'phi4:latest', 'sketch_generator']",1776049840
