num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,54a7_tpu_sketch_generator,54a715a6,phi4_4792_tpusg_batch,success,73.98,2658,1751,907,0.0,N/A,1,0,0,"['agx', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1775820949
2,f572_tpu_sketch_generator,f57233b2,phi4_4792_tpusg_batch,success,129.68,6287,4535,1752,0.0,N/A,2,0,0,"['agx', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1775821086
3,9447_tpu_sketch_generator,944774b8,phi4_4792_tpusg_batch,success,65.66,2644,1751,893,0.0,N/A,1,0,0,"['agx', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1775821286
4,c08b_tpu_sketch_generator,c08b145f,phi4_4792_tpusg_batch,success,65.64,2681,1751,930,0.0,N/A,1,0,0,"['agx', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1775821416
5,3f8e_tpu_sketch_generator,3f8ec54f,phi4_4792_tpusg_batch,success,137.35,6425,4565,1860,0.0,N/A,2,0,0,"['agx', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1775821545
6,0868_tpu_sketch_generator,08682d83,phi4_4792_tpusg_batch,success,65.02,2633,1751,882,0.0,N/A,1,0,0,"['agx', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1775821755
7,b634_tpu_sketch_generator,b634d4ad,phi4_4792_tpusg_batch,success,120.47,6131,4506,1625,0.0,N/A,2,0,0,"['agx', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1775821883
8,49ce_tpu_sketch_generator,49ce01c4,phi4_4792_tpusg_batch,success,67.36,2667,1751,916,0.0,N/A,1,0,0,"['agx', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1775822074
9,2863_tpu_sketch_generator,2863e961,phi4_4792_tpusg_batch,success,58.42,2577,1751,826,0.0,N/A,1,0,0,"['agx', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1775822206
10,890d_tpu_sketch_generator,890da28d,phi4_4792_tpusg_batch,success,61.1,2616,1751,865,0.0,N/A,1,0,0,"['agx', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1775822328
11,ea88_tpu_sketch_generator,ea88a418,phi4_4792_tpusg_batch,success,56.2,2546,1751,795,0.0,N/A,1,0,0,"['agx', 'benchmark', 'phi4:latest', 'tpu_sketch_generator']",1775822452
