num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,0108_model_converter,0108c223,qwen2.5-coder:32b_00e9_mc_batch,success,125.87,3875,3250,625,0.0,N/A,2,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775646938
2,d78a_model_converter,d78a6baf,qwen2.5-coder:32b_00e9_mc_batch,success,52.81,761,432,329,0.0,N/A,1,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775647113
3,3e25_model_converter,3e251f42,qwen2.5-coder:32b_00e9_mc_batch,success,111.33,3850,3231,619,0.0,N/A,2,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775647180
4,ef7f_model_converter,ef7f0fa5,qwen2.5-coder:32b_00e9_mc_batch,success,136.41,4077,3307,770,0.0,N/A,2,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775647309
5,506a_model_converter,506ae956,qwen2.5-coder:32b_00e9_mc_batch,success,115.64,3932,3291,641,0.0,N/A,2,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775647463
6,26d7_model_converter,26d742f6,qwen2.5-coder:32b_00e9_mc_batch,success,132.66,4091,3346,745,0.0,N/A,2,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775647598
7,e175_model_converter,e175ef1f,qwen2.5-coder:32b_00e9_mc_batch,success,132.13,4017,3251,766,0.0,N/A,3,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775647749
8,39d1_model_converter,39d1c800,qwen2.5-coder:32b_00e9_mc_batch,success,127.99,4037,3322,715,0.0,N/A,2,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775647902
9,83c5_model_converter,83c5ecec,qwen2.5-coder:32b_00e9_mc_batch,success,48.02,730,432,298,0.0,N/A,1,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775648052
10,cb60_model_converter,cb60d9ed,qwen2.5-coder:32b_00e9_mc_batch,success,107.58,3853,3258,595,0.0,N/A,2,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775648115
11,4dc2_model_converter,4dc2538c,qwen2.5-coder:32b_00e9_mc_batch,success,48.11,731,432,299,0.0,N/A,1,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775648240
12,4358_model_converter,43582d4b,qwen2.5-coder:32b_00e9_mc_batch,success,118.66,3949,3286,663,0.0,N/A,2,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775648304
13,ddad_model_converter,ddad7ad4,qwen2.5-coder:32b_00e9_mc_batch,success,127.33,3893,3176,717,0.0,N/A,2,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775648440
14,df09_model_converter,df09921b,qwen2.5-coder:32b_00e9_mc_batch,success,183.29,5636,4598,1038,0.0,N/A,3,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775648585
15,1202_model_converter,12021151,qwen2.5-coder:32b_00e9_mc_batch,success,105.42,3797,3219,578,0.0,N/A,2,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775648790
16,7d70_model_converter,7d700517,qwen2.5-coder:32b_00e9_mc_batch,success,49.07,737,432,305,0.0,N/A,1,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775648913
17,689a_model_converter,689a362f,qwen2.5-coder:32b_00e9_mc_batch,success,102.56,3793,3229,564,0.0,N/A,2,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775648977
18,c775_model_converter,c77508d2,qwen2.5-coder:32b_00e9_mc_batch,success,103.51,3776,3210,566,0.0,N/A,2,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775649098
19,632e_model_converter,632e3359,qwen2.5-coder:32b_00e9_mc_batch,success,48.3,732,432,300,0.0,N/A,1,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775649218
20,8340_model_converter,8340dd1a,qwen2.5-coder:32b_00e9_mc_batch,success,126.06,4010,3301,709,0.0,N/A,2,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775649281
21,5f54_model_converter,5f54ed46,qwen2.5-coder:32b_00e9_mc_batch,success,53.98,768,432,336,0.0,N/A,1,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775649425
22,d588_model_converter,d5885fa7,qwen2.5-coder:32b_00e9_mc_batch,success,122.05,4126,3448,678,0.0,N/A,2,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775649495
23,7b6b_model_converter,7b6bb115,qwen2.5-coder:32b_00e9_mc_batch,success,49.73,741,432,309,0.0,N/A,1,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775649634
24,094a_model_converter,094a8767,qwen2.5-coder:32b_00e9_mc_batch,success,109.17,3855,3250,605,0.0,N/A,2,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775649698
25,22b5_model_converter,22b56f86,qwen2.5-coder:32b_00e9_mc_batch,success,51.11,750,432,318,0.0,N/A,1,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775649825
26,aa7d_model_converter,aa7d11b4,qwen2.5-coder:32b_00e9_mc_batch,success,107.56,3861,3266,595,0.0,N/A,2,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775649891
27,1685_model_converter,1685fb09,qwen2.5-coder:32b_00e9_mc_batch,success,49.07,737,432,305,0.0,N/A,1,0,0,"['agx', 'benchmark', 'model_converter', 'qwen2.5-coder:32b']",1775650016
