name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model,generation_count
4b7d_model_converter,4b7d5650,phi4_466a_mc_batch,success,21.85,717,412,305,0.0,0,0,F,mc,phi4,1
b4d0_model_converter,b4d0f17e,phi4_466a_mc_batch,success,75.42,4862,3863,999,0.0,0,0,F,mc,phi4,3
9d92_model_converter,9d92c052,phi4_466a_mc_batch,success,50.69,2352,1659,693,0.0,0,0,F,mc,phi4,2
fb60_model_converter,fb602a4e,phi4_466a_mc_batch,failure,108.65,8478,7082,1396,0.0,0,0,F,mc,phi4,5
96bb_model_converter,96bb57c7,phi4_466a_mc_batch,success,23.44,744,412,332,0.0,0,0,F,mc,phi4,1
68ae_model_converter,68aec418,phi4_466a_mc_batch,success,81.85,5013,3931,1082,0.0,0,0,F,mc,phi4,3
46d5_model_converter,46d5723c,phi4_466a_mc_batch,failure,148.61,9555,7602,1953,0.0,0,0,F,mc,phi4,5
752b_model_converter,752b6f7e,phi4_466a_mc_batch,success,25.62,776,412,364,0.0,0,0,F,mc,phi4,1
5243_model_converter,52432be6,phi4_466a_mc_batch,success,21.44,719,412,307,0.0,0,0,F,mc,phi4,1
53ae_model_converter,53ae6927,phi4_466a_mc_batch,success,49.07,3523,2892,631,0.0,0,0,F,mc,phi4,2
56b1_model_converter,56b16432,phi4_466a_mc_batch,success,81.56,6749,5731,1018,0.0,0,0,F,mc,phi4,3
38a1_model_converter,38a1b7cc,phi4_466a_mc_batch,success,22.35,728,412,316,0.0,0,0,F,mc,phi4,1
c951_model_converter,c951b521,phi4_466a_mc_batch,success,19.73,694,412,282,0.0,0,0,F,mc,phi4,1
648a_model_converter,648a3acf,phi4_466a_mc_batch,success,99.29,6559,5246,1313,0.0,0,0,F,mc,phi4,4
c64c_model_converter,c64cfeac,phi4_466a_mc_batch,failure,117.88,8734,7203,1531,0.0,0,0,F,mc,phi4,5
2274_model_converter,227481a4,phi4_466a_mc_batch,success,27.37,801,412,389,0.0,0,0,F,mc,phi4,1
4c39_model_converter,4c39bb03,phi4_466a_mc_batch,success,22.15,730,412,318,0.0,0,0,F,mc,phi4,1
d20a_model_converter,d20aed31,phi4_466a_mc_batch,success,26.7,796,412,384,0.0,0,0,F,mc,phi4,1
7591_model_converter,75916169,phi4_466a_mc_batch,success,29.29,833,412,421,0.0,0,0,F,mc,phi4,1
c376_model_converter,c376df2c,phi4_466a_mc_batch,success,141.5,9345,7474,1871,0.0,0,0,F,mc,phi4,5
3415_model_converter,341512f3,phi4_466a_mc_batch,success,24.55,760,412,348,0.0,0,0,F,mc,phi4,1
1c2d_model_converter,1c2d77d3,phi4_466a_mc_batch,success,54.57,3659,2950,709,0.0,0,0,F,mc,phi4,2
46d1_model_converter,46d13d8f,phi4_466a_mc_batch,success,23.39,743,412,331,0.0,0,0,F,mc,phi4,1
b104_model_converter,b1047df3,phi4_466a_mc_batch,failure,127.99,9016,7332,1684,0.0,0,0,F,mc,phi4,5
c114_model_converter,c1145099,phi4_466a_mc_batch,success,20.99,708,412,296,0.0,0,0,F,mc,phi4,1
de3a_model_converter,de3a3b63,phi4_466a_mc_batch,success,130.14,7522,5775,1747,0.0,0,0,F,mc,phi4,5
1ea6_model_converter,1ea6c26f,phi4_466a_mc_batch,success,48.79,3501,2878,623,0.0,0,0,F,mc,phi4,2
4145_model_converter,414536fb,phi4_466a_mc_batch,success,75.0,4873,3891,982,0.0,0,0,F,mc,phi4,3
cd64_model_converter,cd64117b,phi4_466a_mc_batch,success,23.66,747,412,335,0.0,0,0,F,mc,phi4,1
e173_model_converter,e173b15f,phi4_466a_mc_batch,success,49.81,2379,1694,685,0.0,0,0,F,mc,phi4,2
42a7_py_sketch_generator,42a7025e,phi4_466a_psg_batch,success,60.24,2210,1488,722,0.0,0,0,F,psg,phi4,1
3abb_py_sketch_generator,3abb1d3f,phi4_466a_psg_batch,success,52.58,2235,1488,747,0.0,0,0,F,psg,phi4,1
f422_py_sketch_generator,f4228f54,phi4_466a_psg_batch,success,63.64,2393,1488,905,0.0,0,0,F,psg,phi4,1
3995_py_sketch_generator,3995d8cd,phi4_466a_psg_batch,success,136.32,5909,4048,1861,0.0,0,0,F,psg,phi4,2
2770_py_sketch_generator,2770abdf,phi4_466a_psg_batch,success,122.75,5546,3903,1643,0.0,0,0,F,psg,phi4,2
624f_py_sketch_generator,624fc1e1,phi4_466a_psg_batch,failure,313.89,16043,11808,4235,0.0,0,0,F,psg,phi4,5
8891_py_sketch_generator,8891fde9,phi4_466a_psg_batch,success,57.36,2271,1488,783,0.0,0,0,F,psg,phi4,1
d803_py_sketch_generator,d80301de,phi4_466a_psg_batch,success,57.19,2302,1488,814,0.0,0,0,F,psg,phi4,1
a70a_py_sketch_generator,a70aeb0c,phi4_466a_psg_batch,success,50.38,2204,1488,716,0.0,0,0,F,psg,phi4,1
a9b3_py_sketch_generator,a9b3d101,phi4_466a_psg_batch,success,59.34,2331,1488,843,0.0,0,0,F,psg,phi4,1
4df0_py_sketch_generator,4df0dcc3,phi4_466a_psg_batch,success,52.13,2230,1488,742,0.0,0,0,F,psg,phi4,1
151a_py_sketch_generator,151a6fd8,phi4_466a_psg_batch,success,55.31,2274,1488,786,0.0,0,0,F,psg,phi4,1
7e14_py_sketch_generator,7e14673e,phi4_466a_psg_batch,success,49.08,2186,1488,698,0.0,0,0,F,psg,phi4,1
c94d_py_sketch_generator,c94dc44e,phi4_466a_psg_batch,success,52.91,2241,1488,753,0.0,0,0,F,psg,phi4,1
faee_py_sketch_generator,faee8306,phi4_466a_psg_batch,success,54.05,2257,1488,769,0.0,0,0,F,psg,phi4,1
acfe_py_sketch_generator,acfe6746,phi4_466a_psg_batch,success,186.25,8956,6412,2544,0.0,0,0,F,psg,phi4,3
f86d_py_sketch_generator,f86d0b7d,phi4_466a_psg_batch,success,55.21,2241,1488,753,0.0,0,0,F,psg,phi4,1
d6f5_py_sketch_generator,d6f52e91,phi4_466a_psg_batch,success,145.39,6156,4170,1986,0.0,0,0,F,psg,phi4,2
1ca9_py_sketch_generator,1ca91e4e,phi4_466a_psg_batch,success,143.29,6111,4189,1922,0.0,0,0,F,psg,phi4,2
ffaf_py_sketch_generator,ffaf7a8f,phi4_466a_psg_batch,failure,325.37,16356,11968,4388,0.0,0,0,F,psg,phi4,5
2d1c_py_sketch_generator,2d1ce818,phi4_466a_psg_batch,success,148.49,6200,4209,1991,0.0,0,0,F,psg,phi4,2
1094_py_sketch_generator,10942a9e,phi4_466a_psg_batch,success,69.98,2451,1488,963,0.0,0,0,F,psg,phi4,1
9bab_py_sketch_generator,9bab2f5b,phi4_466a_psg_batch,success,63.93,2396,1488,908,0.0,0,0,F,psg,phi4,1
07c0_py_sketch_generator,07c04f01,phi4_466a_psg_batch,success,315.89,15646,11332,4314,0.0,0,0,F,psg,phi4,5
8f8f_py_sketch_generator,8f8f9957,phi4_466a_psg_batch,failure,320.66,15965,11629,4336,0.0,0,0,F,psg,phi4,5
2718_py_sketch_generator,2718d411,phi4_466a_psg_batch,success,46.9,2121,1488,633,0.0,0,0,F,psg,phi4,1
850c_py_sketch_generator,850c3b8a,phi4_466a_psg_batch,success,59.86,2340,1488,852,0.0,0,0,F,psg,phi4,1
7836_py_sketch_generator,7836985f,phi4_466a_psg_batch,success,57.2,2301,1488,813,0.0,0,0,F,psg,phi4,1
0902_py_sketch_generator,0902146c,phi4_466a_psg_batch,success,56.54,2294,1488,806,0.0,0,0,F,psg,phi4,1
9f59_py_sketch_generator,9f5914ba,phi4_466a_psg_batch,success,53.59,2250,1488,762,0.0,0,0,F,psg,phi4,1
b099_sketch_generator,b0993c7a,phi4_466a_sg_batch,failure,414.32,22137,16798,5339,0.0,0,0,F,sg,phi4,6
eadb_sketch_generator,eadbcb26,phi4_466a_sg_batch,failure,450.82,21930,16070,5860,0.0,0,0,F,sg,phi4,6
419a_sketch_generator,419ad486,phi4_466a_sg_batch,failure,417.38,23264,17937,5327,0.0,0,0,F,sg,phi4,6
8c0f_sketch_generator,8c0fec17,phi4_466a_sg_batch,failure,351.56,21299,16856,4443,0.0,0,0,F,sg,phi4,6
e389_sketch_generator,e38914c7,phi4_466a_sg_batch,failure,421.21,22396,16984,5412,0.0,0,0,F,sg,phi4,6
8dcf_sketch_generator,8dcfe1f8,phi4_466a_sg_batch,failure,454.85,24163,18346,5817,0.0,0,0,F,sg,phi4,6
