model,model_label,processor,processor_label,success_count,failure_count,total,success_rate,exp_success_rate
phi4,Phi4,dp,DP,22,8,30,0.7333333333333333,0.009934961586917871
phi4,Phi4,mc,MC,26,4,30,0.8666666666666667,0.6332657263290197
phi4,Phi4,sg,SG,0,30,30,0.0,0.0
phi4,Phi4,psg,PSG,27,3,30,0.9,0.7845289340990408
phi4,Phi4,tpusg,TPUSG,29,1,30,0.9666666666666667,0.835510219904211
qw32,Qw32B,dp,DP,24,6,30,0.8,0.011297590299886352
qw32,Qw32B,mc,MC,30,0,30,1.0,0.7138219846209697
qw32,Qw32B,sg,SG,0,30,30,0.0,0.0
qw32,Qw32B,psg,PSG,30,0,30,1.0,0.8871198019719958
qw32,Qw32B,tpusg,TPUSG,24,6,30,0.8,0.6139221659968338
