name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model
1d97_sg,1d973d52,codestral_b4ca_sg,failure,137.52,20415,16059,4356,0.0,0.0,0.0,F,sg,codestral
153a_sg,153a2e07,codestral_b4ca_sg,failure,81.61,17980,14011,3969,0.0,0.0,0.0,F,sg,codestral
5e61_sg,5e61d468,codestral_b4ca_sg,failure,130.25,24603,18107,6496,0.0,0.0,0.0,F,sg,codestral
e495_sg,e4956b2d,codestral_b4ca_sg,failure,111.41,19615,14010,5605,0.0,0.0,0.0,F,sg,codestral
cf1e_sg,cf1e3f92,codestral_b4ca_sg,failure,110.61,19295,13869,5426,0.0,0.0,0.0,F,sg,codestral
ae57_sg,ae577ce9,codestral_b4ca_sg,failure,141.5,25207,18108,7099,0.0,0.0,0.0,F,sg,codestral
eabb_sg,eabb8b62,codestral_b4ca_sg,failure,101.5,19033,13975,5058,0.0,0.0,0.0,F,sg,codestral
0651_sg,065138c2,codestral_b4ca_sg,failure,129.99,20636,14012,6624,0.0,0.0,0.0,F,sg,codestral
ef39_sg,ef3962d9,codestral_b4ca_sg,failure,131.25,20690,14012,6678,0.0,0.0,0.0,F,sg,codestral
3ee0_sg,3ee0ec3e,codestral_b4ca_sg,failure,111.04,19575,13996,5579,0.0,0.0,0.0,F,sg,codestral
2bba_sg,2bba679d,codestral_b4ca_sg,failure,146.61,27466,20156,7310,0.0,0.0,0.0,F,sg,codestral
6658_sg,6658710a,codestral_b4ca_sg,failure,113.64,19674,13960,5714,0.0,0.0,0.0,F,sg,codestral
9c36_sg,9c36a77f,codestral_b4ca_sg,failure,110.41,19561,14012,5549,0.0,0.0,0.0,F,sg,codestral
9ed8_sg,9ed82e25,codestral_b4ca_sg,failure,84.4,15988,11812,4176,0.0,0.0,0.0,F,sg,codestral
4fdc_sg,4fdcdeef,codestral_b4ca_sg,failure,105.02,19140,13888,5252,0.0,0.0,0.0,F,sg,codestral
23d7_sg,23d7176a,codestral_b4ca_sg,failure,114.75,19796,14012,5784,0.0,0.0,0.0,F,sg,codestral
5ee5_sg,5ee5973d,codestral_b4ca_sg,failure,117.9,19938,13993,5945,0.0,0.0,0.0,F,sg,codestral
36c9_sg,36c93b71,codestral_b4ca_sg,failure,138.78,25028,18067,6961,0.0,0.0,0.0,F,sg,codestral
dcb4_sg,dcb4f9d1,codestral_b4ca_sg,failure,121.14,20138,14012,6126,0.0,0.0,0.0,F,sg,codestral
4f07_sg,4f07f0c5,codestral_b4ca_sg,failure,104.21,19195,13990,5205,0.0,0.0,0.0,F,sg,codestral
71cb_sg,71cbe7f4,codestral_b4ca_sg,failure,129.77,22602,16060,6542,0.0,0.0,0.0,F,sg,codestral
642b_sg,642b65cc,codestral_b4ca_sg,failure,108.92,19472,14008,5464,0.0,0.0,0.0,F,sg,codestral
0507_sg,05074a11,codestral_b4ca_sg,failure,112.32,19655,14012,5643,0.0,0.0,0.0,F,sg,codestral
bb8b_sg,bb8b6bb7,codestral_b4ca_sg,failure,97.21,18832,14009,4823,0.0,0.0,0.0,F,sg,codestral
789c_sg,789c0a27,codestral_b4ca_sg,failure,102.49,19124,14012,5112,0.0,0.0,0.0,F,sg,codestral
0fe4_sg,0fe4256b,codestral_b4ca_sg,failure,132.54,20770,14012,6758,0.0,0.0,0.0,F,sg,codestral
b69d_sg,b69d1335,codestral_b4ca_sg,failure,99.47,18940,13988,4952,0.0,0.0,0.0,F,sg,codestral
b90c_sg,b90cc92e,codestral_b4ca_sg,failure,127.02,20464,14012,6452,0.0,0.0,0.0,F,sg,codestral
3c21_sg,3c21a8a0,codestral_b4ca_sg,failure,142.06,23272,16060,7212,0.0,0.0,0.0,F,sg,codestral
62d2_sg,62d2135c,codestral_b4ca_sg,failure,115.38,19828,14004,5824,0.0,0.0,0.0,F,sg,codestral
b208_mc,b20881e7,codestral_b4ca_mc,success,11.33,3086,2532,554,0.0,0.0,0.0,F,mc,codestral
416b_mc,416b3495,codestral_b4ca_mc,success,29.49,6372,4864,1508,0.0,0.0,0.0,F,mc,codestral
d078_mc,d07855cc,codestral_b4ca_mc,success,22.78,4662,3472,1190,0.0,0.0,0.0,F,mc,codestral
468d_mc,468d1436,codestral_b4ca_mc,failure,44.9,8474,6105,2369,0.0,0.0,0.0,F,mc,codestral
35e6_mc,35e667f3,codestral_b4ca_mc,success,32.73,7655,6047,1608,0.0,0.0,0.0,F,mc,codestral
6539_mc,65395cac,codestral_b4ca_mc,success,8.14,939,484,455,0.0,0.0,0.0,F,mc,codestral
29e6_mc,29e66861,codestral_b4ca_mc,failure,44.42,9520,7272,2248,0.0,0.0,0.0,F,mc,codestral
3de9_mc,3de95194,codestral_b4ca_mc,success,40.01,9385,7380,2005,0.0,0.0,0.0,F,mc,codestral
be9e_mc,be9ee5e6,codestral_b4ca_mc,success,18.0,3465,2532,933,0.0,0.0,0.0,F,mc,codestral
0b60_mc,0b60284f,codestral_b4ca_mc,success,24.88,4733,3434,1299,0.0,0.0,0.0,F,mc,codestral
27b8_mc,27b8649e,codestral_b4ca_mc,success,40.24,8559,6500,2059,0.0,0.0,0.0,F,mc,codestral
20c9_mc,20c91143,codestral_b4ca_mc,failure,33.06,8014,6334,1680,0.0,0.0,0.0,F,mc,codestral
c7e2_mc,c7e292a1,codestral_b4ca_mc,failure,29.85,7721,6235,1486,0.0,0.0,0.0,F,mc,codestral
a4b1_mc,a4b18ea5,codestral_b4ca_mc,failure,42.39,9259,7104,2155,0.0,0.0,0.0,F,mc,codestral
7f1b_mc,7f1b983c,codestral_b4ca_mc,success,24.84,4592,3277,1315,0.0,0.0,0.0,F,mc,codestral
af33_mc,af33eb4c,codestral_b4ca_mc,success,12.99,3185,2532,653,0.0,0.0,0.0,F,mc,codestral
6a40_mc,6a40d2a4,codestral_b4ca_mc,success,12.8,2143,1445,698,0.0,0.0,0.0,F,mc,codestral
92bd_mc,92bd8c76,codestral_b4ca_mc,failure,31.22,7971,6385,1586,0.0,0.0,0.0,F,mc,codestral
3a51_mc,3a51fda2,codestral_b4ca_mc,failure,36.89,8985,7153,1832,0.0,0.0,0.0,F,mc,codestral
731b_mc,731b0a21,codestral_b4ca_mc,failure,31.55,7986,6406,1580,0.0,0.0,0.0,F,mc,codestral
ef57_mc,ef576d6a,codestral_b4ca_mc,failure,35.23,7744,5889,1855,0.0,0.0,0.0,F,mc,codestral
4ae7_mc,4ae78960,codestral_b4ca_mc,failure,32.68,8574,6962,1612,0.0,0.0,0.0,F,mc,codestral
26d7_mc,26d714bf,codestral_b4ca_mc,failure,36.12,8150,6312,1838,0.0,0.0,0.0,F,mc,codestral
afef_mc,afef976a,codestral_b4ca_mc,failure,36.4,8362,6510,1852,0.0,0.0,0.0,F,mc,codestral
0c5e_mc,0c5efbd0,codestral_b4ca_mc,failure,35.34,8019,6218,1801,0.0,0.0,0.0,F,mc,codestral
bcf4_mc,bcf4eaef,codestral_b4ca_mc,failure,34.87,7432,5602,1830,0.0,0.0,0.0,F,mc,codestral
9f36_mc,9f364ed8,codestral_b4ca_mc,success,34.61,6919,5126,1793,0.0,0.0,0.0,F,mc,codestral
e5a9_mc,e5a90e66,codestral_b4ca_mc,success,41.34,9818,7782,2036,0.0,0.0,0.0,F,mc,codestral
0184_mc,01841132,codestral_b4ca_mc,success,19.26,4228,3232,996,0.0,0.0,0.0,F,mc,codestral
9dc5_mc,9dc56bab,codestral_b4ca_mc,success,16.13,2416,1513,903,0.0,0.0,0.0,F,mc,codestral
fba2_dp,fba2d7d6,codestral_b4ca_dp,success,123.76,34219,28198,6021,0.0,0.0,0.0,F,dp,codestral
fd98_dp,fd989a6b,codestral_b4ca_dp,success,56.62,14395,11498,2897,0.0,0.0,0.0,F,dp,codestral
663f_dp,663fa7c4,codestral_b4ca_dp,failure,98.28,26272,21448,4824,0.0,0.0,0.0,F,dp,codestral
e5f6_dp,e5f69ca4,codestral_b4ca_dp,failure,124.71,26883,20557,6326,0.0,0.0,0.0,F,dp,codestral
af40_dp,af40f791,codestral_b4ca_dp,success,91.94,20128,15413,4715,0.0,0.0,0.0,F,dp,codestral
3d7d_dp,3d7d292a,codestral_b4ca_dp,success,118.42,27079,21128,5951,0.0,0.0,0.0,F,dp,codestral
4e84_dp,4e84d5fb,codestral_b4ca_dp,failure,74.16,18827,15171,3656,0.0,0.0,0.0,F,dp,codestral
e0ac_dp,e0acfa1a,codestral_b4ca_dp,success,93.93,19921,15092,4829,0.0,0.0,0.0,F,dp,codestral
