model,model_label,processor,processor_label,success_count,failure_count,total,success_rate
gpt-4o,G4o,dp,DP,34,6,40,0.85
gpt-4o,G4o,mc,MC,39,1,40,0.975
gpt-4o,G4o,sg,ArdSG,11,29,40,0.275
gpt-4o-mini,G4o-m,dp,DP,18,2,20,0.9
gpt-4o-mini,G4o-m,mc,MC,15,5,20,0.75
gpt-4o-mini,G4o-m,sg,ArdSG,2,18,20,0.1
phi4,Phi4,dp,DP,15,15,30,0.5
phi4,Phi4,mc,MC,29,1,30,0.9666666666666667
phi4,Phi4,sg,ArdSG,1,29,30,0.03333333333333333
qwen32,Qw32B,dp,DP,22,8,30,0.7333333333333333
qwen32,Qw32B,mc,MC,25,5,30,0.8333333333333334
qwen32,Qw32B,sg,ArdSG,0,30,30,0.0
qwen14,Qw14B,dp,DP,9,21,30,0.3
qwen14,Qw14B,mc,MC,17,13,30,0.5666666666666667
qwen14,Qw14B,sg,ArdSG,0,30,30,0.0
codestral,Co22B,dp,DP,11,19,30,0.36666666666666664
codestral,Co22B,mc,MC,16,14,30,0.5333333333333333
codestral,Co22B,sg,ArdSG,0,30,30,0.0
codestral-p,Co22B-p,dp,DP,18,12,30,0.6
codestral-p,Co22B-p,mc,MC,24,6,30,0.8
codestral-p,Co22B-p,sg,ArdSG,1,29,30,0.03333333333333333
