name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model
c3f0_pysg,c3f0ca35,codestral_9eb0_psg,failure,83.67,14354,10052,4302,0.0,0,0,F,psg,codestral
2e1b_pysg,2e1b6dc7,codestral_9eb0_psg,success,18.22,2804,1860,944,0.0,0,0,F,psg,codestral
04f1_pysg,04f13a31,codestral_9eb0_psg,failure,45.19,12203,10052,2151,0.0,0,0,F,psg,codestral
ef2f_pysg,ef2f63ba,codestral_9eb0_psg,success,51.4,8602,5956,2646,0.0,0,0,F,psg,codestral
5052_pysg,50529bc5,codestral_9eb0_psg,failure,63.69,13238,10052,3186,0.0,0,0,F,psg,codestral
459c_pysg,459ca5b9,codestral_9eb0_psg,failure,53.66,12676,10052,2624,0.0,0,0,F,psg,codestral
1c24_pysg,1c24afd9,codestral_9eb0_psg,failure,73.07,13761,10052,3709,0.0,0,0,F,psg,codestral
21e6_pysg,21e6eeda,codestral_9eb0_psg,failure,53.08,12644,10052,2592,0.0,0,0,F,psg,codestral
e56d_pysg,e56d5692,codestral_9eb0_psg,failure,75.53,13896,10052,3844,0.0,0,0,F,psg,codestral
e079_pysg,e07955a4,codestral_9eb0_psg,failure,83.0,14317,10052,4265,0.0,0,0,F,psg,codestral
9efc_pysg,9efc3663,codestral_9eb0_psg,failure,69.65,13572,10052,3520,0.0,0,0,F,psg,codestral
ad50_pysg,ad50fd29,codestral_9eb0_psg,success,37.56,7832,5956,1876,0.0,0,0,F,psg,codestral
7a6e_pysg,7a6e6c4c,codestral_9eb0_psg,failure,68.76,13514,10052,3462,0.0,0,0,F,psg,codestral
cb93_pysg,cb93fee2,codestral_9eb0_psg,success,58.63,10984,8004,2980,0.0,0,0,F,psg,codestral
eec4_pysg,eec4f5fa,codestral_9eb0_psg,failure,69.06,13538,10052,3486,0.0,0,0,F,psg,codestral
33ea_pysg,33ea5ba9,codestral_9eb0_psg,failure,55.38,12771,10052,2719,0.0,0,0,F,psg,codestral
75f9_pysg,75f9cd3b,codestral_9eb0_psg,failure,54.64,12732,10052,2680,0.0,0,0,F,psg,codestral
598d_pysg,598d0f9e,codestral_9eb0_psg,failure,76.5,13952,10052,3900,0.0,0,0,F,psg,codestral
bc33_pysg,bc3371fc,codestral_9eb0_psg,failure,78.29,14053,10052,4001,0.0,0,0,F,psg,codestral
6c45_pysg,6c45a44d,codestral_9eb0_psg,failure,53.01,12643,10052,2591,0.0,0,0,F,psg,codestral
8d09_pysg,8d09642f,codestral_9eb0_psg,success,75.8,11940,8004,3936,0.0,0,0,F,psg,codestral
5b10_pysg,5b1048a5,codestral_9eb0_psg,failure,80.59,14176,10052,4124,0.0,0,0,F,psg,codestral
6fc4_pysg,6fc427e4,codestral_9eb0_psg,failure,68.65,13516,10052,3464,0.0,0,0,F,psg,codestral
df00_pysg,df00fd9e,codestral_9eb0_psg,failure,61.78,13134,10052,3082,0.0,0,0,F,psg,codestral
e382_pysg,e382acfd,codestral_9eb0_psg,failure,78.12,14044,10052,3992,0.0,0,0,F,psg,codestral
6bb4_pysg,6bb447bb,codestral_9eb0_psg,failure,67.82,13467,10052,3415,0.0,0,0,F,psg,codestral
00cb_pysg,00cba1df,codestral_9eb0_psg,failure,80.71,14190,10052,4138,0.0,0,0,F,psg,codestral
304c_pysg,304c0ebe,codestral_9eb0_psg,failure,66.12,13373,10052,3321,0.0,0,0,F,psg,codestral
63b8_pysg,63b89a71,codestral_9eb0_psg,failure,69.67,13562,10052,3510,0.0,0,0,F,psg,codestral
4076_pysg,4076f460,codestral_9eb0_psg,failure,71.52,13677,10052,3625,0.0,0,0,F,psg,codestral
8caa_tpusg,8caa211a,codestral_9eb0_tpusg,failure,176.51,15386,10240,5146,0.0,0,0,F,tpusg,codestral
6916_tpusg,6916c8e7,codestral_9eb0_tpusg,failure,76.6,14137,10240,3897,0.0,0,0,F,tpusg,codestral
cd35_tpusg,cd35e47a,codestral_9eb0_tpusg,success,79.28,12312,8192,4120,0.0,0,0,F,tpusg,codestral
3b1d_tpusg,3b1d8b42,codestral_9eb0_tpusg,failure,74.2,14000,10240,3760,0.0,0,0,F,tpusg,codestral
af79_tpusg,af798558,codestral_9eb0_tpusg,failure,61.3,13287,10240,3047,0.0,0,0,F,tpusg,codestral
c827_tpusg,c827ef44,codestral_9eb0_tpusg,failure,50.62,12690,10240,2450,0.0,0,0,F,tpusg,codestral
cab5_tpusg,cab505b0,codestral_9eb0_tpusg,failure,92.77,15041,10240,4801,0.0,0,0,F,tpusg,codestral
af94_tpusg,af94b221,codestral_9eb0_tpusg,failure,55.55,12964,10240,2724,0.0,0,0,F,tpusg,codestral
4ab2_tpusg,4ab2ef40,codestral_9eb0_tpusg,failure,104.21,15672,10240,5432,0.0,0,0,F,tpusg,codestral
c3e0_tpusg,c3e0c3c5,codestral_9eb0_tpusg,success,34.11,5846,4096,1750,0.0,0,0,F,tpusg,codestral
f20d_tpusg,f20dcc9d,codestral_9eb0_tpusg,failure,105.65,15758,10240,5518,0.0,0,0,F,tpusg,codestral
b2d0_tpusg,b2d0150b,codestral_9eb0_tpusg,failure,123.79,16582,10240,6342,0.0,0,0,F,tpusg,codestral
4f4f_tpusg,4f4fad09,codestral_9eb0_tpusg,failure,91.47,12995,8192,4803,0.0,0,0,F,tpusg,codestral
37f5_tpusg,37f5961c,codestral_9eb0_tpusg,success,37.75,6050,4096,1954,0.0,0,0,F,tpusg,codestral
f510_tpusg,f5103c81,codestral_9eb0_tpusg,success,17.02,2920,2048,872,0.0,0,0,F,tpusg,codestral
fd41_tpusg,fd4116c6,codestral_9eb0_tpusg,success,41.12,6236,4096,2140,0.0,0,0,F,tpusg,codestral
8619_tpusg,86192a50,codestral_9eb0_tpusg,success,64.21,9493,6144,3349,0.0,0,0,F,tpusg,codestral
507c_tpusg,507cb38e,codestral_9eb0_tpusg,success,66.92,13594,10240,3354,0.0,0,0,F,tpusg,codestral
62c5_tpusg,62c59829,codestral_9eb0_tpusg,failure,89.84,14872,10240,4632,0.0,0,0,F,tpusg,codestral
4b0f_tpusg,4b0f310b,codestral_9eb0_tpusg,failure,82.76,14479,10240,4239,0.0,0,0,F,tpusg,codestral
5dc4_tpusg,5dc4f5c5,codestral_9eb0_tpusg,failure,101.35,15520,10240,5280,0.0,0,0,F,tpusg,codestral
8c99_tpusg,8c9902f1,codestral_9eb0_tpusg,success,58.12,9160,6144,3016,0.0,0,0,F,tpusg,codestral
0fcb_tpusg,0fcb79ae,codestral_9eb0_tpusg,success,69.96,13769,10240,3529,0.0,0,0,F,tpusg,codestral
66f3_tpusg,66f3efbf,codestral_9eb0_tpusg,failure,48.98,12593,10240,2353,0.0,0,0,F,tpusg,codestral
a737_tpusg,a7374a06,codestral_9eb0_tpusg,failure,54.54,12909,10240,2669,0.0,0,0,F,tpusg,codestral
e710_tpusg,e710c410,codestral_9eb0_tpusg,success,41.58,6261,4096,2165,0.0,0,0,F,tpusg,codestral
f382_tpusg,f38221c0,codestral_9eb0_tpusg,failure,83.95,14547,10240,4307,0.0,0,0,F,tpusg,codestral
43db_tpusg,43dbbeff,codestral_9eb0_tpusg,failure,60.67,13237,10240,2997,0.0,0,0,F,tpusg,codestral
d82a_tpusg,d82a606f,codestral_9eb0_tpusg,failure,68.7,13702,10240,3462,0.0,0,0,F,tpusg,codestral
598c_tpusg,598c6ad2,codestral_9eb0_tpusg,failure,98.98,15385,10240,5145,0.0,0,0,F,tpusg,codestral
eb4e_pysg,eb4e4bf0,codestral_e6d3_psg,failure,64.85,13333,10052,3281,0.0,0,0,T,psg,codestral
519e_pysg,519e5188,codestral_e6d3_psg,failure,68.24,13525,10052,3473,0.0,0,0,T,psg,codestral
c4b1_pysg,c4b19797,codestral_e6d3_psg,failure,72.73,13780,10052,3728,0.0,0,0,T,psg,codestral
115e_pysg,115ed904,codestral_e6d3_psg,failure,73.71,13837,10052,3785,0.0,0,0,T,psg,codestral
203f_pysg,203f2b06,codestral_e6d3_psg,failure,73.08,13801,10052,3749,0.0,0,0,T,psg,codestral
92ff_pysg,92ff50c7,codestral_e6d3_psg,failure,71.72,13725,10052,3673,0.0,0,0,T,psg,codestral
1727_pysg,17279833,codestral_e6d3_psg,success,46.14,8335,5956,2379,0.0,0,0,T,psg,codestral
5927_pysg,5927d636,codestral_e6d3_psg,success,47.68,10394,8004,2390,0.0,0,0,T,psg,codestral
240a_pysg,240ab1ad,codestral_e6d3_psg,failure,54.68,12763,10052,2711,0.0,0,0,T,psg,codestral
370d_pysg,370d2bfe,codestral_e6d3_psg,failure,71.08,13689,10052,3637,0.0,0,0,T,psg,codestral
ebb7_pysg,ebb754c4,codestral_e6d3_psg,failure,67.99,13515,10052,3463,0.0,0,0,T,psg,codestral
3d83_pysg,3d8397ea,codestral_e6d3_psg,failure,72.98,13795,10052,3743,0.0,0,0,T,psg,codestral
11ae_pysg,11ae19b2,codestral_e6d3_psg,success,56.52,10893,8004,2889,0.0,0,0,T,psg,codestral
65da_pysg,65da013d,codestral_e6d3_psg,failure,74.68,13887,10052,3835,0.0,0,0,T,psg,codestral
4979_pysg,4979da7f,codestral_e6d3_psg,failure,68.84,13563,10052,3511,0.0,0,0,T,psg,codestral
6932_pysg,69324ec6,codestral_e6d3_psg,failure,60.16,13072,10052,3020,0.0,0,0,T,psg,codestral
df5f_pysg,df5fce15,codestral_e6d3_psg,failure,75.02,13909,10052,3857,0.0,0,0,T,psg,codestral
4642_pysg,464235cb,codestral_e6d3_psg,failure,62.31,13194,10052,3142,0.0,0,0,T,psg,codestral
7e57_pysg,7e57cab8,codestral_e6d3_psg,failure,49.69,12482,10052,2430,0.0,0,0,T,psg,codestral
1166_pysg,11669ba2,codestral_e6d3_psg,failure,77.57,14055,10052,4003,0.0,0,0,T,psg,codestral
164d_pysg,164ddce7,codestral_e6d3_psg,success,60.52,11120,8004,3116,0.0,0,0,T,psg,codestral
718a_pysg,718a72dc,codestral_e6d3_psg,failure,67.56,13490,10052,3438,0.0,0,0,T,psg,codestral
1d57_pysg,1d57c28c,codestral_e6d3_psg,failure,83.2,14372,10052,4320,0.0,0,0,T,psg,codestral
54db_pysg,54db8ae6,codestral_e6d3_psg,failure,61.89,13169,10052,3117,0.0,0,0,T,psg,codestral
f892_pysg,f892d9f6,codestral_e6d3_psg,success,45.73,8312,5956,2356,0.0,0,0,T,psg,codestral
fe64_pysg,fe64f183,codestral_e6d3_psg,failure,66.84,13444,10052,3392,0.0,0,0,T,psg,codestral
5340_pysg,53401aca,codestral_e6d3_psg,failure,68.96,13568,10052,3516,0.0,0,0,T,psg,codestral
ca1f_pysg,ca1fe74e,codestral_e6d3_psg,failure,76.69,14003,10052,3951,0.0,0,0,T,psg,codestral
c006_pysg,c006051c,codestral_e6d3_psg,success,58.2,10987,8004,2983,0.0,0,0,T,psg,codestral
3e7d_pysg,3e7dfb5b,codestral_e6d3_psg,failure,66.82,13446,10052,3394,0.0,0,0,T,psg,codestral
f470_tpusg,f4700758,codestral_e6d3_tpusg,failure,88.27,13726,10240,3486,0.0,0,0,T,tpusg,codestral
eaa9_tpusg,eaa9e0cf,codestral_e6d3_tpusg,failure,45.2,12407,10240,2167,0.0,0,0,T,tpusg,codestral
f0d2_tpusg,f0d2e6e2,codestral_e6d3_tpusg,failure,78.5,14286,10240,4046,0.0,0,0,T,tpusg,codestral
2fb2_tpusg,2fb220ad,codestral_e6d3_tpusg,failure,45.16,12408,10240,2168,0.0,0,0,T,tpusg,codestral
2c16_tpusg,2c16c0ce,codestral_e6d3_tpusg,failure,71.47,13888,10240,3648,0.0,0,0,T,tpusg,codestral
44ce_tpusg,44cec04d,codestral_e6d3_tpusg,failure,82.43,14506,10240,4266,0.0,0,0,T,tpusg,codestral
9939_tpusg,9939e16f,codestral_e6d3_tpusg,failure,89.7,14916,10240,4676,0.0,0,0,T,tpusg,codestral
4ef9_tpusg,4ef98a63,codestral_e6d3_tpusg,failure,81.5,14452,10240,4212,0.0,0,0,T,tpusg,codestral
1dca_tpusg,1dca5d6e,codestral_e6d3_tpusg,failure,71.88,13886,10240,3646,0.0,0,0,T,tpusg,codestral
a6f0_tpusg,a6f0f20c,codestral_e6d3_tpusg,failure,81.75,14463,10240,4223,0.0,0,0,T,tpusg,codestral
9586_tpusg,958622f5,codestral_e6d3_tpusg,success,62.76,13391,10240,3151,0.0,0,0,T,tpusg,codestral
